OBJECTID,ISLAND,REGION,PROVINCE,DEO,CONG_DIST,ROAD_NAME,LOCATION,BRIDGE_ID,BR_NAME,BR_LENGTH,BR_TYPE1,BR_TYPE2,YR_CONST,ACTUAL_YR,CONDITION,NUM_ABUTT,NUM_PIER,NUM_SPAN,BR_WIDTH,BR_LIFE,LOAD_LIMIT,HT_OVER,HT_UNDER,L_SDWALK,R_SDWALK,NUM_LANES,BNR,CROSSING,BRGY,MUN,REMARKS,created_user,created_date,last_edited_user,last_edited_date,ROAD_SEC_CLASS,SEC_ID,SEC_LENGTH,ROUTE_NO,MaxBRHT,MaxPierHT,COMMENTS
"1",Luzon,National Capital Region,Metro Manila,Malabon-Navotas District Engineering Office,Malabon City (Lone District),Don Basilio Bautista St,"651",B03203LZ,Pinagkabalian Br.,46,Concrete,Permanent,Year Known,"1965",Good,"2","2","3",9.35,"38",20,0,1,1,1,"2",0,Estuary (Salt Water),Dampalit,Malabon, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S04508LZ,"0","0",15.4,2.5,"Completed GAA 2016 Project: Rehabilitation/Major Repair of Pinagkabalian Bridge along Don Basilio Bautista Blvd., Malabon City; In good condition but needs quarterly routine maintenance such as cleaning and re-painting of bridge and cleaning of waterways"
"2",Luzon,Cordillera Administrative Region,Benguet,Benguet 1st District Engineering Office,Benguet (Lone District),Kennon Rd,"17485",B02178LZ,Maramal Br.,74,Steel,Permanent,Year Known,"1968",Fair,"2","0","1",8.5,"12",10,4.8,0,0.72,0.72,"2",0.056604,River/Waterway (fresh water),Camp6,Tuba, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Primary,S00393LZ,"0","54",37.7,0,Routine and major maintenance required to provide safety to motorists and avoid further bridge deterioration.
"3",Luzon,National Capital Region,Metro Manila,Metro Manila 2nd District Engineering Office,City Of Makati (Second District),South Super H-way West Service Rd,"293",B01849LZ,Maricaban Br. (SB),27,Concrete,Permanent,Year Known,"1980",Fair,"2","2","3",19.85,"20",0,0,0,0.45,7.6,"3",0.09434,River/Waterway (fresh water),Magallanes,Makati City, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S03382LZ,"0","0",0,2.1,Cleaning/Sweeping and Re-Painting of Bridge Components
"4",Luzon,Cordillera Administrative Region,Kalinga,Lower Kalinga District Engineering Office,Kalinga (Lone District),Balbalan-Pinukpuk Rd,"27405",B04392LZ,Cawcawayan Br.,20,Concrete,Permanent,Year Known,"2012",Good,"2","0","1",8.8,"39",20,0,0,1.05,1.05,"2",0,River/Waterway (fresh water),Capegan,Pinukpuk, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S00537LZ,"0","0",8.6,0,Retrofitting of bridge is on-going.
"5",Luzon,National Capital Region,Metro Manila,Metro Manila 2nd District Engineering Office,City Of Makati (First District),South Super Highway (Buendia Flyover),"93",B00562LZ,Buendia Flyover,343,Concrete,Permanent,Year Known,"1979",Fair,"2","6","7",17.66,"15",20,0,5,0.75,0.75,"4",0.091043,Road,Palanan/San Antonio,Makati City, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S03478LZ,"0","145",5,4.6,"Regular Cleaning and Re-Painting of Bridge Components, Both lane recommended for Asphalt Overlay"
"6",Luzon,Cordillera Administrative Region,Kalinga,Upper Kalinga District Engineering Office,Kalinga (Lone District),Mt Province Bdry-Calanan-Pinukpuk-Abbut Rd,"18774",B04610LZ,Wallis Br.,29,Steel,Permanent,Year Known,"2015",Good,"2","0","1",4.2,"10",20,0,0,0,0,"2",0,River/Waterway (fresh water),Bangad,Tinglayan, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S05932LZ,"0","204",8.5,0,Existing bridge is a one lane two way steel bridge
"7",Luzon,Cordillera Administrative Region,Apayao,Apayao 1st District Engineering Office,Apayao (Lone District),Conner-Kabugao Rd,"10931",B02244LZ,Purag Br.,54,Steel,Permanent,Year Known,"2007",Good,"2","0","1",8.8,"20",18,0,0,0.75,0.75,"2",0.031447,River/Waterway (fresh water),Ili,Conner, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00616LZ,"0","222",8.5,0,Good condition
"8",Luzon,Cordillera Administrative Region,Ifugao,Ifugao 2nd District Engineering Office,Ifugao (Lone District),Banaue-Mayoyao-A Lista-Isabela Bdry Rd,"80375",B02212LZ,Potia Br.,62,Steel,Permanent,Year Known,"1998",Fair,"2","1","2",9.28,"22",15,0,0,0.95,0.95,"2",0.139535,Not Specified,Potia,Alfonso Lista, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00480LZ,"0","224",11.2,9.6,Asphalt Overlay were undertaken funded under GAA FY 2017. Replace missing lateral supports.
"9",Luzon,National Capital Region,Metro Manila,Metro Manila 3rd District Engineering Office,Valenzuela City (Second District),Gen T de Leon St,"3101",B01734LZ,Torres Bugallon Br.,37,Concrete,Permanent,Year Known,"1971",Good,"2","1","2",9.2,"30",15,0,0,0.7,0.7,"2",0.038314,Road,Gen. T De Leon,Valenzuela City, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S02221LZ,"0","0",6.8,4.25,"retrofitted, fy 2018"
"10",Luzon,Cordillera Administrative Region,Mt.Province,Mt. Province District Engineering Office,Mountain Province (Lone District),Mt Prov-Cagayan via Tabuk-Enrile Rd,"11730",B00928LZ,Gawa Br.,12,Concrete,Permanent,Year Known,"2013",Good,"2","0","1",9.45,"45",15,0,0,1.1,1.1,"2",0.025157,River/Waterway (fresh water),Tocucan,Bontoc, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00514LZ,"0","204",4.8,0,NEW BRIDGE. CONSTRUCTION OF BRIDGE WAS COMPLETED UNDER THE CY 2016 GAA.
"11",Luzon,Cordillera Administrative Region,Ifugao,Ifugao 1st District Engineering Office,Ifugao (Lone District),Nueva Vizcaya-Ifugao-Mt Province Rd,"5249",B02199LZ,Bannit Br.,22,Steel,Permanent,Post 1970,"1973",Good,"2","0","1",8.65,"15",15,0,0,0.47,0.47,"2",0.037736,River/Waterway (fresh water),Payawan,Lamut, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S00464LZ,"0","109",4.75,0,Routine maintenance of the bridge substructure and superstructure is necessary.
"12",Luzon,National Capital Region,Metro Manila,Metro Manila 2nd District Engineering Office,City Of Makati (Second District),Kalayaan Ave Ext,"1420",B01842LZ,Imelda Br.,20,Concrete,Permanent,Year Known,"1972",Good,"2","0","1",8.5,"20",0,0,0,1,1,"2",0.006289,Estuary (Salt Water),Guadalupe,Makati,"23",GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S03360LZ,"0","190",3.2,0,"Regular Sweeping and Repainting of Bridge Structures, Cleaning of Waterways"
"13",Luzon,National Capital Region,Metro Manila,North Manila District Engineering Office,Manila City (First District),R-10,"2930",B01791LZ,Vitas Br.,67,Concrete,Permanent,Year Known,"1975",Poor,"2","2","3",18.18,"15",15,0,0,3,0,"4",0.360544,River/Waterway (fresh water),101 Zone 8,City Of Manila, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Secondary,S02378LZ,"0","120",0,5.4,Cracks in abutment 2 and spalling of girders in span 3 and rusting. Proposed for FY 2021 budget.
"14",Luzon,Cordillera Administrative Region,Kalinga,Lower Kalinga District Engineering Office,Kalinga (Lone District),Balbalan-Pinukpuk Rd,"20012",B04393LZ,Taga Br.,13,Concrete,Permanent,Year Known,"2010",Fair,"2","0","1",9.5,"30",0,0,0,1.1,1.1,"2",0.069767,River/Waterway (fresh water),Taga,Pinukpuk, ,GISADMIN,2021/02/19 11:50:43,GISADMIN,2021/02/19 11:50:43,Tertiary,S00537LZ,"0","0",4.6,0,Asphalt overlay to prevent deck further deterioration.
