X	Y	REGION	PROVINCE	DEO	ROAD_NAME	BRIDGE_ID	BR_NAME	BR_LENGTH	BR_TYPE1	YR_CONST	ACTUAL_YR	BR_WIDTH	LOAD_LIMIT	HT_OVER	HT_UNDER	L_SDWALK	R_SDWALK	NUM_LANES	CROSSING	BRGY	MUN	ROAD_SEC_CLASS	ROUTE_NO	MaxBRHT	MaxPierHT
125.656582455109	9.0097895875554	Region ⅫⅠ	Agusan del Norte	Butuan City District Engineering Office	Butuan City-Pianing-Tandag Rd	B00821MN	Anticala Br.	13	reinforced_concrete	Year Known	1997	9.5	15			0.75	0.75	2	River	Anticala	Butuan City	Tertiary		3.6	
125.591244405741	8.70948240864484	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Agusan-Malaybalay Rd	B01857MN	Mat-i Br.	30	steel	Year Known	2008	8.6	20			0.7	0.75	2	River	Mat-i	Las Nieves	Tertiary		8.4	
125.311191241832	8.99077334422935	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Butuan City-Cagayan de Oro City-Iligan City Road (Agusan-Misamis Or Rd)	B01931MN	Aclan Br.	28	reinforced_concrete	Year Known	1956	17.2				0.71	0.71	4	River	Aclan	Nasipit	Primary	9	5.25	
125.580489551704	9.06756796581666	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B01959MN	Capudlosan Br.	18	reinforced_concrete	Year Known	2018	16.8				0.7	0.7	4	River	Basilisa	Remedios T. Romualdez	Primary	1	4.5	
125.56220298382	9.26131706792424	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B01734MN	Paypay Twin Br. 1	84	steel	Year Known	1975	5.52	10					1	River	Poblacion	Santiago	Primary	1	9.56	7.95
125.56220298382	9.26131706792424	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B00834MN	Paypay Twin Br.	84	steel	Year Known	1975	5.52	10					1	River	Poblacion	Santiago	Primary	1	9.56	7.95
125.555483496197	8.86055443933	Region ⅫⅠ	Agusan del Norte	Butuan City District Engineering Office	Butuan City-Malaybalay Rd	B00886MN	Bitan-agan Br.	46	steel	Year Known	1990	9.48	15			0.74	0.74	2	River	Amparo	Butuan City	Tertiary		10.6	
125.560951434716	9.1651600928096	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B00839MN	Calo-oy Br.	21	reinforced_concrete	Year Known	1962	8.4	15			0.5	0.5	2		Doña Rosario	Tubay	Primary	1	3.97	1.16
125.561099519238	9.37102778279057	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B00829MN	New Camalig Br.	45	reinforced_concrete	Year Known	2005	17.7	15			0.8	0.8	4	River	A. Beltran	Jabonga	Primary	1	10.12	5.39
125.3566625609	8.9750169761961	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Butuan City-Cagayan de Oro City-Iligan City Road (Agusan-Misamis Or Rd)	B02012MN	Kinabjangan Parallel br.	41	reinforced_concrete	Year Known	2019	9.6				0.75	0.75	2	River	Kinabjangan	Nasipit	Primary	9	10.65	
125.557633852042	8.78908201000665	Region ⅫⅠ	Agusan del Norte	Butuan City District Engineering Office	Butuan City-Malaybalay Rd	B00889MN	Tag-anahaw Br.	22	steel	Year Known	1997	8.88	15			0.44	0.44	2	River	San Mateo	Butuan City	Tertiary		6	
125.562394619768	9.18518326583525	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B02013MN	Sta. Ana Parallel Br.	102	reinforced_concrete	Year Known	2020	9.6				0.7	0.7	2	River	Santa Ana	Tubay	Primary	1	7	8.7
125.335247021317	8.96833222402341	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Butuan City-Cagayan de Oro City-Iligan City Road (Agusan-Misamis Or Rd)	B01724MN	Camagong Br.	12	reinforced_concrete	Year Known	2012	16.89				0.78	0.78	4	Sea (Exposed)	Camagong	Nasipit	Primary	9	3.98	
125.565878992244	9.21666346252237	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B00837MN	Tagmamarkay Br.	26	reinforced_concrete	Year Known	1964	9	15			0.5	0.5	2	River	Tagmamarkay	Tubay	Primary	1	6.82	4.81
125.559612438211	9.1457964863284	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B01728MN	Maraput Br.	28	reinforced_concrete	Year Known	1970	16.95	15			0.8	0.8	4	River	Victory	Tubay	Primary	1	4.25	3.51
125.552856870271	9.34569407516007	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B00831MN	Sayadion Br.	18	reinforced_concrete	Year Known	1962	8.39	15			0.46	0.46	2		Cuyago	Jabonga	Primary	1	4.73	1.5
125.589042382256	9.04989474242817	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B01730MN	Panaytayon Br.	12	reinforced_concrete	Year Known	2014	16.95						4		Poblacion 2	Remedios T. Romualdez	Primary	1	3.4	
125.602828009398	9.02144146860462	Region ⅫⅠ	Agusan del Norte	Butuan City District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B00818MN	Ngilan Br.	19	reinforced_concrete	Year Known	2006	24.33	17			0.74	0.74	6	River	Los Angeles	Butuan City	Primary	1	3.7	1.45
125.574496513772	9.45261966625951	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B00825MN	Mamkas Br.	50	reinforced_concrete	Year Known	1961	16.78	15			0.75	0.75	4	River	Poblacion	Kitcharao	Primary	1	8.73	4.68
125.276978587525	8.99167617250541	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Butuan City-Cagayan de Oro City-Iligan City Road (Agusan-Misamis Or Rd)	B00877MN	Ova Br.	14	reinforced_concrete	Year Known	1956	8.35	15			0.48	0.48	2	Open Ground	Rojales	Carmen	Primary	9	3.65	
125.536605099606	9.07827380974424	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Pandanon-Magallanes Rd	B01726MN	La Union Br.	40	reinforced_concrete	Year Known	2013	9.6	20			1.43	1.43	2	Sea (Exposed)	La Union	Cabadbaran	Tertiary		5.07	
125.606030882438	9.01483009835648	Region ⅫⅠ	Agusan del Norte	Butuan City District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B01862MN	Los Angeles Br.	13	reinforced_concrete	Year Known	1996	25.2	17			0.74	0.74	6	River	Los Angeles	Butuan City	Primary	1	2.35	1.2
125.488264832518	8.93203502699071	Region ⅫⅠ	Agusan del Norte	Butuan City District Engineering Office	Mayor Democrito D. Plaza II Ave	B01671MN	Bancasi Br.	50	reinforced_concrete	Year Known	2004	9.5	20			0.8	0.8	2	River	Bancasi	Butuan City	Secondary	951	7.06	5
125.601522262081	9.02412549654125	Region ⅫⅠ	Agusan del Norte	Butuan City District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B01860MN	Agay Br.	20	steel	Year Known	1974	25.5	17			0.61	0.61	6	River	Santo Nino	Butuan City	Primary	1	4.35	
125.502165066606	8.97401648449576	Region ⅫⅠ	Agusan del Norte	Butuan City District Engineering Office	Butuan City-Masao Port Rd	B00892MN	Suatan Br.	19	reinforced_concrete	Year Known	1997	17.36	15			0.8	0.8	4	River	Ambago	Butuan City	Secondary	952	5	
125.559785846564	9.2387950609779	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B02014MN	Jagupit Parallel Br.	22	reinforced_concrete	Year Known	2019	9.42				0.7	0.7	2		Jagupit	Santiago	Primary	1	6	
125.612909375007	8.98317277634574	Region ⅫⅠ	Agusan del Norte	Butuan City District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B00820MN	Taguibo Br.	223	steel	Year Known	1974	9.54	15	5.9		0.76	0.76	2	River	Taguibo	Butuan City	Primary	1	6.3	4.5
125.5623262553	8.78441573389995	Region ⅫⅠ	Agusan del Norte	Butuan City District Engineering Office	Butuan City-Malaybalay Rd	B00890MN	Subait Br.	26	reinforced_concrete	Year Known	2000	9.28	15			0.64	0.64	2	River	San Mateo	Butuan City	Tertiary		16.8	
125.430496965403	8.86969213623002	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Buenavista-Bunaguit Rd	B01733MN	Sangay Br.	30	reinforced_concrete	Year Known	2013	9.55				1.08	1.08	2	River	Sangay	Buenavista	Tertiary		7.4	
125.612909375007	8.98317277634574	Region ⅫⅠ	Agusan del Norte	Butuan City District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B01989MN	Taguibo Parallel Br.	241	reinforced_concrete	Year Known	2019	9.49				0.76	0.76	2	River	Taguibo	Butuan City	Primary	1	16	13.15
125.56051076316	9.10884560580591	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B01793MN	Pandanon Br.	24	reinforced_concrete	Year Known	1956	16.86	15			0.76	0.76	4		Mabini	Cabadbaran	Primary	1	4.65	3.3
125.553061991745	8.95185499568043	Region ⅫⅠ	Agusan del Norte	Butuan City District Engineering Office	Butuan City-Cagayan de Oro City-Iligan City Road (Agusan-Misamis Or Rd)	B00998MN	Magsaysay Viaduct Br. 1	91	reinforced_concrete	Year Known	2004	11.06	20			1.54	1.54	2	River	Baan	Butuan City	Primary	9	8.2	6.45
125.562037899212	9.23190122311001	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B01725MN	Guinoyoran Br.	18	reinforced_concrete	Year Known	2012	16.86				1	1	4	River	San Isidro	Santiago	Primary	1	5	
125.556061230957	9.32284298235694	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B02187MN	Puyo Parallel Br.	126	reinforced_concrete	Year Known	2021	9.53				0.7	0.7	2	River	Bangonay	Jabonga	Primary	1	9.25	7.11
125.559785846564	9.2387950609779	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B01958MN	Jagupit Br.	22	reinforced_concrete	Year Known	2017	9.7				0.73	0.73	2		Jagupit	Santiago	Primary	1	4.96	
125.57239883628	9.08430689483706	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B00845MN	Sanghan Br.	26	reinforced_concrete	Year Known	1999	16.6	15			0.7	0.7	4	River	Sanghan	Cabadbaran	Primary	1	5.2	
125.307918777419	8.99047368059675	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Butuan City-Cagayan de Oro City-Iligan City Road (Agusan-Misamis Or Rd)	B01727MN	Minusong Br.	30	reinforced_concrete	Year Known	2014	16.7						4		Aclan	Nasipit	Primary	9	4.5	
125.558536549027	8.92342185002293	Region ⅫⅠ	Agusan del Norte	Butuan City District Engineering Office	Mayor Democrito D. Plaza II Ave	B01669MN	Diosdado Macapagal Br.	979	steel	Year Known	2004	11.4	20	5	4.76	1.7	1.7	2	River	Villakananga	Butuan City	Secondary	951	22	8
125.294454353722	8.99030693062065	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Butuan City-Cagayan de Oro City-Iligan City Road (Agusan-Misamis Or Rd)	B02011MN	Carmen Br.	20	reinforced_concrete	Year Known	1954	16.69				0.7	0.7	4	Ditch	Poblacion	Carmen	Primary	9	3.65	
125.64123355038	8.98505786682914	Region ⅫⅠ	Agusan del Norte	Butuan City District Engineering Office	Butuan City-Pianing-Tandag Rd	B00822MN	Pianing Br.	21	reinforced_concrete	Year Known	1996	9.4	15			0.8	0.8	2	River	Pianing	Butuan City	Tertiary		7.4	
125.540805519243	9.12728170376961	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B00843MN	Cabadbaran Br.	222	reinforced_concrete	Year Known	1975	8.56	20			0.8	0.8	2	River	Poblacion	Cabadbaran	Primary	1	10	5.14
125.552035571387	8.95167443206086	Region ⅫⅠ	Agusan del Norte	Butuan City District Engineering Office	Butuan City-Cagayan de Oro City-Iligan City Road (Agusan-Misamis Or Rd)	B01723MN	Magsaysay Br.	856	reinforced_concrete	Year Known	1960	12.6	20	5.64	5.8	1.54	1.54	2	River	Baan	Butuan City	Primary	9	27	9.28
125.446817406794	8.82543528607917	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Buenavista-Bunaguit Rd	B01731MN	Olave Br.	60	steel	Year Known	1995	8.05				0.73	0.73	2	Swamp	Olave	Buenavista	Tertiary		5.7	
125.539616523322	8.93228225575222	Region ⅫⅠ	Agusan del Norte	Butuan City District Engineering Office	Butuan City-Malaybalay Rd	B00885MN	South Montilla Br.	21	reinforced_concrete	Year Known	1996	17.49	15		3.89	0.77	0.77	4	River	Villakananga	Butuan City	Tertiary		3.64	
125.419655224743	8.88343110764392	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Buenavista-Bunaguit Rd	B01732MN	Cabalalahan Br.	13	reinforced_concrete	Year Known	2013	8.44						2	River	Sangay	Buenavista	Tertiary		2.77	4.82
125.560000752199	9.15142634314453	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B01729MN	Minusuang Br.	28	reinforced_concrete	Year Known	1970	16.95	15			0.8	0.8	4	River	Victory	Tubay	Primary	1	4.25	3.51
125.555462174521	9.40125157503907	Region ⅫⅠ	Agusan del Norte	Agusan del Norte District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B00828MN	Jaliobong Br.	30	reinforced_concrete	Year Known	1970	16.88	15			0.6	0.6	4	River	Jaliobong	Kitcharao	Primary	1	6.9	5.2
125.535575754688	8.92224672490856	Region ⅫⅠ	Agusan del Norte	Butuan City District Engineering Office	Mayor Democrito D. Plaza II Ave	B01670MN	Mandacpan Br.	96	reinforced_concrete	Year Known	2004	16.87	17			0.82	0.82	4	River	Villa Kananga	Butuan City	Secondary	951	6	3.5
125.603212960785	8.96207962307485	Region ⅫⅠ	Agusan del Norte	Butuan City District Engineering Office	Daang Maharlika (Surigao-Agusan Sect)	B01722MN	Ampayon Br.	21	reinforced_concrete	Year Known	1958	19.23	17			1.24	1.24	4	River	Ampayon	Butuan City	Primary	1	4.91	
