X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
123.637237161387	13.3018963392065	B00198LZ	Buang Br.	Buang	Tabaco
123.492139065915	13.2797464951652	B00285LZ	Mabini Br.	Basud	Polangui
123.457245214985	13.1873428418531	B00298LZ	Paulba Br.	Paulba	Ligao
123.780852841157	13.2359256872481	B04815LZ	San Rafael Br.	San Rafael	Santo Domingo
123.681818592599	13.4489747969492	B00249LZ	Gajo Br. 1	Gajo	Tiwi
123.67465711323	13.3483433413785	B00207LZ	Rocamonte Br.	Quinastillohan	Tabaco
123.325936633807	13.1906616203585	B04971LZ	Pantao Br. 2	Pantao	Pantao
123.491575577929	13.2829083456756	B00284LZ	Basud Br. 2	Basud	Polangui
123.470816804125	13.2098406222417	B00297LZ	Culliat Br.	Tula-tula	Ligao
123.770578502212	13.0408161123024	B00262LZ	Caridad Br.	San Francisco	Legazpi
123.759909463469	13.267947631194	B00223LZ	Sn. Fernando Br. 2	San Fernando	Santo Domingo
123.577014946642	13.2557349905407	B00302LZ	Tubgon Br.	Batang	Ligao
123.899597046403	13.137808055927	B00268LZ	Hulogan Br.	Hulogan	Manito
123.727326248648	13.3635964840228	B00241LZ	Bonbon Br. 2	Bonbon	Tabaco
123.331706620395	13.2118454043152	B00325LZ	Biak-na-Bato Br.	Pantao	Libon
123.744592502319	13.1391301256411	B00217LZ	Ruran Br.	Barangay 18	Legazpi
123.632085723784	13.4882609295681	B00253LZ	Bariis Br.	Bariis	Tiwi
123.76076711671	13.2569924347502	B00221LZ	Misericordia Br. 2	SantaMisericordia	Santo Domingo
123.293261392646	13.1063973226194	B04802LZ	Nagas Br.	Nagas	Libon
123.654485297753	13.3330621122918	B00203LZ	Namutnga Br. 3	Bantayan	Tabaco
123.424273133783	13.2937539514318	B00321LZ	Paclas Br. 2	Paclas	Libon
123.800734719872	13.2391220126618	B04816LZ	Salvacion Br.	Salvacion	Santo Domingo
123.735112892474	13.3379907920636	B00235LZ	San Lorenzo Br. 1	San Lorenzo	Tabaco
123.440203210232	13.3008335415342	B00274LZ	San Miguel Br.	Zone 5	Libon
123.673784469674	13.3484015500434	B00206LZ	Paraputo Br.	San Antonio	Tabaco
123.435605774673	13.2612887508853	B04812LZ	San Vicente Br. 2	San Vicente	Libon
123.468743198625	13.1156259987179	B01503LZ	Palapas Br.	Palapas	Ligao
123.639264770744	13.1665830245166	B04268LZ	Tagaytay Br.	Tagaytay	Camalig
123.437312652022	13.3107069415639	B00273LZ	Bololo Br.	San Miguel	Libon
123.757202354571	13.295193917819	B00228LZ	San Jose Br.	San Jose	Bacacay
123.87386787213	13.1286805693756	B00267LZ	Kamanitohan Br.	It-ba	Manito
123.758141272716	13.2839969802601	B00226LZ	Bonga Br. 3	Bonga	Bacacay
123.691961080882	13.355887090894	B00209LZ	Sn. Antonio Br. 2	San Antonio	Tabaco
123.443705917163	13.2668405497997	B00309LZ	Bacolod Br.	Bacolod	Libon
123.611826239419	13.1886860361362	B00317LZ	Travesia Br. 1	Travesia	Guinobatan
123.63071862714	13.2963849271184	B00306LZ	Amtic Br.	Amtic	Ligao
123.689608260891	13.1365790602438	B00259LZ	De la Paz Br.	De La Paz	Daraga
123.731094433292	13.3535268012587	B00239LZ	Tagas Br.	Tagas	Tabaco
123.390261620959	13.2627465018475	B00324LZ	Nale Br.	Sagrada	Libon
123.437345689162	13.3228681915699	B00280LZ	Matacon Br.	Matacon	Polangui
123.659693431065	13.3389089957312	B00205LZ	Bantayan Br. 2	Bantayan	Tabaco
123.458420476524	13.0681262799922	B00301LZ	Bayag Br.	Binodegahan	Pioduran
123.468310657594	13.299094728877	B00281LZ	Gov. Vera Br.	Kinale	Polangui
123.820805935142	13.0612496609559	B00264LZ	Cawayan Br.	Cawayan	Legazpi
123.718180925721	13.3775756403181	B00242LZ	San Carlos Br.	San Carlos	Tabaco
123.301418040962	13.0551621567627	B00330LZ	Cagmanaba Br.	Cagmanaba	Oas
123.731347451421	13.1395222759523	B00215LZ	Pinaric Br.	Pinaric	Legazpi
123.59588890902	13.2644930049435	B00303LZ	Basag Br.	Nasisi	Ligao
123.732262155641	13.3488739876691	B00238LZ	San Ramon Br.	San Ramon	Tabaco
123.524773850437	13.2292195281747	B00294LZ	Cabilogan Br.	Tagpo	Ligao
123.803907368409	13.0443293759751	B00263LZ	Villaflora Br.	Buenavista	Legazpi
123.490278310434	13.2922810197652	B00319LZ	San Francisco Br.	Centro Oriental	Polangui
123.751283081668	13.1611839233875	B00219LZ	Yawa Br.	Bonot	Legazpi
123.702178588438	13.4026755641238	B00245LZ	Imperial Br.	Balza	Malinao
123.646074416946	13.3252820163561	B00199LZ	Tabiguian Br. 1	Tabiguian	Tabaco
123.439854901636	13.2884346764987	B04811LZ	Ologon Br. 2	Zone 1	Libon
123.697541657532	13.1627976752086	B00196LZ	Busay Br.	Busay	Daraga
123.742551861241	13.3162252061057	B00230LZ	Nauang Br.	Santa Teresita	Malilipot
123.759611627504	13.2284409015291	B03214LZ	Basud Br.	Lidong	Santo Domingo
123.426542443098	13.2650417560206	B04813LZ	San Vicente Br. 3	San Vicente	Libon
123.595480768706	13.1951420909025	B00291LZ	Morera Br.	Morera	Guinobatan
123.61707282449	13.2826179313785	B00305LZ	Tambo Br.	Tambo	Ligao
123.751470770563	13.1543391975039	B00218LZ	Pili Br.	Bonot	Legazpi
123.460901093142	13.1557731924862	B00299LZ	Malama Br.	Malama	Ligao
123.711421508836	13.0531673240821	B00197LZ	Namoropinpin Br.	Mayon	Daraga
123.757836101321	13.2862592613983	B00227LZ	Lower Bonga Br.	Lower Bonga	Bacacay
123.683165159081	13.3495734106363	B00208LZ	San Antonio Br. 1	San Antonio	Tabaco
123.293390448491	13.1415477785452	B03273LZ	Apud Br.	Apud	Oas
123.562248436601	13.2363776196546	B00289LZ	Paulog Br.	Paulog	Ligao
123.868815345001	13.1149667592989	B00265LZ	Buyo Br. 1	Buyo	Manito
123.736135020082	13.3336939326896	B00234LZ	San Isidro Br. 3	San Isidro	Malilipot
123.758212687578	13.2833057503481	B00225LZ	Bonga Br. 2	Bonga	Bacacay
123.46253865806	13.0858518017283	B00300LZ	Agol Br.	Agol	Pioduran
123.753901608692	13.1878241020757	B03357LZ	Arimbay Br.	Arimbay	Legazpi
123.466786578351	13.2922721143235	B00277LZ	Kinale Br.	Kinale	Libon
123.758751503104	13.2727575192426	B00224LZ	Bonga Br. 1	Bonga	Bacacay
123.649678327424	13.3275945214984	B00200LZ	Tabiguian Br. 2	Tabiguigan	Tabaco
123.344461488257	13.3043353539829	B00315LZ	Tagbac Br.	Tagbac	Libon
123.73694993364	13.0763834614356	B00261LZ	Agna Br.	Homapon	Legazpi
123.304465063934	13.150613438064	B00328LZ	Bonga Br.	Rawis	Oas
123.609181219719	13.5071486428092	B00256LZ	Baldong Br.	Misibis	Tiwi
123.67873277389	13.4580107835502	B00251LZ	Tiwi Br.	Tigbi	Tiwi
123.702949215175	13.3583625537017	B00210LZ	San Vicente Br.	San Vicente	Tabaco
123.295836767907	13.0926948282167	B03274LZ	Dawagan Br.	Nagas	Oas
123.765469580578	12.9980772070573	B04270LZ	Cagbacong Br.	Cagbacong	Legazpi
123.736391962751	13.3325853554095	B00233LZ	San Isidro Br. 2	San Isidro	Malilipot
123.712771141657	13.3560762226413	B00211LZ	Matagbac Br.	Matagbac	Tabaco
123.737146931949	13.3294771671717	B00232LZ	San Isidro Br. 1	San Isidro	Malilipot
123.393826987401	13.2778947481764	B00313LZ	Marocmoc Br.	Bonbon	Libon
123.490740472929	13.2868140474698	B00283LZ	Basud Br. 1	Basud	Polangui
123.452417611876	13.2891462888543	B00276LZ	Marayag Br.	Marayag	Libon
123.40110237531	13.3384463464845	B00279LZ	Agos Br.	Agos	Polangui
123.687154255927	13.4298477142312	B03362LZ	Nagas Br. 1	Nagas	Tiwi
123.332419788546	13.211123740013	B00326LZ	Natirisan Br.	Pantao	Libon
123.492103606455	13.2750610887133	B00286LZ	Cabangan Br.	Cabangan	Oas
123.488619602885	13.2224834836773	B00295LZ	Tula-Tula Br. 1	Tula-tula	Ligao
123.652278810922	13.1780047639765	B00195LZ	Camalig  Br.	Ilawod	Camalig
123.31584072904	13.0249134314835	B04972LZ	Catburawan Br.	Catburawan	Ligao
123.497181372711	13.2617065160316	B00287LZ	Oas Diversion Br.	Ilaor Sur	Oas
