X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
121.126232790631	18.5157764340323	B01047LZ	Muslim Bridge № 1	Santa Elena	Calanasan
121.330841570874	17.7795540594761	B02240LZ	Calafug Bridge	Calafug	Conner
121.373630448695	18.2836852769607	B02255LZ	Bangsil Bridge	Dagupan	Luna
121.195400191514	18.0108190148891	B02253LZ	Tammang Bridge	Luttuacan	Conner
121.366827466184	17.7436904171033	B02235LZ	Karikitan Bridge	Karikitan	Conner
121.357946451354	18.1899969575622	B02261LZ	Nagsungbatan Bridge	Maton	Pudtol
121.055335511802	18.4061530608302	B01052LZ	San Lorenzo Bridge	Eva	Calanasan
121.093140419696	18.073131242086	B05002LZ	Anagdong Bridge	Dibagat	Kabugao
121.431791813784	17.70027366644	B02234LZ	Lindawan Bridge	Abbut	Conner
121.048946842043	18.2450472282561	B04838LZ	Salungsung Bridge	Ferdinand	Calanasan
121.263529245587	17.8337908972441	B02244LZ	Purag Bridge	Ili	Conner
121.313062224428	18.0998769403194	B04215LZ	Bubulayan Bridge	Lt. Balag	Pudtol
121.368792295603	18.2521788000951	B02259LZ	Cabatacan Bridge	Cabatacan	Pudtol
121.302608337806	17.9847443297702	B04611LZ	Manguli Bridge № 2	Bulu	Kabugao
121.37909299717	18.3344882286631	B02258LZ	San Isidro Bridge № 1	San Isidro	Luna
121.307649478597	17.8151106714656	B05005LZ	Matalag Bridge	Guinamgaman	Conner
121.320530242673	18.0697291893695	B04618LZ	Malilibag Bridge	Aurora	Pudtol
121.218785649244	17.9184083631348	B02246LZ	Lituga Bridge № 1	Lenneng	Kabugao
121.34654634633	17.764615115264	B02237LZ	Dangguinan Bridge	Calafug	Conner
121.428736886579	18.2035402431506	B04842LZ	Papagan Bridge	Tamalunog	Calanasan
121.207336472809	17.9878968456142	B02251LZ	Apipi Bridge	Luttuacan	Kabugao
120.999280274864	18.1082828731969	B04845LZ	Butao Bridge	Butao	Calanasan
121.044368941538	18.4065389476437	B01053LZ	Magnas Bridge	Eva	Calanasan
