X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
120.606309725112	16.5703822755464	B00911LZ	Aso Bridge	Datakan	Kapangan
120.828364782443	16.7323147500418	B02672LZ	Toking Bridge	Poblacion	Buguias
120.63704346981	16.493280260561	B04228LZ	Suyoc Bridge	Caponga	Tublay
120.595429269472	16.294084884561	B02173LZ	Camp 3 Bridge № 2	Camp 3	Tuba
120.593974437661	16.4254419227378	B02316LZ	Manuel Roxas Bridge № 3	Trancoville	Baguio City
120.83426874574	16.7080860986321	B02670LZ	Capuyoan Bridge	Poblacion	Buguias
120.557164181541	16.3747502182406	B01359LZ	New Badiwan Bridge	Poblacion	Tuba
120.61274918506	16.3762087351938	B00920LZ	Demonstration Bridge	Loakan	Baguio City
120.774506863743	16.6633347891881	B01314LZ	Baguingey Bridge	Cattubo	Atok
120.836779868863	16.6871621335405	B02669LZ	Amlimay Bridge	Amlimay	Buguias
120.520672308971	16.431638076111	B04274LZ	Bucan Bridge	Tadiangan	Tuba
120.605219504592	16.3820822983579	B00919LZ	Kennon Bridge № 2	Camp 7	Baguio City
120.632397310976	16.6099504774507	B00914LZ	Amburayan Bridge	Taba-ao	Kapangan
120.511692491264	16.4309356602103	B04882LZ	Batuan Bridge	Nangalisan	Tuba
120.612909930678	16.3264467154376	B02179LZ	Camp 4 Bridge № 4	Camp 4	Tuba
120.837433004654	16.6259545624602	B02665LZ	Pantal Bridge	Poblacion	Kabayan
120.66970134452	16.7048613982369	B04799LZ	Ambalideng Bridge	Poblacion	Kibungan
120.531535401172	16.4268756261347	B04272LZ	Irisan Bridge	Tadiangan	Tuba
120.568487532838	16.4026083898081	B02075LZ	Asin Bridge № 2	Asin	Baguio City
120.760661706708	16.9187451157093	B03270LZ	Baguyos Bridge	Colalo	Mankayan
120.798232936414	16.8497653958892	B02160LZ	Tubo Bridge	Tabio	Mankayan
120.769701358901	16.4680642871387	B02372LZ	Acnip Bridge	Ambuklao	Bokod
120.611598148534	16.3782818397993	B02196LZ	Loakan Bridge № 2	Loakan Liwanag	Baguio City
120.508594650927	16.4315078351494	B04276LZ	Coplo Bridge	Nangalisan	Tuba
120.8383173233	16.6248425307388	B04881LZ	Kabayan Central Bridge	Poblacion	Kabayan
120.592919474649	16.4250702158404	B02191LZ	Magsaysay East Flyover	Tabora;camdas	Baguio City
120.829594980002	16.6535574469524	B04831LZ	Alanod Bridge	Gusaran	Kabayan
120.5930023955	16.2890758507923	B02172LZ	Ampasit Bridge	Camp 3	Tuba
120.608607404199	16.568422170386	B00910LZ	Datakan Bridge	Datakan	Kapangan
120.833599487865	16.7475726045939	B02673LZ	Man-asok Bridge	Sebang	Buguias
120.834370086788	16.5793447754508	B02662LZ	Pachel Bridge	Adaoay	Kabayan
120.587086493947	16.4232012166837	B04404LZ	Ferguson Bridge № 2	Guisad	Baguio City
120.627406056339	16.6304584954403	B04978LZ	Salacop Bridge	Cuba	Kapangan
120.587643557232	16.4459784447297	B02187LZ	Pico Bridge № 1	Pico	La Trinidad
120.544964716798	16.4343469356667	B02186LZ	Irisan Bridge	Tadiangan	Tuba
120.631272495415	16.6051263888581	B00913LZ	Taba-ao Bridge	Taba-ao Creek	Kapangan
120.599800768305	16.4213067830369	B04283LZ	Rimando Bridge	A. Bonifacio – Caguioa – Rimando	Baguio City
