X	Y	REGION	PROVINCE	DEO	ROAD_NAME	BRIDGE_ID	BR_NAME	BR_LENGTH	BR_TYPE1	YR_CONST	ACTUAL_YR	BR_WIDTH	LOAD_LIMIT	HT_OVER	HT_UNDER	L_SDWALK	R_SDWALK	NUM_LANES	CROSSING	BRGY	MUN	ROAD_SEC_CLASS	ROUTE_NO	MaxBRHT	MaxPierHT
120.915677248619	13.9112075305296	Region Ⅳ-A	Batangas	Batangas 3rd District Engineering Office	Talisay-Laurel-Agoncillo Rd	B04639LZ	Sta. Cruz Br.	26	reinforced_concrete	Year Known	2016	16.37				0.88	0.86	4	River	Santa Cruz	Agoncillo	Tertiary		3.89	
121.179833604413	13.7411667546515	Region Ⅳ-A	Batangas	Batangas 4th District Engineering Office	Batangas-Lobo Rd	B04539LZ	Doña Alicia Br.	20	reinforced_concrete	Year Known	1968	8.42	15			0.85	0.82	2	River	Mapulo	Taysan	Secondary	438	12.15	
121.068468701639	13.7504092096576	Region Ⅳ-A	Batangas	Batangas 2nd District Engineering Office	Batangas-Tabangao-Lobo Rd	B03036LZ	Libjo Br.	20	reinforced_concrete	Year Known	2001	9.55	20			1.1	1.1	2		Libjo	Batangas City	Secondary	439	6.59	
121.075440558153	13.8030345623057	Region Ⅳ-A	Batangas	Batangas 2nd District Engineering Office	Manila-Batangas Rd	B02918LZ	Balagtas Br.	22	steel	Year Known	1950	9.62	20			1.15	1.15	2		Balagtas	Batangas City	Primary	4	17.3	
121.020437968448	14.0926795932626	Region Ⅳ-A	Batangas	Batangas 3rd District Engineering Office	Tanauan-Talisay-Tagaytay Rd	B03160LZ	Banga Br. 1	22	steel	Year Known	1969	8.8	15			0.7	0.7	2	River	Banga	Talisay	Secondary	421	5.94	
121.165653478102	13.9422736822091	Region Ⅳ-A	Batangas	Batangas 4th District Engineering Office	Manila-Batangas Poblacion Rd	B00109LZ	Sabang Br.	16	steel	Year Known	2008	10.15	15			1.24	1.23	2	River	Sabang	Lipa	Secondary	431	15.15	
120.814110994963	13.9267864613799	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Palico-Balayan-Batangas Rd	B00044LZ	Calaca Br.	57	reinforced_concrete	Year Known	1970	9.86	15			1	1.1	2	River	Camastilisan	Calaca	Secondary	436	7.6	6.57
120.963065731024	13.7736788687901	Region Ⅳ-A	Batangas	Batangas 2nd District Engineering Office	Bauan-Mabini Rd	B02925LZ	Sn. Pedro Br.	22	reinforced_concrete	Year Known	1980	9.62	15			1.08	1.08	2		San Pedro	Bauan	Tertiary		5.07	
121.126023775854	13.6336673205278	Region Ⅳ-A	Batangas	Batangas 2nd District Engineering Office	Batangas-Tabangao-Lobo Rd	B04421LZ	Pulot Aplaya Br.	13	reinforced_concrete	Year Known	2008	9.6	20			1.12	1.12	2		Pulot Aplaya	Batangas City	Secondary	439	4.2	
120.912211387635	13.8965036195029	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Lemery-Taal Diversion Rd	B04714LZ	Laguile Br.	36	reinforced_concrete	Post 1970	1982	18.71	15			1.1	1.1	4	River	Laguile	Lemery;Taal	Tertiary		4.8	3.75
121.140002751433	14.1213384061733	Region Ⅳ-A	Batangas	Batangas 3rd District Engineering Office	Daang Maharlika (LZ)	B04640LZ	Santiago Br. 2	15	reinforced_concrete	Year Known	1992	9.3						2		Santiago	Santo Tomas	Primary	1	3.5	
121.183198172836	13.8367475603383	Region Ⅳ-A	Batangas	Batangas 4th District Engineering Office	Batangas-Quezon Rd	B04534LZ	Paninsingin Br.	24	reinforced_concrete	Year Known	2016	17						4		Masaya	Rosario	Secondary	435	6	
120.937560427828	13.8814411096201	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Palico-Balayan-Batangas Rd	B01327LZ	Balisong Br.	5	reinforced_concrete	Year Known	1975	9.55	15			1.05	1.05	2	River	Balisong	Taal	Secondary	436	13.2	
121.212909402141	13.7112019597503	Region Ⅳ-A	Batangas	Batangas 2nd District Engineering Office	Batangas-Lobo Rd	B03031LZ	Yama Br.	14	reinforced_concrete	Year Known	1968	8.3				0.45	0.45	2		Malapad Na Parang	Lobo	Secondary	438	6.27	2.5
120.945697984928	14.0258485989662	Region Ⅳ-A	Batangas	Batangas 3rd District Engineering Office	Talisay-Laurel-Agoncillo Rd	B04641LZ	Buso-Buso Br.	90	reinforced_concrete	Year Known	2015	9.54			5.36	0.75	0.75	2	Road	Buso-buso	Laurel	Tertiary		7.15	4.87
121.425975711109	13.7422784878365	Region Ⅳ-A	Batangas	Batangas 4th District Engineering Office	Sn Juan-Laiya Rd	B03111LZ	Calubcub Br.	6	reinforced_concrete	Year Known	1975	9.5	15			0.44	0.4	2	River	Calubcub	San Juan	Tertiary		3.62	
120.624428628801	14.0909378169184	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Ternate-Nasugbu Rd	B04377LZ	Wawa Br. 2	48	reinforced_concrete	Year Known	2005	9.5	15			1.05	1.1	2	River	Wawa	Nasugbu	Secondary	407	6.6	4
121.211991434115	13.9929278656477	Region Ⅳ-A	Batangas	Batangas 3rd District Engineering Office	Lipa City - Alaminos Rd	B03386LZ	San Juan Br.	115	reinforced_concrete	Year Known	1995	9.53				0.72	0.72	2	River	Santa Cruz	SantoTomas	Tertiary		23.5	16.95
121.096622739171	13.7924346161386	Region Ⅳ-A	Batangas	Batangas 4th District Engineering Office	Batangas-Quezon Rd	B00025LZ	Sabang Br.	85	reinforced_concrete	Year Known	1951	8.36	15			0.78	0.78	2	River	Sabang	Ibaan	Secondary	435	30.5	24.9
120.8436714335	13.9148172642699	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Palico-Balayan-Batangas Rd	B00005LZ	Colong Colong Br.	44	reinforced_concrete	1945-1970	1969	16.95	15			1.1	1.15	4	River	Puring Bato	Calaca	Secondary	436	7.02	2.54
121.426751407169	13.6912957872831	Region Ⅳ-A	Batangas	Batangas 4th District Engineering Office	Sn Juan-Laiya Rd	B03113LZ	Ipil Br.	20	steel	Year Known	1975	9.3	15			0.95	0.95	2	River	Bataan	San Juan	Tertiary		4.7	
120.667295116159	13.9462968856905	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Balayan-Balibago Rd	B03051LZ	Duhatan Br.	11	reinforced_concrete	Post 1970	1989	9.42	15			1.11	1.11	2	River	Duhatan	Balayan	Secondary	409	5.6	
121.054103583483	14.0960936756371	Region Ⅳ-A	Batangas	Batangas 3rd District Engineering Office	Tanauan-Talisay-Tagaytay Rd	B03155LZ	Angasin Br.	12	reinforced_concrete	Year Known	1969	8.88	15	4.91		0.6	0.6	2	River	Aya	Talisay	Secondary	421	3.65	
121.310526301558	13.8444754263786	Region Ⅳ-A	Batangas	Batangas 4th District Engineering Office	Rosario-Sn Juan Rd	B02997LZ	Pinagsibaan Br. 1	25	reinforced_concrete	Year Known	1975	16.8	15			0.31	0.31	4	River	Pinagsibaan	Rosario	Secondary	422	10.5	
120.728730470912	13.9960702398679	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Palico-Balayan-Batangas Rd	B01265LZ	Atga Br.	12	reinforced_concrete	Post 1970	1938	9.95	15			1.56	1.56	2	River	Tuyon-tuyon	Tuy	Secondary	436	5.2	2.4
120.969898127016	13.7791178502312	Region Ⅳ-A	Batangas	Batangas 2nd District Engineering Office	Bauan-Mabini Rd	B02924LZ	Sta. Maria Br.	40	reinforced_concrete	Year Known	1980	9.35	15			1	1	2	River	Santa Maria	Bauan	Tertiary		6.02	3.4
120.651191316653	14.0427861027049	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Nasugbu-Lian-Calatagan Rd	B03176LZ	Lian Br.	113	reinforced_concrete	Post 1970	1992	10.2	15			1.4	1.4	2	River	Lian;nasugbu	Lian;Nasugbu	Secondary	408	12.5	13.4
120.981112801059	14.0875529575623	Region Ⅳ-A	Batangas	Batangas 3rd District Engineering Office	Talisay-Laurel-Agoncillo Rd	B04637LZ	Caloocan Br.	24	reinforced_concrete	Year Known	1960	0						4		Caloocan	Talisay	Tertiary			
121.214412364773	13.725683503636	Region Ⅳ-A	Batangas	Batangas 4th District Engineering Office	Batangas-Lobo Rd	B03030LZ	Bacao Br.	33	reinforced_concrete	Year Known	2008	9.56	20	6		0.7	0.72	2	River	Piña	Taysan	Secondary	438	8.95	
120.751860818602	13.9452521714355	Region Ⅳ-A	Batangas	Batangas 1st District Engineering Office	Palico-Balayan-Batangas Rd	B00010LZ	Gimalas Br.	20	steel	Year Known	1975	9.8	15			1.2	1.2	2	River	Gimalas	Balayan	Secondary	436	10.7	
121.149019665274	14.0912361113572	Region Ⅳ-A	Batangas	Batangas 3rd District Engineering Office	Manila-Batangas Rd	B04541LZ	San Juan Br.	47	reinforced_concrete	Year Known	1947	18	15			0.73	0.71	4	River	Barangay 4	Tanauan	Primary	4	17	5.96
121.213487381114	13.6846449809269	Region Ⅳ-A	Batangas	Batangas 2nd District Engineering Office	Batangas-Lobo Rd	B04829LZ	San Miguel Br.	17	reinforced_concrete	Year Known	2008	9.55	15			1.12	1.11	2	River	San Miguel	Lobo	Secondary	438	6.6	
121.099502783683	13.6249058191715	Region Ⅳ-A	Batangas	Batangas 2nd District Engineering Office	Batangas-Tabangao-Lobo Rd	B04419LZ	De La Paz Proper Br.	12	reinforced_concrete	Year Known	2008	9.5	20			1.07	1.07	2	River	Dela Paz Proper	Batangas City	Secondary	439	3.74	
121.00093826329	13.7956626748966	Region Ⅳ-A	Batangas	Batangas 2nd District Engineering Office	Palico-Balayan-Batangas Rd	B02920LZ	Manghinao Br.	30	reinforced_concrete	Year Known	1945	17.2	15			1.1	1.1	4	River	Manghinao	Bauan	Secondary	436	11.2	10
