X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
125.113633452731	7.69359489610009	B01381MN	Dilapa Br.	Salawagan	Quezon
125.153705255534	8.03763556730891	B01358MN	Linabo Br.	Linabo	Malaybalay
124.889999465834	8.5282024699012	B01085MN	Cagascas Br.	Kalingking	Malitbog
124.813791096475	7.82680429485079	B01441MN	Kilisawon Br.	Lantay	Pangantucan
124.982740367283	7.77348152300407	B01431MN	Maramag Br.	Base Camp	Maramag
125.379772180272	7.83336765864572	B01653MN	Sumpitan Br. 1	Namnam	San Fernando
125.022660942723	8.556112501258	B01716MN	Siloo Br.	San Luis	Malitbog
124.564878667801	8.0934931673917	B01395MN	Tinongtongan Br.	Indulang	Talakag
125.032044141493	8.22670604990516	B01365MN	Ipoon Br.	Impalutao	Impasug-ong
124.724022012894	7.88014320306954	B01091MN	Olayan Br.	Bacusanon	Pangantucan
125.112428578431	8.04128439783235	B01850MN	Dalaingan Br.	Bugcaon	Lantapan
125.351922011765	7.89018815429047	B01654MN	Kalagutay Br.	Mabuhay	San Fernando
124.794926151875	8.02622766674069	B01658MN	Mambuao Br.	Miarayon	Talakag
124.941845188425	7.69450109354635	B01415MN	Mulita Br.	San Nicolas	Don Carlos
125.206760876025	7.5725478638821	B01385MN	Maluos Br.	Kahusayan	Kitaotao
124.584914033242	8.14761922063889	B01400MN	Tal-Uban Br.	Basak	Talakag
125.039165979913	7.72432537668371	B01379MN	Buayan Br.	San Jose	Quezon
125.166443101461	8.03202225537845	B01359MN	Abuhan Br.	Managok	Malaybalay
124.815551695754	8.42161081740144	B01492MN	New Alae Br.	Alae	Manolo Fortich
125.147393292959	8.05333515013751	B01357MN	Aglayan Br.	Aglayan	Malaybalay
124.785105607824	7.64942639663727	B01452MN	Manubiray Br.	Lampanusan	Kalilangan
124.800173881916	7.82391984258355	B01443MN	Marabog Br.	Lantay	Pangantucan
124.641679243534	7.87177203289228	B01098MN	Puthawon Br.	Malinao	Kalilangan
125.393524420345	7.74877950389994	B01650MN	Salug Br.	San Jose	San Fernando
124.84484753688	8.3800069450524	B01495MN	Dicklum Br.	Dicklum	Manolo Fortich
125.092296117507	8.17858206542957	B01367MN	Kabakahan Br.	Patpat	Malaybalay
124.902853071368	7.81286802784448	B01436MN	Kuya Br.	Kuya	Maramag
125.127413204211	8.1526601816778	B01250MN	Sn Isidro Br.	Barangay 4	Malaybalay
124.848013015702	8.53630346947933	B01083MN	Sumalsag Br.	Santa Ines	Malitbog
124.836917275334	7.83033219075995	B01439MN	Mulita Upper Br.	Poblacion	Pangantucan
124.889240215857	8.04993220617588	B01235MN	Panambongon Br.	Kibangay	Lantapan
124.99474160359	7.57723909650788	B01376MN	Kanapolo Br.	Palma	Kibawe
125.306364724563	8.16007896204251	B01362MN	Silae Br.	Siale	Malaybalay
124.850857074156	7.63337240861338	B01449MN	Kidangin Br.	Langcataon	Pangantucan
124.827304419074	8.39917045072849	B01494MN	Lunocan Br.	Lunocan	Manolo Fortich
125.195551032675	7.59079202678478	B01384MN	Rawari Br.	Rawari	Quezon
125.424843855362	7.69696498322119	B01644MN	Malugos Br.	Kalagangan	San Fernando
124.741781449638	7.72265664481061	B01388MN	Malatipay Br.	Macaopao	Kalilangan
125.097604812773	7.90575383625505	B01657MN	New Batangan Br.	Batangan	Valencia
124.726044422469	8.00704500470942	B01273MN	Cumba Br.	Tagbak	Talakag
124.95900711796	8.37784948211308	B01497MN	Kulaman Br.	Maluko	Manolo Fortich
124.923322304575	8.05642882749793	B01234MN	Maagnao Br.	Cawayan	Lantapan
125.388172423922	7.71582580752166	B01649MN	Mampilo Br.	Cayaga	San Fernando
124.575526222018	8.09529978070939	B00604MN	Gubotan Br.	Indulang	Talakag
124.979769567405	8.32277817054165	B01498MN	Alalum Br.	Poblacion	Impasug-ong
124.925301097472	7.79212803035475	B01432MN	San Miguel Br.	San Miguel	Maramag
124.569794823403	8.09268623891929	B00605MN	Lower Pigcutin Br.	Indulang	Talakag
124.912103590406	7.80499495466405	B01434MN	Sumal-ang Br.	Colambugon	Maramag
124.714051650036	7.77021281475382	B01095MN	Lower Olayan Br.	Malinao	Kalilangan
125.092628185191	7.91366264112594	B01884MN	Panlibatuhan Br.	Poblacion	Valencia
124.662549104471	7.91552683752749	B01093MN	Kinakawayan Br.	Dominorog	Talakag
125.054755137386	7.86363230271147	B01373MN	Musuan Br.	Dologon	Maramag
125.42744797695	7.69463663200637	B01642MN	Kaulangowan Br	Kalagangan	San Fernando
124.809294850549	8.03449575509039	B01816MN	Sunggod Br.	Lirongan	Talakag
124.993976135537	8.27819058929393	B01499MN	Monjoe Br.	Poblacion	Impasug-ong
125.293535141919	8.21264167665145	B01364MN	Tigpanique Br.	Zamboanguita	Malaybalay
124.841188507087	8.35738357772076	B01411MN	Upper Dicklum Br.	Dicklum	Manolo Fortich
124.813247209091	7.82597376999383	B01442MN	Lantay Br.	Lantay	Pangantucan
125.111462642946	7.70537579190415	B01380MN	Manuto Br.	Libertad	Quezon
125.426018741103	7.69425517527573	B01643MN	Nasinabong Br.	Kalagangan	San Fernando
124.790729513982	8.32140319268626	B01413MN	Sta. Fe Br.	Santa Fe	Libona
124.725190424593	7.88022836798629	B01090MN	Bugwak Br.	Bacusanon	Pangantucan
124.913816518436	7.67799762070424	B01416MN	Masimag Br.	Masimag	Don Carlos
125.030263941803	7.70574604122267	B00394MN	Pulangi Br.	Camp 1	Quezon
125.125425300926	8.14602443065201	B01251MN	Mamala Br.	Barangay 10	Malaybalay
124.807594469276	8.3215621480725	B01412MN	Agusan Canyon Br.	Agusan Canyon	Manolo Fortich
124.816039134317	8.42153484093124	B01493MN	Alae Old Br.	Alae	Manolo Fortich
125.096266139574	8.01810182348867	B01232MN	Kulasihan Br.	Kulasihan	Lantapan
124.739352138483	7.74470156069582	B01444MN	Macapantig Br.	Pamutolon	Kalilangan
125.328569951204	7.91786780117614	B01655MN	Mawi-i Br.	Halapitan	San Fernando
125.013687629075	7.81580854168409	B01374MN	Kulaman Br.	Bayabason	Maramag
125.421537904994	7.70593940576235	B01646MN	Kalagangan Br.	Kalagangan	San Fernando
124.89748629875	8.52304433013273	B01086MN	Kalingking Br.	Kalingking	Malitbog
124.839287854428	7.83084007489032	B01438MN	Bongbong Br.	Adtuyon	Pangantucan
125.012846428309	7.7190680132657	B01375MN	Camp 1 Br.	Camp 1	Maramag
124.912184281775	7.65395251848705	B01417MN	Lalapoy Br.	Kalubihon	Don Carlos
124.922848550548	7.79489919853476	B01433MN	Colambugon Br.	Colambugon	Maramag
124.861773142484	7.81663227100076	B01437MN	Baguik-ikan Br.	Adtuyon	Pangantucan
124.982045951104	7.56913219537404	B01446MN	Apolang Br.	Poblacion Kibawe	Kibawe
125.011630176953	8.30520246338766	B01248MN	Impasug-ong Br.	Poblacion	Impasug-ong
124.742738205388	8.00507123377536	B01272MN	Kiduwaon Br.	Tagbak	Talakag
125.034354728891	8.21931286078287	B01366MN	Komotal Br.	Dalwangan	Malaybalay
124.820782382058	7.8321655471478	B01440MN	Kinilayan Br.	Poblacion	Pangantucan
125.225223339251	7.56055438025981	B01386MN	Simod Br.	Sinuda	Kitaotao
125.103260489255	7.94384903332413	B01371MN	Malingon Br.	Bagontaas	Valencia
125.00983745871	8.30710848283475	B01247MN	Panoon Br.	Poblacion	Impasug-ong
124.730958817196	8.34296120813324	B01414MN	Sinalagao Br.	Poblacion Libona	Libona
124.651889917061	7.91011404168691	B01094MN	Dominorog Br.	Dominorog	Talakag
124.877677572299	7.43513345113702	B01378MN	Omonay Br.	Omonay	Damulog
125.379772180272	7.83336765864572	B01675MN	Sumpitan Br. 2	Namnam	San Fernando
124.842971522904	7.63526336757487	B01450MN	Mig-asa Br.	Kipaducan	Pangantucan
124.880602670279	8.3764817413656	B01496MN	Mangima Br.	Tankulan	Manolo Fortich
124.998068445099	8.56716790989334	B01817MN	Sabangahan Br.	San Luis	Malitbog
125.001272674628	8.26985877296752	B01249MN	Atugan Br.	Santa Ana	Impasug-ong
124.585551524985	8.2904706689636	B01399MN	Uguiaban Br.	San Isidro	Talakag
124.859301875971	8.0440832142348	B01237MN	Timago Br.	Basak	Lantapan
125.393333543357	7.82289608301382	B01652MN	Namnam Br.	Namnam	San Fernando
125.129855284189	8.14502497733348	B01369MN	Sawaga Br.	Barangay 7	Malaybalay
125.208010294364	7.5678333552527	B01815MN	Maluos Br. 2	Cabalansihan	Kitaotao
125.286149141132	8.06629454842116	B01361MN	Bobonawan Br.	Mandaing	Cabanglasan
124.812341621422	7.65406775855669	B01451MN	Kiorayag Br.	Bangahan	Pangantucan
124.909106134894	7.80958273831012	B01435MN	Migpajo Br.	Colambogon	Maramag
124.673603773322	7.84114141438388	B01097MN	Pasayanon Br.	Malinao	Kalilangan
125.424838119176	7.69972452572871	B01645MN	Pusod Br.	Kalagangan	San Fernando
124.913915057847	7.59974083465047	B01448MN	Ukitan Br.	Poblacion Kadingilan	Kadingilan
124.932550625377	7.47510696345588	B01377MN	Damulog Br.	Poco-poco	Damulog
125.266670791518	7.93622338638739	B01656MN	Salolong Br.	Sacramento Valley	San Fernando
124.860407759525	8.52979541137183	B01084MN	Malitbog Br.	Pat-pat	Malitbog
124.844441691395	8.38041921422583	B01910MN	New Dicklum Br.	Dicklum	Manolo Fortich
125.072299272399	7.81253954573121	B01389MN	BUSCO Br.	Butong	Quezon
125.121482966756	8.04759360308239	B01231MN	Bugcaon Br.	Poblacion	Impasug-ong
125.267622682426	8.07287231870261	B01360MN	Capinonan Br.	Capinonan	Cabanglasan
124.782916499513	8.31930722388101	B01912MN	Libona Br.	Poblacion	Libona
124.625138140423	8.03685084659635	B01401MN	Pigcutin Br.	Ticalaan	Talakag
125.123340188663	7.61127077947313	B01383MN	Puntian Br.	Puntian	Quezon
124.87858659665	8.03910610811265	B01236MN	Tugasan Br.	Kibangay	Lantapan
125.395667299277	7.79255447883085	B01651MN	Bonacao Br.	Bonacao	San Fernando
124.76773460176	8.01006159954858	B01271MN	Sagayon Br.	San Miguel	Talakag
125.134286759313	7.98851078939378	B01370MN	Manupali Br.	Bangcud	Malaybalay
124.957955494782	8.36885161902716	B01911MN	Maluko Viaduct	Maluko	Manolo Fortich
124.984567512872	8.02621023619633	B01233MN	Alanib Br.	Alanib	Lantapan
124.726919569233	7.74717460729119	B01445MN	Maradugao Br.	Pamutolon	Kalilangan
125.392983708025	7.69910231287262	B01648MN	Baugan Br.	Kalagangan	San Fernando
124.641671822278	8.02957352875672	B01282MN	Ticalaan Br.	Ticalaan	Talakag
125.115478678256	8.16437713554528	B01368MN	Kalasungay Br.	Kalasungay	Malaybalay
125.403811260516	7.69593452571448	B01647MN	Balacayo Br.	Kalagangan	San Fernando
