X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
124.67914922642	9.11970398415195	B00017CG	Alga Br.	Alga	Catarman
124.702688562965	9.2505302540312	B00028CG	Baylao Br.	Poblacion	Mambajao
124.737660573619	9.23886518772578	B00003CG	Balbagon Br. 2	Balbagon	Mambajao
124.670330897334	9.13005257703544	B00019CG	Looc Br.	Poblacion	Catarman
124.779402233813	9.19701450222462	B00008CG	Tupsan Br.	Tupsan	Mambajao
124.783827346726	9.09379640027593	B00013CG	Guinsiliban Br.	Poblacion	Guinsiliban
124.70885419612	9.25015216078558	B00029CG	Lumad Br.	Baylao	Mambajao
124.742922161509	9.23179283056904	B00005CG	Maubog Br. 2	Balbagon	Mambajao
124.790319699012	9.1218258148496	B00026CG	Maac Br.	Maac	Guinsiliban
124.729143898955	9.24539793738631	B00002CG	Balbagon  Br. 1	Balbagon	Mambajao
124.762165500076	9.21293780759524	B00007CG	Magting Br.	Magting	Mambajao
124.667235070808	9.13180247653109	B00020CG	Dinangasan Br.	Looc	Catarman
124.641861874646	9.16178974711527	B00022CG	Timayog Br. 2	Lawigan	Catarman
124.739434314847	9.10443628281415	B00023CG	Aguran Br.	Alangilan	Sagay
124.785478284412	9.17105585340942	B00025CG	Hubangon Br. 2	Hubangon	Mahinog
124.643269881405	9.15960868951311	B00021CG	Timayog Br. 1	Lawigan	Catarman
124.750486220906	9.22597590880655	B00006CG	Anito Br.	Anito	Mambajao
124.740227085825	9.23532592052524	B00027CG	Maubog Br.	Balbagon	Mambajao
124.784549074731	9.17542526113388	B00024CG	Hubangon Br. 1	Hubangon	Mahinog
124.726099701378	9.1040702072463	B00015CG	Sagay Br.	Poblacion	Sagay
124.677531630992	9.12078830642304	B00018CG	Puti Br.	Poblacion Catarman	Catarman
124.794199503897	9.15007333153625	B00010CG	Lutao Br.	San Roque	Mahinog
124.72057369112	9.24824312058861	B00001CG	Trining Br.	Poblacion	Mambajao
124.699453587677	9.11134806705553	B00016CG	Bugang Br.	Bugang	Sagay
124.78878262253	9.11660940736371	B00012CG	Cantaan Br.	Kauswagan;Cabuan	Guinsiliban
