X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
122.647738968433	11.3158111949151	B00262PN	Mait Br.	Santo Nino	Dumalag
122.644257467442	11.427892269149	B00268PN	Guintas Br.	Guintas	Sigma
122.578050799352	11.4814561517326	B00264PN	Sisi Br.	Maninang	Sapi-an
122.771040813415	11.2410575775289	B00535PN	Quisan Br.	Dacuton	Dumarao
122.794499661389	11.5667429423171	B00242PN	Tadiao Br.	Linatiran	Panay
122.782357980293	11.3865966212846	B00073PN	Maayon Br.	Poblacion	Maayon
122.680748480755	11.2717886073398	B00047PN	President Br.	Ongol	Dumarao
122.833894084672	11.470720701945	B00525PN	Malag-it Br.	Malag-it	Pontevedra
122.666092122052	11.4201501782642	B00233PN	Sigma Br.	Poblacion	Sigma
122.676409482538	11.3436632801	B00498PN	Pangawitao Br.	Poblacion	Cuartero
122.764223326794	11.5023730125866	B00494PN	Adlawan Br.	Adlawan	Roxas
122.736759503265	11.3273284190138	B00499PN	Maindang Br.	Maindang	Cuartero
122.753036153892	11.5818512396117	B00240PN	Capiz Br.	Barangay 1	Roxas
122.746800018242	11.5796248408907	B00492PN	Roxas City Br.	Punta Tabuc	Roxas
122.831938577532	11.4829054689454	B00496PN	Agbalo Br.	Poblacion Tabuc	Pontevedra
122.5598489695	11.4175565682112	B00274PN	Caidquid Br.	Cidquid	Mambusao
122.476017364947	11.4057274440504	B00454PN	Linambasan Br.	Linambasan	Jamindan
122.653634346818	11.4982605163393	B00266PN	Mahanlud Br.	Mahanlud	Sapi-an
122.527055228133	11.1945783960717	B00259PN	Malitbug Br. 1	Malitbog	Tapaz
122.72895382833	11.5587714788097	B00490PN	Dinginan Br.	Dinginan	Roxas
122.788863559691	11.5489360514548	B00243PN	Calitan Br.	Calitan	Panay
122.767556526048	11.4611884421247	B00278PN	Panitan Br. 2	Poblacion Ilaya	Panitan
122.597832731532	11.440581742864	B00555PN	Ilo Br.	Ilawod Proper	Mambusao
122.669454003585	11.3063769016574	B00230PN	Badbaranan Br.	Tinaytayan	Dumarao
122.67501265061	11.3997467771532	B00232PN	Balucuan Br.	Dayhagon	Dao
122.735794080894	11.2509146741033	B00050PN	Maripo Br.	Bungsuan	Dumarao
122.775336731178	11.5851439834509	B00241PN	Banica Br.	Banica	Roxas
122.841467402989	11.4324659850388	B00247PN	Malabiao Br.	Rizal	Pontevedra
122.688772959699	11.2537777770909	B00048PN	Codingle Br.	Codingle	Dumarao
122.51216060373	11.4070464027523	B00079PN	Jamindan Br.	Poblacion	Jamindan
122.693065786689	11.4646272935294	B00235PN	Ibian Br.	Mianay	Sigma
122.503214113047	11.4171912787975	B00080PN	Guintas Br.	Poblacion	Jamindan
122.702751390246	11.2507901408898	B00049PN	Tamulalud Br.	Tamulalud	Dumarao
122.652816592245	11.33659088316	B00263PN	Mapanag Br.	Santa Cruz	Dumalag
122.743524756883	11.5737200000416	B00491PN	Punta Tabuc Br.	Punta Tabuc	Roxas
122.694684589574	11.4967704216824	B00236PN	Mianay Br.	Mianay	Ivisan
