X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
122.980023892044	13.7284447654252	B00381LZ	Catamac Br.	Bikal	Libmanan
123.492350734194	13.6906322031031	B00479LZ	Baliguan Br.	Matacla	Goa
123.806815322724	13.8079452768155	B04266LZ	Bahay Br.	Bahay	Caramoan
122.79372597088	13.8210194569868	B00437LZ	Ragay Br.	Lower Santa Cruz	Ragay
123.286499121411	13.5432015616501	B00406LZ	Caditaan Br.	Anayan	Pili
123.520533381794	13.5936747638304	B02384LZ	Sagnay Br.	Del Carmen	Sagñay
123.156668048265	13.5758580413744	B00397LZ	Baraca Br. 1	Buenavista	San Fernando
123.701034183332	13.7248081956837	B04168LZ	Adiangao Br. 2	Adiangao	San Jose
123.410707867774	13.8946689761639	B00518LZ	Aprang Br.	Tamban	Tinambac
123.497776161872	13.6321881923306	B00475LZ	Mabca Br.	Poblacion	Tigaon
123.384357971833	13.7452076382026	B00509LZ	Lupi Br.	Lupi	Tinambac
122.66248909132	13.8839795317698	B00445LZ	Katabangan Br.	Nagkalit	Del Gallego
123.096303255434	13.5718693898439	B00392LZ	Pahoho Br.	Pahoho	Pamplona
123.632364499759	13.7243299961148	B00489LZ	Panicuan Br.	Panicuan	Lagonoy
123.695283386521	13.8476361023075	B01888LZ	Teres Br.	Teres	Garchitorena
122.960715465463	13.8401512534725	B00375LZ	Calagbangan Br.	Calagbangan	Sipocot
123.200932523408	13.5622023199526	B04202LZ	FVR Br. 2	Del Carmen	Minalabac
122.810386479916	13.7934142425002	B00436LZ	Pangaluan Br.	Agrupacion	Ragay
123.01335816999	13.6632309280988	B00384LZ	Uguis Br.	Uguis	Libmanan
123.542907100495	13.5554249113742	B02387LZ	Sibaguan Br.	Sibaguan	Sagñay
123.048905965432	13.5298377252214	B00450LZ	Canal Br.	Santa Rosa Del Norte	Pasacao
123.2742798468	13.7318013340583	B04200LZ	Hinagyanan Br. 2	Manguiring	Calabanga
122.94288166793	13.9219666116924	B02809LZ	New Bahi Br.	San Jose-alanao	Lupi
123.091555141622	13.5732164332618	B00391LZ	Tiniguiban Br.	Tiniguiban	Pamplona
123.381308150506	13.4122390151677	B00465LZ	Nabua Br.	San Francisco	Nabua
123.563631556784	13.7374401627139	B01000LZ	Baliwag Br.	Burabod	Lagonoy
123.365106009005	13.8190680769725	B00512LZ	Codong Br.	Olag;Pequeño	Tinambac
122.981467265157	13.7802507361038	B00378LZ	Impig Br. 1	Impig	Sipocot
123.295531646757	13.5447519323881	B00407LZ	Sagrada Br.	Sagrada	Pili
123.025906370447	13.6417144505313	B04475LZ	Naubod Br. 1	Busak	Libmanan
122.775827378157	13.8327481098965	B00438LZ	Panaytayan Br.	Panaytayan	Ragay
123.407224010985	13.4211654729177	B00464LZ	San Miguel Br. 2	San Miguel	Iriga
123.530009719055	13.7424546009403	B00482LZ	Lagonoy Br.	Santa Maria	Lagonoy
123.386612086843	13.876903791517	B00515LZ	Tongkig Br.	Banga	Tinambac
123.767046351913	13.8191648336355	B04762LZ	Sta. Cruz Br.	Santa Cruz	Caramoan
123.375067050268	13.4015429352445	B04903LZ	San Miguel Br.	San Miguel	Nabua
123.520939714777	13.6766759430292	B02550LZ	Rangas Br. 2	Mampirao	San Jose
123.007072113476	13.6740426979863	B00383LZ	Aslong Br.	San Isidro	Libmanan
122.885396904247	13.7828319560444	B00435LZ	PNR Overpass	Colacling	Lupi
123.584444105452	13.537448257401	B02389LZ	Igot Br.	Patitinan	Sagñay
123.353204308333	13.8210031617233	B00511LZ	Lupi Br.	Binalay	Tinambac
123.269458756959	13.5682639600977	B01182LZ	Pili Diversion Br. 1	San Agustin	Pili
123.086610926229	13.5738903431073	B00390LZ	Bagula Br.	Del Roasario	Pamplona
122.940583795231	13.9185842609047	B00369LZ	Small Bahi Br.	San Jose Alanao	Lupi
123.577522853632	13.5419356003525	B02388LZ	Patitinan Br.	Patitinan	Sagñay
123.388626134614	13.7447531195938	B00508LZ	Bolo Br.	Payatan	Goa
123.320393297704	13.5470527481822	B00409LZ	Himaao Br.	Himaao	Pili
123.2040707275	13.7054866579653	B00426LZ	Calabanga Br.	San Isidro	Calabanga
123.581518198128	13.7317644977206	B01276LZ	Quinayangan Br.	Quinayangan	Lagonoy
123.197448129911	13.7052818844212	B00427LZ	Hinulid Br.	Santa Salud	Calabanga
123.682169331091	13.7220272035851	B04166LZ	Gepangpang Br.	Gepangpang	Presentacion
122.975736816552	13.7570369490303	B00380LZ	Sipocot Br.	Tara	Sipocot
123.252096827293	13.6020062265017	B00401LZ	Marapong Br.	Palestina	Pili
123.423445902565	13.5752745988535	B00416LZ	Hanawan Br.	Hanawan	Ocampo
123.388398716856	13.3467981448584	B00459LZ	Unknown Br. 2	San Miguel	Bato
123.297930627731	14.0187931237158	B04989LZ	Nalayahan Br.	Nalayahan	Siruma
123.263123989433	13.5753219707789	B04635LZ	San Jose Br.	San Jose	Pili
122.588292694879	13.9312396864927	B00447LZ	Cabatbatan Br.	Comadogcadog	Del Gallego
123.387928028554	13.8909178292331	B00516LZ	Banga Br.	Banga	Tinambac
123.412934172443	13.5678834792737	B00414LZ	Pinit Pequeña Br.	Pinit	Ocampo
123.243946491226	13.537032289623	B04480LZ	Mataorok Br.	Mataoroc	Minalabac
122.603486904279	13.9209977861727	B00446LZ	Kilbay Br.	Cabasag	Del Gallego
123.121479745709	13.5594697380875	B00395LZ	Pamukid Br.	Pamukid	San Fernando
123.50809457138	13.6981815312852	B00481LZ	San Jose Br.	Boclod	San Jose
123.781322720311	13.8153664094103	B01895LZ	Pili Br.	Tabiguian	Caramoan
123.393230169021	13.4463194723718	B00462LZ	Waras Br.	San Agustin	Iriga
123.499038032536	13.6436307409525	B00477LZ	San Antonio Br. 2	San Antonio	Tigaon
123.36157855919	13.45249190482	B00453LZ	San Francisco Br.	San Francisco	Iriga
123.181453034071	13.6596932762161	B00420LZ	Magarao Br. 2	Santo Tomas	Magarao
123.495716747244	13.6974867231687	B00480LZ	Kulasi Br.	San Jose	Goa
123.519851767671	13.6817149795309	B04206LZ	Pugay Br.	Pugay	San Jose
123.199850840282	13.6853337061647	B00422LZ	Bombon Br. 1	San Roque	Bombon
122.947434543333	13.8677956021825	B00373LZ	Yabo Br.	North Villazar;Sooc	Lupi
123.341107296443	13.5432936370098	B00410LZ	Ayugan Br.	Ayugan	Ocampo
123.053077314927	13.551185737223	B04479LZ	Quitang Br.	Quitang	Pasacao
123.384106183359	13.3485604147736	B00458LZ	Unknown Br. 1	San Miguel	Bato
123.497565140352	13.639542321407	B00476LZ	Sagpon Br.	Sagpon	Tigaon
123.319666375644	13.4963170486724	B00452LZ	Agdangan Br.	Agdangan	Baao
123.196626622456	13.5635866988785	B04201LZ	FVR Br. 1	Del Carmen	Minalabac
123.446865688637	13.5810529780556	B02379LZ	Balangao Br.	Mabalodbalod	Tigaon
122.686583679011	13.8521828548921	B00444LZ	Malabog Br.	Port Junction Sur	Ragay
123.522075237283	13.5987343864228	B02383LZ	Mapanag Br.	Del Carmen	Sagñay
123.183867099041	13.6195405919546	B00472LZ	Tabuco Br.	Tabuco	Naga
123.175930826764	13.5956428220449	B00399LZ	Milaor Br. 1	San Roque	Milaor
123.335673323097	13.8199640649286	B04208LZ	Pasusuhan Br.	Binalay	Tinambac
123.183031508722	13.6148765467386	B02549LZ	Mabolo Br.	Mabolo	Naga
122.886211530775	13.7826333581647	B00434LZ	Mauca Br.	Bulawan	Lupi
123.414606263227	13.5691857119496	B00415LZ	Pinit Grande Br.	Pinit	Ocampo
123.028787199366	13.6367246867491	B00387LZ	Nagkupa Br.	Nagkupa	Libmanan
123.366152721166	13.4547201445755	B00461LZ	Baao Br. 2	San Ramon-san Nicolas	Baao
123.199742837591	13.6861191481748	B00423LZ	San Antonio Br.	San Antonio	Bombon
123.159847914901	13.5790360644931	B04478LZ	Baraca Br. 2	Buenavista	San Fernando
123.199770854128	13.6866409307403	B00424LZ	San Isidro Br.	San Isidro	Bombon
123.334647049661	13.826678566355	B04990LZ	Siulo Br.	Camagong	Tinambac
122.961727319712	13.7944308092084	B00377LZ	Abobo Br.	Bolo Sur - Alteza	Sipocot
123.271682288684	13.5603440950704	B00404LZ	Hamorawon Br.	San Isidro	Pili
123.026082395037	13.6414040637724	B04476LZ	Naubod Br. 2	Busak	Libmanan
123.500151047246	13.6486907214523	B00478LZ	San Antonio Br. 3	San Antonio	Tigaon
123.34104916119	13.8147287250049	B00510LZ	Binalay Br.	Binalay	Tinambac
123.432287387933	13.5517680531824	B00417LZ	May-ogob Br.	May-ogob	Ocampo
123.370521498864	13.5563841576875	B00411LZ	Tabuan Br.	Poblacion	Ocampo
123.534790588151	13.5568108816855	B02386LZ	Anonangan Br.	Sibaguan	Sagñay
123.421716857664	13.7591989395071	B00487LZ	Salog Br.	San Isidro West	Goa
122.976273016534	13.7240374206688	B00382LZ	Cabangog Br.	Bical	Libmanan
122.750714252953	13.8192625170323	B00440LZ	Binahan Br.	Lower Binahan	Ragay
123.496712092528	13.6796373496933	B04207LZ	Rangas Br. 3	Matacla	Goa
123.292220872213	13.5262756684767	B00451LZ	Pawili Br.	Pawili	Bula
123.280941709844	13.5606983629898	B01185LZ	Pili Diversion Br. 3	San Vicente	Pili
123.153569792627	13.7081973101544	B00428LZ	Bayawason Br.	San Bernardino	Calabanga
123.374986390763	13.3993365092711	B00456LZ	Cagas Br.	Santiago Young	Nabua
123.691249792841	13.7209041911226	B04167LZ	Adiangao Br. 1	Adiangao	San Jose
123.443084585041	13.7059701098598	B00483LZ	Guabang Br.	Pinaglabanan	Goa
123.254374698786	13.5994833491336	B00402LZ	Cadlan Br.	Cadlan	Pili
123.365099580652	13.4275999193609	B00454LZ	Imban Br.	San Antonio	Nabua
123.668938505491	13.720508793668	B01473LZ	Maangas Br.	Maangas	Presentacion
123.430641202969	13.7100268567097	B00484LZ	Marison Br.	Hiwacloy	Goa
122.978768576918	13.7752768196671	B00379LZ	Impig Br. 2	Impig	Sipocot
123.281222807641	13.5437697003016	B00405LZ	Anayan Br.	Anayan	Pili
123.718957441176	13.7199658692829	B00491LZ	Cagnipa Br.	Cagnipa	Presentacion
123.862447663752	13.7529070683414	B01904LZ	Salvacion Br.	Salvacion	Caramoan
123.206897927746	13.5555114047136	B04203LZ	FVR Br. 3	Malitbog	Minalabac
122.960096550809	13.7632587453217	B00431LZ	Malangog Br.	Gaongan;Taisan	Sipocot
123.467357338831	13.5981344684592	B02381LZ	Ocine Br.	Panagan	Tigaon
123.101279957936	13.5704789920856	B00393LZ	San Gabriel Br.	San Gabriel	Pamplona
123.408030752658	13.4213338504929	B00463LZ	San Miguel Br. 1	San Miguel	Iriga
