X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
124.184776467094	14.0400419408389	B00112CN	Tariwara Br. 2	Tariwara	Pandan
124.269187274935	13.894657444246	B00070CN	Sara-saraan Br.	San Miguel	Panganiban
124.21645697534	14.0763171159916	B00110CN	Baldoc Br.	Baldoc	Pandan
124.241742153054	13.5889377090308	B00001CN	Sinibaan Br.	Francia	Virac
124.394337581116	13.833253819634	B00092CN	Sicmil Br.	Sicmil	Gigmoto
124.279596788821	13.8981040381209	B00076CN	Kandao Br.	San Miguel	Panganiban
124.269447641162	13.9987147171028	B00104CN	Bugao Br.	Bugao	Bagamanoc
124.048650083746	13.6308029932651	B00037CN	Anonangan Br.	Cabcab	San Andres
124.137604376931	13.9674112558917	B00113CN	Dariao Br.	Dariao	Caramoran
124.101829202278	13.7087442807899	B00085CN	Hilawan Br.	Hilawan	San Andres
124.163270578306	13.9025966367445	B00031CN	San Jose Br.	Rizal	Caramoran
124.10655573677	13.7267866341004	B00086CN	Manambrag Br.	Manambrag	San Andres
124.137736074142	13.7774299573211	B00034CN	Hitoma Br.	Salvacion	Caramoran
124.38345447474	13.7288100599829	B00099CN	Genitligan Br.	Genitligan	Baras
124.270097101082	13.7406946266008	B00014CN	Paraiso Br.	Paraiso	San Miguel
124.078559121317	13.6093004953645	B00038CN	Alibuag Br.	Alibuag River	San Andres
124.133613371225	13.8274171503882	B00105CN	Panabananon Br.	Guiamlong	Caramoran
124.296758276037	13.6219006648407	B00089CN	Balongbong Br.	Balongbong	Bato
124.382007393737	13.8899801042668	B00075CN	Buenavista Br. 1	Buenavista	Viga
124.072374084751	13.6143915187943	B00117CN	Datag Br.	Datag	San Andres
124.295153922998	13.9077720825075	B00022CN	Kanparel Br.	Santa Maria	Panganiban
124.222071081305	14.0674484095277	B00109CN	Marambog Br.	Marambong	Pandan
124.270004529962	13.7533156105013	B00015CN	Binagasbasan Br.	Paraiso	San Miguel
124.124944313361	13.7559988934797	B00035CN	Morocboroc Br.	Lubas	San Andres
124.288931286179	13.9395416584098	B00098CN	Sta. Teresa Br.	Santa Teresa	Bagamanoc
124.286868068828	13.857036737162	B00017CN	Oco Br.	Oco	Viga
124.138204598685	13.7891521634903	B00068CN	Inalmasinan Br.	Inalmasinan	Caramoran
124.249922387844	14.01384625622	B00074CN	Minaili Br.	San Vicente	Bagamanoc
124.251209753208	13.5931637682377	B00003CN	Sibanhan Br.	San Vicente	Virac
124.108215347185	13.5983639531671	B00069CN	Paturok Br.	Timbaan	San Andres
124.151921677779	13.9233879024738	B00084CN	Tubli RCBC Br. 2	Tubli	Caramoran
124.10161161325	13.5970690245505	B00039CN	Belmonte Br.	Belmonte	San Andres
124.160670638414	14.0373968484036	B00027CN	Tacason Br.	Oga	Pandan
124.34921018162	13.6495590338225	B00047CN	Tilod Br.	Tilod	Baras
124.289387750042	13.600179485091	B00007CN	Labandera Br.	San Andres	Bato
124.135737960621	13.8051480471067	B00088CN	Guiamlong Br.	Guiamlong	Caramoran
