X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
126.076486213541	7.92751060451847	B00062MN	Pasian Br.	Pasian	Monkayo
126.161065196554	7.2354663155866	B00081MN	Maputi Br.	Poblacion	Compostela
125.951596163807	7.80390635070502	B01615MN	Maputi Br.2	Camansi	Montevista
125.858434618523	7.33062476933909	B00205MN	Cadunan Br.	Cadunan	Mabini
125.894796179987	7.16437468199754	B00198MN	Magnaga Br.	Magnaga	Pantukan
126.075265721825	7.67416148034492	B01430MN	Araibo Br.	Araibo	Pantukan
126.079859983162	7.89066001725926	B00063MN	Haguimitan Br.	Rizal	Monkayo
126.067371675693	7.55189527368136	B01688MN	Magangit Br.	Magangit	New Bataan
126.1439161314	7.31490648779071	B01427MN	Agusan Br.	Poblacion Maragusan	Maragusan
125.94765316229	7.59374708680036	B00076MN	Puntod Br.	Linda	Nabunturan
126.105602879635	7.66789347895043	B01418MN	Tadia Br. (formerly Ngan  Br.)	Osmeña	Compostela
126.159010862303	7.5009664101196	B01897MN	Mayo Br.	Andap	New Bataan
126.025624187627	7.79060010179783	B01945MN	Olaycon Br. 2	Olaycon	Monkayo
125.870655777217	7.22524386319498	B00201MN	Bongabong Br.	Bongabong	Pantukan
125.963511063623	7.60403120741564	B00075MN	Nabunturan Br.	Poblacion	Nabunturan
126.113637388973	7.67120174846769	B01419MN	Haguibawa Br. 1	Osmena	Compostela
125.875548869468	7.21721942531349	B00200MN	Pagakpak Br.	Bongabong	Pantukan
125.814811787395	7.906826435525	B01685MN	Langoyon Br.	Kiokmay	Laak
126.160044122769	7.39371919059031	B01423MN	Ludag Br.	Tupaz	Maragusan
126.033869519742	7.82983587724896	B00068MN	Tina Br.	Banlag	Monkayo
126.177005137577	7.67515437371888	B01421MN	Kantigbao Br. (Mambusao Br.)	Ngan	Compostela
125.904809154773	7.50008441079314	B00079MN	Tagmanok Br.	Tuburan	Mawab
126.02602064231	7.54620690400634	B01528MN	Manat Br.	Manat	Nabunturan
125.955127995628	7.78248016412759	B01285MN	Camansi Br.	Camansi	Montevista
125.850727319462	7.37094499783912	B00208MN	Maco Br.	Binuangan	Maco
126.132364824442	7.30654834667536	B00080MN	Manat Br.	San Jose	Montevista
125.990239213413	7.70631316794187	B00073MN	Tigbawan Br.	Poblacion	Montevista
126.098927983176	7.50988738891379	B01838MN	Camanlangan Br.	Camanlangan	New Bataan
126.072447369548	7.8617538709902	B00064MN	Gabanan Br.	Baylo	Monkayo
125.97563328457	7.59331520059513	B00194MN	Libasan Br.	Poblacion	Nabunturan
125.805732873566	7.8572300057761	B01837MN	Bullokan Br.	Bollukan	Laak
126.149333664925	7.36834781499483	B01424MN	Talian Br.	Talian	Maragusan
126.064240451539	7.84156522594233	B01687MN	Liboton Br.	Poblacion	Monkayo
126.013080794986	7.69601188092566	B01428MN	Mapawa Br. 1	Mapawa	Maragusan
126.073022184484	7.85649663001097	B00065MN	Buay Br.	Baylo	Monkayo
126.139428176851	7.37204481815659	B01839MN	Cambagang Br.	Cambagang	Maragusan
125.935031924365	7.57294458977508	B00077MN	Linda Br.	Linda	Nabunturan
125.837602094338	7.39580588090766	B00209MN	Hijo Br.	Hijo	Maco
126.056006904036	7.5560889926035	B01529MN	Kao Br.	Kao	Nabunturan
125.856596990979	7.29540453165706	B00203MN	Tunga Br.	Del Pilar	Mabini
125.998980425191	7.74063798684557	B00071MN	Bankerohan Br.	Bankerohan Norte	Montevista
125.858094680718	7.27579320823974	B00202MN	Mampising Br.	Tagnanan	Mabini
126.137006296051	7.56755198960625	B00084MN	Languan Br.	Cabinuangan	New Bataan
126.155732506203	7.34969391259134	B01618MN	Sapawan Br.	New Albay	Maragusan
125.893105300179	7.14120243683184	B00197MN	Kingking Br.	Poblacion	Pantukan
126.0317885051	7.68960922490204	B01429MN	Mapawa Br. 2	Mapawa	Maragusan
125.929112625814	7.56274954105177	B00078MN	Mawab Br.	New Sibonga	Nabunturan
125.856075954961	7.36765647204616	B00207MN	Binuangan Br.	Binuangan	Maco
125.911722155595	7.10550919850522	B00196MN	Matiao Br.	Matiao	Pantukan
125.857387563269	7.35181297490154	B00206MN	Langgam Br.	Langgam	Maco
126.133956411474	7.57966737481582	B00083MN	Bangoy Br.	Poblacion	New Bataan
126.081668158691	7.95946008235308	B00061MN	Maitum Br.	Langkilaan	Monkayo
126.189762223204	7.68103177075874	B01422MN	Bango Br.	Ngan	Compostela
125.983895883151	7.66071297376509	B01947MN	Casangay Br.	Linoan	Montevista
126.162108930626	7.23246543393445	B00082MN	Osmeña Br.	Osmeña	Compostela
125.890489432962	7.19171421963755	B00199MN	Lahi Br.	Lahi	Pantukan
125.997101525377	7.57089300777202	B00195MN	Cabidianan Br.	Cabidianan	Nabunturan
125.857695379516	7.31690014370536	B00204MN	Lapinigan Br.	Cadunan	Pantukan
125.969394924261	7.76639994361371	B01284MN	Canidkid Br.	Canidkid	Montevista
126.050842401868	7.83115366392001	B01686MN	Kalaw Br.	Poblacion	Monkayo
125.800086081357	7.84057208996124	B01684MN	Tuk-an Br.	Poblacion	Laak
126.034124138797	7.82302469081119	B00069MN	Banlag Br.	Banlag	Monkayo
125.777266090134	7.70482428323876	B01566MN	Soop Br.	Kapatagan	Laak
126.125239746353	7.43182274103621	B01840MN	Katipunan Br.	Katipunan	Maragusan
126.154400039942	7.35296805799636	B01425MN	Tagbibinta Br.	Lahi	Maragusan
126.130790716906	7.32371244243677	B01841MN	Tarago Br.	Poblacion	Maragusan
125.992680483022	7.7322870576425	B01946MN	Guyon Br.	Bankerohan Sur	Montevisa
126.160224058944	7.33372690867611	B01426MN	Marangig Br.	Narra	Maragusan
