X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
125.0982361484	7.15563700856148	B01809MN	Nowa Br.	Nowa	Magpet
125.030755956473	7.04871722112685	B00256MN	Mateo Br.	Paco	Kidapawan
124.414900703136	7.2767552809654	B00315MN	Buluan Br. 1	Buluan	Pigcawayan
124.84673970881	7.10204074330089	B01933MN	Manubuan Br.	Manubuan	Matalam
125.083080431325	6.97405758968583	B00232MN	Malaang Br.	Saguing	Makilala
125.15899114339	6.86724416996514	B00224MN	Dalapuay Br.	Bulatukan	Makilala
124.887647788362	6.9483114513173	B00279MN	Mlang Br.	Poblacion	M'lang
124.896184070609	7.10909114551276	B01255MN	Mateo Br.	Kilada	Matalam
125.133416930981	7.10338821855722	B00253MN	Kabacan Br.	Poblacion	Magpet
124.775593274602	7.32949494720283	B00319MN	Mutian Br.	Kimadzil	Carmen
125.124105083183	7.30731432535572	B01916MN	Badiangon Br.	Badiangon	Arakan
125.04407557439	7.31659418277313	B02182MN	Arakan Parallel Br.	Avas	President Roxas
124.556137447224	7.29680921641511	B01246MN	Grebona Br.	Grebona	Libungan
124.87629052066	7.0947055561564	B00300MN	Kayaga Br.	Kayaga	Kabacan
125.138989027728	7.04178453022222	B00014MN	Kambaja Br. 2	Birada	Kidapawan
125.083080431325	6.97405758968583	B01846MN	Malaang Br.	Saguing	Makilala
125.054757939604	7.14821514811239	B00266MN	Binay Br.	Poblacion	President Roxas
124.656730568559	7.47742425955426	B01605MN	Malupog Br.	Guiling	Alamada
125.209400493765	7.37394600305633	B00273MN	Mt. Sinai Br.	Salasang	Arakan
125.038389840153	7.08557945033855	B01778MN	Kinamalig Br.	New Cebu	President Roxas
124.591543672005	7.13354016127899	B02026MN	Lindongan Br.	Bagolibas	Aleosan
125.112593861237	7.07644351560352	B00250MN	Marbol Br.	Gubatan	Magpet
124.567915701747	7.31262176571525	B01245MN	Kapayawi Br.	Kapayawi	Libungan
124.708552908431	7.55351746730138	B01473MN	Magulay Br.	Malinao	Banisilan
124.894726948704	6.83308366204448	B00242MN	Tulunan Br.	La Ezperanza	Tulunan
124.500156015534	7.03111697720376	B01466MN	Datu Sahid Piang Br.	Olandang	Midsayap
124.621572417705	7.09979576727948	B00308MN	Nalapaan Br.	Pagangan	Pikit
124.895549434142	6.85761297130278	B00241MN	Malasila Br.	Bagontapay	M'lang
125.118715190446	6.94181742367012	B01267MN	Malasila Br. (New)	Malasila	Makilala
125.081499386386	6.99397145957035	B01535MN	Saguing Br. (new)	Saguing	Makilala
124.603932121181	7.22595237395974	B00327MN	Arizona Br.	Arizona	Midsayap
124.89834288395	6.95782296666186	B00246MN	Bialong Br.	Bialong	M'lang
125.096854258284	7.15133345031217	B01808MN	Binay Br.	Binay	Magpet
125.046482213189	7.11697222750186	B00263MN	Magpet Br.	Del Carmen	President Roxas
124.536654719055	7.21176708116654	B01867MN	Katingawan Br.	Poblacion 8	Midsayap
124.794463037235	7.21536877739883	B01868MN	Tacupan Br.	Tacupan	Carmen
124.585898359474	7.2134372284659	B00328MN	Upper Bulanan Br.	Upper Bulanan	Midsayap
124.782648094634	7.31365513554684	B00320MN	Kimadzil Br.	Kimadzil	Carmen
124.93986427532	7.13770505232439	B01482MN	Kabacan Br.	Marbel	Matalam
125.111340911918	7.07221641423533	B00249MN	Binuangan Br.	Sibawan	Kidapawan
125.040215948522	7.09391225233138	B00260MN	New Cebu Br.	New Cebu	President Roxas
125.11607506438	7.09319133036308	B00251MN	Sumawan Br.	Gubatan	Magpet
125.170636981282	7.04191025063842	B01713MN	Matingao Br.	Meochao	Kidapawan
125.041474932017	6.95025202611714	B00237MN	San Vicente Br.	San Vicente	Makilala
124.562924883036	7.17413664070003	B00309MN	Bulanan Br.	Bulanan	Midsayap
125.212810150375	7.38335433899035	B01811MN	Diwatex Br.	Salasang	Arakan
125.042128647798	7.10132223033096	B00261MN	Marbel Br.	New Cebu	President Roxas
124.569782241724	7.32207399004262	B01244MN	Nicaan Br.	Nicaan	Libungan
124.891682603577	6.9905323992761	B00276MN	Lika Br.	Lika	M'lang
124.693197803185	7.05377167826906	B00305MN	Pagalungan Br.	Poblacion Pikit	Pikit
125.141168961259	6.94178542020642	B00228MN	Tuluan Br. (Old)	Malasila	Makilala
124.521407346272	7.23808769681682	B00311MN	Libungan Br. 2	Poblacion	Libungan
124.788468740353	7.11504160254242	B01866MN	Katidtuan Br.	Katidtuan	Kabacan
125.08508622681	6.96865036394935	B01268MN	Lamitan Br. (New)	Poblacion	Makilala
125.165647733065	6.88946392117874	B01874MN	Sinallangan Br.	Old Bulatukan	Makilala
124.988810799396	7.22049960982073	B00282MN	Sta. Maria Br.	Santa Maria	Matalam
124.890200113673	6.97493032067294	B00277MN	Labo Br.	Labo	M'lang
125.100052208767	7.04511899522902	B00247MN	Small Mateo Br.	Mateo	Kidapawan
125.046734844051	7.30287791754618	B00267MN	Malatab Br.	Malatab	Antipas
125.123599272638	7.33934318221609	B01715MN	Tinanan Br.	Greenfield;malibatuan	Arakan
125.054355172997	7.32212162298337	B00271MN	Ilustre Br.	Ilustre	President Roxas
124.50985637196	7.04598279452501	B00330MN	Olandang Br. 2	Olandang	Midsayap
124.802928657325	7.14062598357383	B00323MN	Lumayong Br.	Lumayong	Carmen
125.22025172897	7.41012258114436	B01877MN	Matigol Br.	Ladayon	Arakan
125.08508622681	6.96865036394935	B00231MN	Lamitan Br.(Old)		Makilala
124.509148845358	7.04494445877116	B01763MN	Olandang Br. 3	Olandang	Midsayap
124.521407346272	7.23808769681682	B01604MN	Libungan Br. 1	Poblacion Libungan	Libungan
124.804300799543	7.39874982916077	B00317MN	Bunawan Br.	Malapag	Carmen
125.219507075286	7.39827111721593	B01812MN	Lolo Santo Br.	Ladayon	Arakan
125.118908378702	6.94184682165955	B01875MN	Malasila Br. (Old)	Malasila	Makilala
124.511190313045	7.04793969334229	B00329MN	Olandang Br. 1	Olandang	Midsayap
125.150890512224	7.10773911002782	B00254MN	Pangao-an Br.	Pangao-an	Magpet
125.071597449474	7.02701572354881	B01932MN	Malamote Br.	Lanao	Kidapawan
124.704987539932	7.55092733546441	B01474MN	Anago Br.	Wadya	Banisilan
124.893539812372	6.79790539750016	B01011MN	Bual UK Br.	Bual	Tulunan
125.081499386386	6.99397145957035	B01876MN	Saguing Br. (Old)	Saguing	Makilala
124.894223304836	6.81663549733092	B01934MN	Sibsib Br.	Sibsib	Tulunan
125.09132313616	7.01167120183812	B00234MN	Nuangan Br.	Poblacion	Kidapawan
124.900046050694	7.07835049746	B00274MN	Taculen Br.	Taculen	Matalam
124.955112065027	7.18339933029958	B00281MN	Lampayan Br.	Lampayan	Matalam
125.161247287322	6.90139647997789	B00227MN	Bulatukan Br.	Old Bulatukan	Makilala
125.118467525008	7.22036425236853	B01714MN	Tinagasan Br.	Basak	Magpet
125.04407557439	7.31659418277313	B00269MN	Arakan Br.	Sarayan	President Roxas
124.671142614199	7.482976867128	B00601MN	Iruruos Br.	Guiling	Alamada
124.802561155631	7.14386818419813	B00322MN	Carmen Br.	Ugalingan	Carmen
125.133207743278	7.02900121125171	B01238MN	Small Mateo Br.	Berada	Kidapawan
125.120254158661	7.10029926780362	B00252MN	Magpet Br.	Poblacion	Magpet
125.052955436504	7.13982779054349	B00264MN	Kabacan Br. 2	Labu-o	President Roxas
124.458768584003	7.28127808176327	B00313MN	Balogo Br.	Balogo	Pigcawayan
124.944049206591	7.16816638605735	B01873MN	Dalapuan Br.	Kibia	Matalam
125.104278797664	7.05474084867157	B01935MN	Big Mateo Br.	Mateo	Kidapawan
125.030905154494	7.05884630805277	B00257MN	Kingdom Hall Br.	Sikitan	Kidapawan
125.1040116211	6.94845731927356	B00230MN	Patulangon Br.	Poblacion	Makilala
124.50827416037	7.04365907618902	B00332MN	Olandang Br. 4	Olandang	Midsayap
124.714743854514	7.56656160238061	B01472MN	Dandan Br.	Dandan	Banisilan
125.043519846254	7.10633619089817	B00262MN	Del Carmen Br.	Del Carmen	President Roxas
124.476933240277	7.27227150996812	B00312MN	Guintarazan Br.	Ulamian	Libungan
124.898901884711	7.066302164356	B00275MN	Malamote Br.	Malamote	Matalam
124.627507080846	7.09696461040041	B00307MN	Panicupan Br.	Panicupan	Pikit
125.209983768889	7.37673215253095	B01810MN	Guibato Br.	Salasang	Arakan
124.412418405434	7.27678102818586	B01814MN	Buluan Br. 2	Buluan	Pigcawayan
125.09104795913	7.35269043909245	B00272MN	Tinanan Br.	Doroluman	Arakan
125.028090983211	7.04376046704841	B00255MN	Paco Br.	Paco	Kidapawan
125.164124710168	6.89290520308354	B00226MN	Balugan Br.	Old Bulatukan	Makilala
124.881243934866	7.09346762748371	B00299MN	Malabuaya Br.	Kayaga	Kabacan
124.914403306926	6.95895010292091	B01807MN	Nia Br.	Libu-o	M'lang
125.111563952939	7.11720312818026	B00283MN	Kabacan Br.	Dolis	Magpet
125.044897749512	7.30801076400433	B00268MN	Malangag Br.	Malatab	Antipas
124.64648905105	7.19620360209102	B00325MN	Tubak Br.	Tubak	Midsayap
125.032242149197	6.94791528464965	B01806MN	Pamintuan Br.	San Vicente	Makilala
124.64019272022	7.20272009654028	B00324MN	Upper Panicupan Br.	Midsayap	Midsayap
124.872208062899	7.42609346487067	B01545MN	Tambad Br.	Tambad	Carmen
124.920228939147	7.11518577230954	B00342MN	Marbel Br.	Marbel	Matalam
125.139014870479	7.04263901327905	B00001MN	Mua-an Br.	Mua-an	Kidapawan
125.033692918296	7.06975415321208	B00258MN	Malinan Br.	Sikitan	Kidapawan
124.677462268567	7.48942888732825	B00600MN	Malitubog Br.	Guiling	Alamada
124.889401216459	6.96654319820048	B00278MN	Bialong Br.	Bialong	M'lang
124.781598867973	7.33502493619725	B00318MN	Upian Br.	Kimadzil	Carmen
125.13663838119	7.03648807652721	B00013MN	Kambaja Br. 1	Berada	Kidapawan
125.0530971083	7.1403118600095	B00265MN	Kabacan Br. 1	Labu-o	President Roxas
124.400441708037	7.27324982651265	B00316MN	Manuangan Br.	Manuangan	Pigcawayan
124.89846751961	6.87897684943197	B00240MN	Bagontapay Br.	Bagontapay	M'lang
125.036051094097	7.0792281760648	B00259MN	Sikitan Br.	San Isidro	Kidapawan
125.141168961259	6.94178542020642	B01266MN	Tuluan Br. (New)	Malasila	Makilala
