X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
126.38025340848	7.82568414900014	B00090MN	Carabatuan Br.	Sibajay	Boston
126.173759809243	7.11919447301886	B00058MN	Calapagan Br.	Calapagan	Lupon
126.086573995453	6.87704447857955	B01126MN	Kawayan Br.	Manikling	San Isidro
126.158409917947	7.17312317515162	B00060MN	Upper Sumlog Br.	Marayag	Lupon
126.563980387491	7.28627734465313	B00108MN	Kuta Br.	Santiago	Caraga
126.10280388885	6.51689300626341	B01898MN	Luzon Br.	Luzon	Governor Generoso
126.147968180753	6.40794257766624	B01135MN	Tagabebe Br.	Tagabebe	Governor Generoso
126.111148665333	6.48218777542703	B01843MN	Tiblawan Br.	Tiblawan	Governor Generoso
126.066795096039	6.89823131361817	B00043MN	Macangao Br.	Macangao	Lupon
126.547907814765	7.68966664982336	B00095MN	Bangkucaan Br.	Kinablangan	Baganga
126.046472845003	6.91359817507483	B00046MN	Sumlog Br.	Cocornon	Lupon
126.545282685139	7.72764733591398	B00094MN	Kadungonan Br.	Kinablangan	Baganga
126.376711964114	7.03365980539738	B00120MN	Tagsagaong Br.	Tomaong	Tarragona
126.519680585593	7.17493203569658	B00111MN	Gov. L. N. Lopez Br.	Zaragosa	Manay
126.088308467337	6.88236040792009	B00041MN	Manikling Br.	Manikling	San Isidro
126.514121445806	7.1318302505605	B00113MN	Pangawasan Br. 2	Holy Cross	Manay
126.198794810078	7.04789595586054	B00056MN	Waywayan Br.	Taguibo	Mati
126.071877530777	6.64848776926759	B01691MN	Camogna Br. 2	Poblacion	Governor Generoso
126.343692135731	7.87339841708605	B00086MN	Dakung Banwa Br.	San Jose	Boston
126.097356271612	6.88206821395188	B00040MN	Panabsaban Br.	Dugmanon	San Isidro
126.552399593676	7.36359469167798	B00103MN	Binugtuan Br.	Santa Fe	Bagangga
126.170205036239	6.36188437411993	B01526MN	Pigsapawan Br.	Pundaguitan	Governor Generoso
126.198615131011	6.95432629745268	B00037MN	Bilawan Br.	Central	Mati
126.320000940737	7.75390748533478	B01624MN	Mabuyong Br.	Maglahus	Cateel
126.489397977119	7.11894775543727	B00114MN	Panlobogan Br.	San Ignacio	Manay
126.231529493245	6.95026306775093	B01758MN	Matiao Br.	Matiao	Mati
126.370825412612	7.03350913940631	B00121MN	Tomoaong Br.	Tomaong	Tarragona
126.359622391641	7.86964578200138	B00088MN	Wiig Br.	Carmen	Boston
126.549833267113	7.29706610707531	B00107MN	Nanaingan Br.	San Jose	Caraga
126.321777157065	6.9906113531162	B00033MN	Mayo Br.	Mayo	Mati
126.366933990083	7.76629345732157	B01667MN	Hulid Br.	Aragon	Cateel
126.552489863248	7.66270499520908	B00097MN	San Victor Br.	San Victor	Baganga
126.133439109051	6.89407089987111	B00039MN	Tagamot Br. 1	Dawan	Mati
126.520341030813	7.41589937653165	B01865MN	Gov. Teodoro Palma Gil Br.	Manurigao	Caraga
125.991355714326	7.01354109078404	B00051MN	Maputi Br.	Maputi	Banaybanay
126.427499443469	7.74539691550881	B00092MN	Taytayan Br.	Taytayan	Cateel
126.091883851336	6.69893782618422	B01129MN	La Union Br.	La Union	San Isidro
126.159808434653	7.19478764319767	B02010MN	Sayotehan Br.	Marayag	Lupon
126.466256188043	7.09073285814687	B00116MN	Quinonoan Br.	Jovellar	Tarragona
126.293062584926	6.96266108976459	B00035MN	Bitanagan Br.	Don Enrique Lopez	Mati
126.085671364172	6.76459721164886	B01127MN	Bitaogan Br.	Bitaugan	San Isidro
126.164082653049	7.15438416564958	B00059MN	Marayag Br.	Marayag	Lupon
126.513001279036	7.13690692921763	B00112MN	Pangawasan Br. 1	Holy Cross	Manay
126.179865196356	7.08808641709914	B00057MN	Pangyan Br.	Don Mariano Marcos	Lupon
126.299520386565	7.7325587388532	B01150MN	Udiongan Br.	Aliwagwag	Cateel
126.125478808023	6.45197202069885	B01505MN	Surop Br.	Nangan	Governor Generoso
126.302564980623	7.74098099992256	B01149MN	Aliwagwag Br.	Aliwagwag	Cateel
126.539340405666	7.64251939135012	B00098MN	Dapnan Br.	Dapnan	Baganga
126.084995482067	6.61770275547263	B01842MN	Tubo-Tubo Br.	Don Aurelio Chicote	Governor Generoso
126.542055331968	7.62967814916894	B00099MN	Masao Br.	Dapnan	Baganga
