X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
125.342802388483	7.2512935324489	B00212MN	Suawan Br.	Suawan	Davao City
125.352365854612	6.71802729133371	B00165MN	Balutakay-Hagonoy Br.	Balutakay	Hagonoy
125.515395064501	7.05972287780927	B01975MN	Libby Br.	Talomo	Davao City
125.478244053234	7.02268608374337	B01227MN	Bato Br.	Bato	Davao City
125.373223459493	6.74931617383545	B01612MN	Digos Br. 3	Cogon	Digos
125.601755225023	7.0650663919373	B00007MN	Gov. Generoso Br. 1	Barangay 5-A;Barangay 76-A	Davao City
125.342478482145	6.76521086815525	B01998MN	Ebreo Parallel Br.	Tres de Mayo	Digos
125.36359050798	7.24788381378381	B00214MN	Pagan Grande Br.	Pequeño	Davao City
125.165143580643	6.85466495328857	B00160MN	Kinuskusan Br.	Kinuskusan	Bansalan
125.407764702187	6.83684705551401	B01996MN	Pilan Br.	Pilan Br. 1	Santa Cruz
125.265351593234	6.75332850158701	B00142MN	Managa Br.	Camanchilles	Matanao
125.4806322647	7.13682787860218	B00217MN	Angalan Br. 2	Los Amigos	Davao City
125.41673368513	6.83740183687393	B00162MN	Baring Br.	Zone 2	Santa Cruz
125.613818606993	7.10606839608347	B00006MN	Buhangin Flyover	Buhangin	Davao City
125.195592953489	6.80424495185258	B00154MN	Marber Br.	Dolo	Bansalan
125.644281974283	7.23733531122523	B01619MN	Bunawan Br. 2	Bunawan	Davao City
125.451566411056	6.87817021652687	B01613MN	Coronon Br. 3	Coronon	Santa Cruz
125.644281974283	7.23733531122523	B01689MN	Bunawan Br. 1	Bunawan	Davao City
125.407764702187	6.83684705551401	B01997MN	Pilan Parallel Br.		Santa Cruz
125.480572747627	7.13706395990523	B01928MN	Angalan 2 Parallel Br.	Los Amigos	Davao City
125.349840359414	6.68821289592214	B00166MN	Padada Br.	Guihing	Hagonoy
125.233648152942	7.52141435042267	B01930MN	Simod Br. 2	Buda	Davao City
125.605691597723	7.05809656598909	B01459MN	Bolton Br.1	Barangay 76-A;40-D	Davao City
125.624514174933	7.08451659732004	B00603MN	Agdao Flyover	Agdao	Davao City
125.174665590592	6.83490575883829	B00156MN	Matanao Br.	Marber	Bansalan
125.47534538274	6.96105541750894	B01491MN	Inawayan Br.	Inawayan	Santa Cruz
125.48099415214	7.1339083335792	B01927MN	Angalan 1 Parallel Br.	Los Amigos	Davao City
125.308391624049	6.76903886093598	B01952MN	Matti Br. 2	Matti	Digos
125.214170352965	6.78469039943104	B00150MN	Miral Br.	Poblacion Dos	Bansalan
125.548905400667	7.05780788516226	B01468MN	Talomo Br. 2	Talomo	Davao City
125.342478482145	6.76521086815525	B00134MN	Ebreo Br.	Camanchilles	Santa Cruz
125.5039370864	7.05033158697843	B01976MN	Nalum Br.	Bago Gallera	Davao City
125.65330480988	7.17753108249094	B00003MN	Ilang Br.	Ilang	Davao City
125.39877928438	6.5994007477692	B00168MN	Malalag Br. 1	Poblacion	Malalag
125.353790741849	7.2469870996174	B00213MN	Pagan Pequiño Br.	Pequeño	Davao City
125.356205447565	6.76056505601742	B02004MN	Digos Parallel Br. 1	Zone 1	Digos
125.380364283569	7.00746192840873	B01277MN	Baracatan  Br.	Baracatan	Davao City
125.200135384121	6.79747463906343	B02002MN	Bansalan Br.	Tubod	Bansalan
125.353790741849	7.2469870996174	B01995MN	Pagan Pequiño Parallel Br.	Tamugan	Davao City
125.449506913494	6.87491430815208	B02005MN	Coronon Parallel Br. 2	Coronon	Santa Cruz
125.413960978742	7.03986385388409	B01281MN	Tagurano Br.	Tagurano	Davao City
125.288167263985	6.75751147229628	B00140MN	Sinaragan Br.	Sinaragan	Matanao
125.265351593234	6.75332850158701	B01999MN	Managa Parallel Br.	Camanchilles	Matanao
125.477985128592	7.31507625654271	B01690MN	Malabog Br.	Malabog	Davao City
125.566746150693	7.05960123723519	B00009MN	Matina Br.	Matina Crossing	Davao City
125.411769115601	6.83599432280503	B00163MN	Careel Br.	Zone3	Santa Cruz
125.47204030307	6.94547043783297	B00122MN	Quinokol Br.	Darong	Santa Cruz
125.65453135309	7.11694635617468	B01864MN	Sasa Br.	Sasa	Davao City
125.308391624049	6.76903886093598	B01761MN	Matti Br.	Cogon	Digos
125.390674103553	7.25080709895178	B00215MN	Tamugan Br.	Tamugan	Davao City
125.356205447565	6.76056505601742	B00164MN	Digos Br. 1	Zone 1	Digos
125.480994921673	7.13391731737564	B00218MN	Angalan Br. 1	Los Amigos	Davao City
125.373223459493	6.74931617383545	B00167MN	Digos Br. 2	Aplaya	Digos
125.530172888551	7.04322088050252	B00011MN	Bago Br.	Bago Aplaya	Davao City
125.195592953489	6.80424495185258	B02003MN	Marber Parallel Br.	Dolo	Digos
125.601922709934	7.06654257344991	B01467MN	Gov. Generoso Br. 2	Barangay 76-A;5-A	Davao City
125.170222308757	6.84008750565085	B00158MN	Munuan Br.	Marber	Bansalan
125.46851049351	6.92837427588246	B00124MN	Cebulan Br.	Astorga	Santa Cruz
