X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
125.69997679535	6.18263553444881	B00221MN	Biton Br. 2	Biton	Don Marcelino
125.568958497753	6.44144112951933	B01507MN	Talogoy Br.	Talogoy	Malita
125.507550525982	5.74036741787343	B02006MN	Tanuman Br.	Tanuman	Jose Abad Santos
125.486266059122	6.53630582076311	B00170MN	Kumasie Br.	Basiawan	Santa Maria
125.644249992898	6.33865926922823	B00175MN	Lais Br. 2	Lais	Malita
125.589611908787	6.29312912769133	B01603MN	Kinangan Br.	Kinangan	Malita
125.666432941757	6.26038475212964	B00176MN	V. Maruya Sr. Br.	Talagutong	Don Marcelino
125.482780974976	5.69585111131955	B02007MN	Butuan Br.	Butuan	Jose Abad Santos
125.666543477212	5.96080235498643	B01599MN	Joyce Br. (Culaman II)	Culaman	Jose Abad Santos
125.572972292153	6.45611756785741	B01936MN	Pangian Br. 2	Lacaron	Malita
125.540179846597	6.36373776284772	B01537MN	Sangay Br. 2	Sangay	Malita
125.690231811659	6.15217389066665	B00222MN	Lapuan Br.	Lapuan	Don Marcelino
125.593935415513	5.84624944352727	B01601MN	Meybio Br.	Meybio	Jose Abad Santos
125.496720249904	6.52147967481084	B00171MN	Basiawan Br.	Basiawan	Santa Maria
125.487917645512	6.37217914437069	B01905MN	Kilalag Br. 2	Kilalag	Malita
125.699017580335	6.18349646462848	B00220MN	Biton Br. 1	Biton	Don Marcelino
125.572914054011	6.45606105064693	B00172MN	Pangian Br.	Lacaron	Malita
125.548277010239	6.36708619156517	B01882MN	Sangay Br. 1	Sangay	Malita
125.643922146438	6.33983836575467	B00174MN	Lais Br. 1	Culaman	Malita
125.627400227457	5.88393959448395	B01600MN	Marabatuan Br.	Marabatuan	Jose Abad Santos
125.593282712957	6.41469381228585	B01883MN	Buhangin Br. 1	Buhangin	Malita
125.481855031181	6.37132702517865	B01906MN	Demoloc Br. 2	Fatima	Malita
125.688145048089	6.11521588219841	B01462MN	Calian Br.	Calinan	Don Marcelino
125.478057458928	6.36988286201009	B01538MN	Demoloc Br.	Demoloc	Malita
125.35266950837	5.57562075175907	B01602MN	Balangonan Br.	Balangonan	Jose Abad Santos
125.697865667631	6.1927086354402	B00219MN	Johnson Sr. Br.	Talagutong	Don Marcelino
125.441629513637	5.6305327940063	B02008MN	Nuing Br.	Nuing	Jose Abad Santos
125.486518669688	6.54018530944448	B00169MN	Culibao Br.	Culibao	Santa Maria
125.61351838057	6.41158603911155	B00173MN	Culaman Br.	Culaman	Malita
