X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
125.442045795177	11.7394560250969	B00470SM	Barobo Br.	Barangay C	San Julian
125.449431377449	11.8108595074634	B00463SM	Sulat Br.	Sulat	Sulat
125.494739057987	12.1816730739235	B00531SM	San Policarpio Br.	Baras	San Policarpo
125.421754578655	11.8878251745576	B00458SM	Polangi Br.	Polangi	Taft
125.376071040052	12.2633566851078	B00597SM	Pinaculan Br.	Garden	Arteche
125.664819622357	11.1468528646059	B00591SM	Salcedo Br.	Barangay 7;Barangay 11;Poblacion	Salcedo
125.365602235139	12.2688349910063	B00534SM	Boblaran Br.	Boblaran	Arteche
125.453358656631	11.1223911361819	B00506SM	Giporlos Br. 2	Poblacion Giporlos	Giporlos
125.359584584232	11.8924800943828	B00451SM	Abang Br.	Mabuhay	Taft
125.451656921278	11.6685420563641	B00473SM	Bayaran Br.	Tabunan	Borongan
125.303285301814	11.138880898113	B00510SM	Lawaan Br. 2	Poblacion	Lawaan
125.478835596409	11.1221915103541	B00503SM	Malabag Br.	Malabag	Giporlos
125.425475945892	11.7454628992165	B00570SM	Libas Br.	Libas	San Julian
125.48309594023	12.0667640803841	B00518SM	Talisay Br.	Talisay	Dolores
125.452096730759	11.1221097088791	B00505SM	Giporlos Br. 1	Giporlos Poblacion	Giporlos
125.420250335785	11.904866372314	B00457SM	Taft Br.	Taft	Taft
125.26884222381	11.8277585829789	B00446SM	Canjaguimet Br.	San Rafael	Taft
125.446154032203	11.6563501192197	B00581SM	Maypangdan Br.	Maypangdan	Borongan
125.515765229068	11.1429910507148	B00500SM	Sta. Cruz Br.	Loro Deyo	Quinapondan
125.492210183672	12.0533235062644	B00517SM	Biniyawan Br.	Biniyawan	Dolores
125.459752687668	12.1688547305388	B00526SM	Sabang Br.	Sabang	Oras
125.443328734526	11.7831895961809	B00583SM	Del Remedio Br.	Cansolabao	Hinabangan
125.320089050858	11.1320532410113	B00509SM	Taguite Br.	Taguite	Lawaan
125.435419343078	11.8326070756693	B00461SM	Baloto Br.	Santo Niño	Sulat
125.400383791089	12.2629420379542	B00528SM	Carapdapan Br. 2	Carapdapan	Arteche
125.432942992611	11.115343844808	B00507SM	Parena Br.	Poray	Giporlos
125.359832360081	11.8880735012714	B00450SM	Mandarine Br.	Mabuhay	Taft
125.394571183733	11.9117116581382	B00580SM	Lumatod Br.	Lumatod	Taft
125.438834566541	12.1037412512313	B00521SM	Dao Br.	Dao	Oras
125.461853650247	11.1267834642505	B00504SM	Coticot Br.	Coticot	Giporlos
125.603850725602	11.3008673543041	B00585SM	Batang Br.	Batang	Hernani
125.436235751669	12.1375179411715	B00522SM	Oras Br.	Poblacion	Oras
125.291881610664	11.1427643918004	B00512SM	Binacalan Br.	Binakalan	Lawaan
125.31754258947	12.2730507788795	B00535SM	Catumsan Br.	Catumsan	Arteche
125.576301014148	11.2905034836242	B00587SM	San Miguel Br.	San Miguel	Hernani
125.406540570048	12.2632096288596	B00527SM	Carapdapan Br. 1	Carapdapan	San Policarpo
125.461004762257	11.7329299491837	B00471SM	Pagbabangnan Br.	Pagbabangnan	San Julian
125.608544798848	11.3146080516092	B00584SM	Carmen Br.	Carmen	Hernani
125.403070084105	11.9147986079865	B00456SM	Danao Br.	Poblacion Taft	Taft
125.470441647681	12.2229363183691	B00546SM	Alugan Br. 4	Alugan	San Policarpo
125.440531902523	11.9858274939567	B00515SM	Malinao Br.	Malinao	Can-avid
125.43222710598	11.8669274125658	B00459SM	Mantang Br.	Mantang	Taft
125.470842086983	11.7052319972435	B00472SM	Bugas Br.	Bugas	Borongan
125.555458961875	11.4020277428914	B00484SM	Tungkip Br. 2	Naubay	Llorente
125.363999513196	11.8954299086939	B00578SM	Bayo Br.	Mabuhay	Taft
125.554997844687	11.4022487919218	B00483SM	Tungkip Br. 1	Naubay	Llorente
125.297935766377	11.1432168647195	B00511SM	Lawaan Br. 1	Poblacion	Lawaan
125.540581923371	11.2716253748251	B00490SM	Vigan Br.	Vigan	Mcarthur
125.559465312718	11.2826026215524	B00588SM	Pinasuan Br.	Binalay	General Mac Arthur
125.492323797404	11.4465389957612	B00481SM	Cabay Br.	Cabay	Balangkayan
125.519366632816	11.1559012898049	B00499SM	Quinapondan Br.	Loro Daco	Quinapondan
125.412448398436	11.7632656943468	B00466SM	Pundo Br.	Campidhan	San Julian
125.531250332077	11.2097580878348	B00494SM	Bagte Br.	Bagte	Quinapondan
125.418254305118	12.265989688303	B00524SM	Tabo Br.	Tabo	San Policarpo
125.4559455701	12.2267067673075	B00547SM	Cajagwayan Br. 2	Cajagwayan	San Policarpo
125.422198641345	11.7708878444232	B00568SM	Malobago Br.	Nena	San Julian
125.392157398047	11.8975312754922	B00579SM	Burak Br.	Burak	Taft
125.399783138678	11.9138558682166	B00455SM	Lapa Br.	Lapa	Taft
125.436702562586	11.8203948827092	B00462SM	Nabuangan Br.	Maglipay	Sulat
125.439767282434	11.5962258774409	B00478SM	Can-obing Br.	Bato	Borongan
125.418182367463	11.7511980259439	B00569SM	Cancasalay Br.	Libas	Sulat
125.538201485131	11.240936630651	B00492SM	Macabut Br.	Macabut	Mac Arthur
125.452171457949	12.1697889423067	B00525SM	San Eduardo Br.	San Eduardo	Oras
125.433290200794	11.6062254478301	B00477SM	Loom Br.	D-2;taboc	Borongan
125.345928887891	11.8741329175878	B00449SM	Acas Br.	Malinao	Taft
125.458812550854	11.5391409811387	B00479SM	Suribao Br.	Sabang Suribao	Borongan
125.487788286366	11.1166342764238	B00502SM	Paya Br.	Paya	Giporlos
125.539683117834	11.1876386312033	B00590SM	Buenavista Br.	Buenavista	Quinapondan
125.448133691484	11.6629740690383	B00474SM	Balacdas Br.	Tabunan	Borongan
125.383886041669	11.1090762724813	B00508SM	Balangiga Br.	San Miguel	Balangiga
125.325690073241	11.8545211901838	B00577SM	Binaloan Br.	Camp 7	Taft
125.510432556897	11.4834153197553	B00582SM	Bulalacao Br.	Kampakirit	Balangkayan
125.537537808664	11.2620142738757	B00589SM	Cadacan Br.	Vigan	General Mac Arthur
125.456466840648	12.2331391915537	B00548SM	Pangpang Br.	Pangpang	San Policarpo
125.45608889801	12.0213233425817	B00516SM	Dolores Br.	Eufracio Rivera	Dolores
125.435595351096	11.8454838310309	B00460SM	Cagboborac Br.	Santo Niño	Sulat
125.479931615853	12.0695781558827	B00519SM	Malobago Br.	Malobago	Dolores
125.441512035268	11.9818202110914	B00514SM	Can-avid Br. 1		Can-avid
125.258803449008	11.1288506163606	B00513SM	Bolusao Br.	Bulosao	Lawaan
125.532878168742	11.2344634261904	B00493SM	Balo Br.	Aguinaldo	Macarthur
125.456376238665	12.087665401148	B00520SM	Dalid Br.	Dalid	Oras
125.515735021732	11.1265675614294	B00501SM	Sto. Niño Br.	Santo Niño	Quinapondan
125.295737782464	11.8263542550878	B00447SM	Loop 'D' Loop Br.	San Rafael	Taft
125.441782397549	11.6261865303172	B00476SM	Borongan Br.	Sabang	Borongan
125.698425595918	11.1089890497525	B00592SM	Buyayawon Br.	Buyayawon	Mercedes
125.539167379888	11.41278019708	B00482SM	Llorente Br.	Barangay 4;Poblacion	Llorente
125.528768330487	11.1725107669621	B00498SM	San Pedro Br.	San Pedro	Quinapondan
125.437332812549	11.7396077152965	B00571SM	Limlim Br.	Libas	San Julian
125.587255508246	11.2932470363366	B00586SM	Manglos Br.	Garawaon	Hernani
125.477389266042	12.214863254199	B00533SM	Alugan Br. 1	Alugan	San Policarpo
125.42839935914	11.7775023463253	B00567SM	Layog Br.	Casoroy	San Julian
