X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
121.457290183867	16.8998743027675	B02212LZ	Potia Br.	Potia	Alfonso Lista
120.973791356803	16.7632518173315	B01709LZ	Wang Wang Br.	Wangwang	Tinoc
121.169674354323	16.9176683486869	B02208LZ	Habbang Br.	Adoyongan	Mayoyao
120.940017808488	16.6780496607064	B04883LZ	Keb-keb Br.	Poblacion	Tinoc
121.480562194728	16.9057776992345	B02213LZ	Sibalon Br.	Sibalon	Alfonso Lista
121.026940764751	16.8960195712413	B02206LZ	Bokiawan Br.	Bokiawan	Hungduan
121.163455864346	16.7258222593175	B02202LZ	Halog Br.	Nayon	Lamut
121.534528662717	16.8813744922168	B04991LZ	Pugo Br.	San Juan	Alfonso Lista
121.218588664894	16.6516977478677	B02198LZ	Kinawayanan Br.	Poblacion West	Lamut
121.435878472182	16.9299698348282	B02211LZ	Mapacopaco Br.	Mapacopaco	Aguinaldo
121.060842003452	16.9134929613528	B02207LZ	Banaue Br.	Poblacion	Banaue
121.12110606815	16.7839409711689	B02203LZ	Ibulao Br.	Baguinge	Kiangan
121.198855332678	16.680472324757	B02199LZ	Bannit Br.	Payawan	Lamut
121.48146333971	16.9316154249144	B02214LZ	Busilac Br.	Busilac	Alfonso Lista
121.479735805561	17.0370547198739	B02216LZ	Kiling Br.	Kiling	Alfonso Lista
121.306762909697	16.9908460578125	B02210LZ	Talite Br.	Talete	Aguinaldo
121.086710451908	16.9163559374912	B04284LZ	Guihob Br.	Kinakin	Banaue
121.22438408591	16.6479656840373	B01361LZ	Lamut Br.	Poblacion West	Lamut
121.191003987848	16.6938540799155	B02200LZ	Payawan Br.	Payawan	Lamut
121.56058473179	16.9496700436215	B04197LZ	Tao-Tao Br.	San Jose	Alfonso Lista
121.180051298294	16.7024966191652	B02201LZ	Bunog Br.	Payawan	Lamut
121.223688964611	16.9783807279971	B04545LZ	Chaya Br.	Chaya	Mayoyao
121.047273867397	16.9932792909384	B02205LZ	Sumigar Br.	Viewpoint	Banaue
121.372353456088	17.0286997832938	B04884LZ	Monggayang Br	Monggayang	Aguinaldo
121.126654971844	16.7908004546286	B04589LZ	Burnay Br.	Tungngod	Lagawe
121.486006360302	16.9967850859069	B02215LZ	Cosile Br.	Pinto	Aguinaldo
