X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
120.549627655301	18.1552984962202	B04744LZ	Binasay Br.	Balatong	Laoag
120.61254859196	17.9395343863539	B00794LZ	Namortaan Br.	Bomitog	Banna
120.576122355227	17.9965109882026	B02768LZ	Quiom Br.	Quiom	Batac
120.635102674323	18.1198708528075	B02391LZ	Baludavid Br.	Barangay 17	Sarrat
120.623071144846	18.2429165801524	B00525LZ	Tamucalao Br. 2	Buyon	Bacarra
120.686326247141	18.0473363760773	B00577LZ	Biding Br.	Valdez	Marcos
120.596394906171	18.4099050439555	B04885LZ	Tulnagan Br. 1	Caruan	Pasuquin
120.643789733408	18.0219900162909	B03222LZ	Biningan Br.	Biningan	Batac
120.631078928928	17.9236036214644	B00809LZ	Nagalis Br.	Binacag	Banna
120.584256797491	18.1398518515133	B04485LZ	San Lorenzo Br.	San Lorenzo	San Nicolas
120.919594616159	18.5579648954172	B00549LZ	Pancian Br.	Pancian	Pagudpud
120.612963312459	18.529566468946	B00535LZ	Buraan Br.	Buraan	Burgos
120.659476460817	17.9186452105387	B04984LZ	Bongo Br.	Poblacion	Nueva Era
120.632676283034	18.1716880502555	B00769LZ	San Mateo Br.	San Mateo	Laoag
120.792026939811	18.5285807729459	B00539LZ	Abut Br.	Lanao Bangui	Bangui
120.59440110374	18.4143614728895	B04887LZ	Tulnagan Br. 2	Caruan	Pasuquin
120.81674950743	18.0898698432429	B02400LZ	Tamdagan Br.	Manalpac	Solsona
120.667465278807	18.1376423591451	B04591LZ	Sarrat Br.	Parang;Santo Tomas	Sarrat
120.612076786675	18.3491208324908	B00530LZ	Niket Br.	Nagsanga	Pasuquin
120.551278671895	17.9456573174489	B00805LZ	Sto. Tomas Br. 2	Santo Tomas	Pinili
120.512119330759	17.9548995393178	B04930LZ	Badio Br.	Badio	Pinili
120.852819535648	18.6016795170916	B00546LZ	Balaoi Br.	Balaoi	Pagudpud
120.56387585611	18.0545103126546	B02783LZ	Quiaoit Br.	Lacub	Batac
120.59440110374	18.4143614728895	B00533LZ	Tulnagan Br.	Caruan	Pasuquin
120.507322384956	18.0377260692191	B00555LZ	Galpac Br.	Paratong	Paoay
120.705099737391	18.1686778133907	B00771LZ	Lana Br.	Arua-ay	Piddig
120.754065133539	18.1158532100533	B00814LZ	Bagbag Br. 3	Bagbag	Solsona
120.598686107389	18.2036776606142	B04481LZ	Irrigation Br. 2	Barangay 12;Barangay 13	Laoag
120.737532411641	18.128062601017	B00811LZ	Capurictan Br.	Capurictan	Solsona
120.618996544772	17.9470496589987	B00795LZ	Mabakbaket Br.	Bumitog	Banna
120.658646498041	17.9766109107365	B04912LZ	Malamin Br.	Lorenzo	Banna
120.511849136294	18.0720142941821	B00559LZ	Nagrangtayan Br.	San Roque	Paoay
120.564492759849	18.0755910941783	B00573LZ	Garasgas Br.	Billoca	Batac
120.601667465998	18.2745426340651	B00527LZ	Bangsirit Br.	Bangsirit	Bacarra
