X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
122.243363338129	10.6964539458673	B00163PN	Bagacayan Br.	Santa Barbara	Igbaras
123.022796461776	11.2021063694696	B00209PN	Gubaton Br.	Cental	Ajuy
122.183978135643	10.6238240490616	B00136PN	Lanutan Br.	Lanutan	Miag-ao
122.676376998498	11.1050787326609	B00185PN	Asisig Br.	Asisig	San Enrique
122.551904591137	10.7203262775568	B00522PN	Dungon Br. 4	Buhang Taft North	Mandurriao
122.452534389824	10.777219512725	B00450PN	Aganan Br.	Igtambo	San Miguel
122.054876429083	10.4968571906677	B00156PN	Katigpan Br.	Katigpan	San Joaquin
122.536916304431	10.749958447043	B00563PN	Ungka Br.	Ungka Ⅱ	Pavia
122.173802473815	10.6156465621797	B00137PN	San Rafael Br.	San Rafael	Miag-ao
123.021366320663	11.21347047994	B00208PN	Tipacla Br.	Tipacla	Ajuy
122.586101265548	10.7088180410363	B00538PN	San Lorenzo Br.	Loboc	La Paz
122.553566385306	11.1301980956654	B00553PN	Baje Br.	Calinog	Calinog
123.102686349633	11.2173870213934	B00103PN	Iyang Br.	Iyang	Concepcion
122.033027319279	10.4785954277715	B00158PN	Kuliatan Br.	Sinugbuhan	San Joaquin
122.473342117305	11.0356897182109	B00065PN	Abangay Br.	Abangay	Lambunao
122.514099759542	10.7374416006219	B00559PN	Mandurriao Br. 2	Polo Maestra Bita	Oton
122.541717933522	10.750618345438	B00556PN	Jaro Br. 2	Tacas-ungka Jaro	Jaro
122.314389762096	10.7053969175295	B00165PN	Cabiri-an Br.	Igcocolo	Guimbal
123.09162572751	11.2263592165347	B00104PN	Bacjauan Br.	Bacjawan	Concepcion
122.068154057152	10.5721806189331	B00147PN	Quianan Br. 2	Quianan	San Joaquin
122.573816714936	11.2293472896902	B00010PN	Inaquigan Br.	Inaquigan	Bingawan
122.829572507911	11.0132162461367	B00179PN	Balandra Br.	Balandra	Banate
122.536314400463	10.7707872090188	B00500PN	Aganan Br. (new)	Aganan	Pavia
122.639835670863	10.944856595388	B00191PN	Suage Br.	Batuan	Pototan
122.537124294299	11.1320430826747	B00067PN	Jalaur Br.	Simsiman	Calinog
122.309115812464	10.659798557558	B00126PN	Cabasi Br.	Cabasi	Guimbal
122.523960943432	11.1522835040909	B00069PN	Baje Br.	Baje	Calinog
122.097416065815	10.5771213212532	B00144PN	Catog-an Br.	Santa Rita	San Joaquin
122.630656132941	10.9443808125236	B00012PN	Suage Br.	Bagacay	Pototan
122.716767664438	10.8617485433417	B00533PN	Monfort Br.	P.D. Monfort North	Dumangas
122.634956884232	10.8414480615578	B00455PN	Sigangao Br.	Sigangao;Jalaud Sur	Zarraga
122.059979456432	10.5084520716849	B00155PN	Rita Br.	Igcadlum	San Joaquin
122.510217345579	10.9592774066992	B00459PN	Magapa Br.	Jibolo	Janiuay
122.22836943722	10.6398454114993	B00530PN	Malothot Br.	Town Proper	Miag-ao
122.669386016148	10.7967124181597	B00470PN	Puntapulao Br.	Ermita	Dumangas
