X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
121.524222335874	17.4249873806239	B00987LZ	Lacnog Br.	Nambaran	Tabuk
121.327541924082	17.5342752818451	B04394LZ	Batacan Br.	Apatan	Pinukpuk
121.427897365484	17.4074094179281	B00974LZ	Bulanao Br. 1	Bulanao	Tabuk
121.433446832762	17.5618077472638	B02116LZ	Mapaco Br.	Mapaco	Pinukpuk
121.079827091094	17.2050812543985	B04496LZ	Mamaga Br.	Bugnay	Tinglayan
121.589109814634	17.4994815012325	B00902LZ	Anayup Br.	Liwan West	Rizal
121.231000691853	17.3950484292943	B02217LZ	Pasil Br.	Tomiangan	Tabuk
121.187857100207	17.4029115932808	B04380LZ	Limood Br.	Balenciagao Sur	Pasil
121.318933752455	17.5122090114002	B04397LZ	Kagutongan Br.	Apatan	Pinukpuk
121.382939010809	17.404242598416	B02110LZ	Ngipen Br.	Bantay	Tabuk
121.354753331241	17.4050536110544	B04784LZ	Mataddong Br.	Bantay	Tabuk
121.520678708226	17.5791573432275	B04911LZ	Dasoy Br.	Kinama	Rizal
121.268302762037	17.4121427562318	B02222LZ	Gawidan Br.	Bagumbayan	Tabuk
121.074456337428	17.5007452904076	B00968LZ	Saltan Br.	Balbalasang	Balbalan
121.559439567077	17.3587610571314	B00988LZ	Pacak Br.	Agbannawag	Tabuk
121.416720487735	17.4030314016715	B04391LZ	Antonio Canao Br.	Calanan	Tabuk
121.22133285761	17.4744296160081	B04382LZ	Saleng Br.	Balantoy	Balbalan
121.159832137931	17.28647340251	B04610LZ	Wallis Br.	Bangad	Tinglayan
121.581629924521	17.5375601131927	B04390LZ	FVR Br. 2	Babalag	Rizal
121.404621993778	17.3339415013493	B00982LZ	Cogawe Br.	Cudal	Tabuk
121.404824103386	17.6138397455578	B02122LZ	Capegan Br.	Pinukpuk Junction	Pinukpuk
121.420256571167	17.6052065190632	B02119LZ	Mananeg Br.	Pinukpuk Junction	Pinukpuk
121.434660043904	17.3478499793664	B04909LZ	Kinupot Br.	Cudal	Tabuk
121.262072156394	17.4138294208177	B02221LZ	Cobaet Br.	Bagumbayan	Tabuk
121.633351953207	17.5186642417697	B00980LZ	Liwan Br.	Liwan East	Rizal
