X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
121.448263206352	14.4288490367881	B02484LZ	Buhay Br.	Buhay	Siniloan
121.456956521862	14.2701102425647	B02491LZ	Lewin Br.	Maulawin	Pagsanjan
121.449835166782	14.435126630287	B03192LZ	Famy Creek Br.	Tunhac	Famy
121.47830667871	14.3243932107142	B02470LZ	Kalayaan Br.	San Juan	Kalayaan
121.469232785258	14.4012331105773	B02480LZ	Isla Br.	Isla	Pañgil
121.491987180184	14.2091326032727	B02493LZ	Dape Br.	San Salvador	Luisiana
121.473843086526	14.1453260867427	B02496LZ	Majayjay Br.	Ilayang Banga	Majayjay
121.447095861157	14.4253574933667	B02483LZ	Paawas Br.	Burgos	Siniloan
121.494486527974	14.2531070632176	B02492LZ	Caluycoy Br.	Duhat	Cavinti
121.469715487469	14.4003552800907	B02479LZ	Pangil Br.	Isla	Pañgil
121.410077825988	14.44542696994	B02486LZ	Maytalang Br.	Nanguma	Mabitac
121.472218599835	14.4047555903576	B03190LZ	Bambang Hari Br.	Isla	Pañgil
121.48269026145	14.3389540965684	B02471LZ	Longos Br.	Loñgos	Kalayaan
121.422853442481	14.2667774333301	B02467LZ	Pagsawitan Br.	Pagsawitan	Santa Cruz
121.469524354607	14.4061127743537	B03191LZ	Pangil Br. 2	Sulib	Pañgil
121.402401150253	14.4451574714222	B02485LZ	Paagahan Br.	Paagahan	Mabitac
121.471271919409	14.4052345697093	B02474LZ	Pangil Br. 1	Natividad	Pañgil
121.47664720262	14.378427010527	B02473LZ	Pakil Br.	Gonzales	Pakil
121.472786233	14.3978533790672	B03194LZ	Balian Br.	Balian	Pañgil
121.45233101929	14.4339483359028	B02476LZ	Llavak Br.	Mendiola	Siniloan
121.368002906823	14.2415021675348	B02465LZ	Pila Br.	Bulilan Norte	Pila
121.477655428009	14.3251546204264	B02790LZ	Kalayaan Br.	San Juan	Kalayaan
121.368694800601	14.2434855922634	B02466LZ	Labuin Br.	Labuin	Pila
121.45262390864	14.4084890730717	B02481LZ	Ilog Putol Br.	Acevida	Siniloan
121.414747064561	14.2805037260663	B02477LZ	Sta. Cruz Br.	Santo Angel Sur; Poblacion Ⅱ	Santa Cruz
121.491825105464	14.1479472760277	B02497LZ	Dalitiwan Br.	Bakya	Majayjay
121.459057392781	14.2915442747538	B02469LZ	Lumban Br.	Maytalang I;primera Parang	Lumban
121.410514600177	14.2759485993984	B03193LZ	Callios Br.	Callios	Santa Cruz
121.433707999743	14.4399253790023	B02488LZ	Mayputat Br.	Nanguma	Mabitac
121.525504465428	14.1700142921333	B02494LZ	Maapon Br.	San Pedro	Luisiana
121.483293437091	14.3641758300006	B02478LZ	Paete Br.	Ilaya Del Norte	Paete
121.457092500299	14.4316686640193	B02475LZ	Siniloan Br. 1	Halayhayin	Siniloan
121.455895852429	14.2721560482252	B02490LZ	Balanac Br. (Cavinti)	Poblacion I	Pagsanjan
121.053732731502	14.364299216985	B03121LZ	San Pedro Br.	San Antonio	San Pedro
121.454835669921	14.4441046271608	B02489LZ	Mayor Br.	Tunhac	Famy
121.502427121102	14.2470104548635	B02495LZ	Cavinti Br. 1	Poblacion	Cavinti
121.423178628926	14.4446152184709	B02487LZ	Nanguma Br.	Nanguma	Mabitac
121.456835717587	14.1382911800135	B02789LZ	Atilo Br.	Panglan	Majayjay
121.352868164767	14.2104415138162	B02464LZ	San Antonio Br.	San Antonio	Pila
121.505226592131	14.2492498238837	B03383LZ	Cavinti Br. 2	Poblacion	Cavinti
121.446063819743	14.4208272913327	B02482LZ	Siniloan Br. 2	Bagong Barangay	Siniloan
121.441180341001	14.2665654281418	B02468LZ	Salasad Br.	Sampalucan	Pagsanjan
121.478845120765	14.3641381564015	B02472LZ	Paete Br.	Ibaba Del Norte	Paete
121.284407328388	14.1795047939064	B02511LZ	Bay Br. 2	Calo	Bay
121.12309649502	14.2114457048332	B03002LZ	Canlubang Br.	Canlubang	Calamba
121.403333735615	14.1352863738629	B03138LZ	Palayan Br.	Palayan	Nagcarlan
121.303351201526	14.1774433130642	B02883LZ	Hangan Br.	Hangan	Calauan
121.103813760035	14.3017736374206	B04516LZ	Macabling Br.	Macabling	Santa Rosa City
121.342916211655	14.2002444759761	B02882LZ	Masapang Br. 2	Banca-banca	Victoria
121.278336496402	14.1806070190759	B02512LZ	Calo Br.	Calo	Bay
121.313095048133	14.0688451520863	B02876LZ	Balatuin Br.	San Roque	Laguna
121.066941407476	14.3453164343031	B04514LZ	San Antonio Br.	Nueva	San Pedro
121.130197352238	14.2118755713033	B03001LZ	Mayapa Overpass	Paciano Rizal	Calamba
121.250825366576	14.1768282987196	B02508LZ	Maulawing Br.	Maulawin	Los Baños
121.317163255576	14.1472513606449	B02880LZ	Calauan Br.	Silangan	Calauan
121.101172430171	14.3091714033892	B04818LZ	Salang Bago Br.	Macabling	Santa Rosa
121.393198554072	14.1396058146356	B03137LZ	Alumbrado Br.	Alumbrado	Nagcarlan
121.139204750518	14.2197173570355	B03131LZ	San Cristobal Br.	San Cristobal	Calamba
121.419202520481	14.1382644672229	B03144LZ	Talahibing Br. 1	Poblacion I	Nagcarlan
121.154394565069	14.207911970071	B00111LZ	Calamba Br.	Barangay 1;Parian	Calamba
121.260586082779	14.0527903103896	B03384LZ	San Miguel Br.		San Pablo
121.112625711014	14.2807059036904	B03126LZ	Dita Br.	Dita	Santa Rosa
121.307092987674	14.0894344754488	B03140LZ	Patay na Tubig Br.	Santa Maria Magdalena-del Remedio	San Pablo
121.08895457598	14.2854460046439	B02999LZ	Sta. Rosa Overpass	Pulong Santa Cruz	Santa Rosa
121.300321978652	14.165664997029	B02879LZ	Gating-Gating Br.	Masiit	Calauan
121.104686667326	14.2993050901242	B04517LZ	Balibago Br.	Balibago	Santa Rosa City
121.415500572624	14.1364081372924	B03143LZ	Nagcarlan Br.	Poblacion 1	Nagcarlan
121.265574369391	14.1759145485281	B02509LZ	Tabon Br.	Maahas	Los Baños
121.320984422513	14.1772510128889	B02884LZ	Dayap Br.	Dayap	Calauan
121.072736285174	14.3391588902841	B04515LZ	Canlalay Br.	Canlalay	Biñan
121.452131621406	14.1357882602933	B03149LZ	Maimpis Br.	Ibabang San Roque	Liliw
