X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
123.84756194816	7.90063056974334	B01717MN	Daligdigan Br. (FVR)	Poblacion	Salvador
123.98695773259	8.17531183327681	B00946MN	Liangan Br.	Liangan	Bacolod
124.183559651936	8.19344731297671	B00934MN	Timoga Br.	Buru-un	Iligan City
123.827171623767	8.08234633325101	B00958MN	Mangga Br. 1	Mangga	Kolambugan
123.772096487327	7.91783487726448	B00967MN	Maranding Br.	Maranding	Lala
124.217186396459	8.20866717682471	B00884MN	Tominobo Br.	Santo Tomas Cabili	Iligan City
123.875139828086	8.10161564695912	B00956MN	Titunod Br. 2	Titunod	Kolambugan
123.71239207355	7.86550466224815	B00975MN	Bansarvil Br.	Bansarvil	Sultan Naga Dimaporo
123.931739834019	8.13310765420589	B00950MN	Segapod Br.	Segapod	Maigo
123.755046433783	7.74516528080615	B01004MN	Bangaan Br.	Banga-an	Sultan Naga Dimaporo
124.241593405819	8.21872699232799	B00883MN	Tubod Br. 2	Mahayahay	Iligan City
124.156386998045	8.18471862461724	B00941MN	Mago-ong Br.	Poblacion;Magoong	Linamon
124.189974417862	8.19623255080318	B00933MN	Agus Br.	Maria Cristina	Iligan City
123.965288240008	8.16439853500594	B00948MN	Barogohan Br.	Claro M. Recto	Maigo
123.828550055125	8.08117906950198	B00959MN	Mangga Br. 2	Mangga	Kolambugan
124.265512732106	8.11952382356449	B01596MN	Iligan Br.	Landa	Tagoloan
124.241593405819	8.21872699232799	B00882MN	Tubod Br. 1 (old)	Mahayahay	Iligan City
123.783076825049	8.01977035454296	B01681MN	Baroy Br.	Poblacion	Baroy
124.268834253519	8.05664837597139	B01923MN	Pantar Br. 2	Cadayonan	Pantar
123.850287263973	7.83265840560667	B01720MN	Ningal Br. (FVR)	Pilil	Sapad
123.733404487279	7.77567095091953	B01005MN	Koreo Br.	Koreo	Sultan Naga Dimaporo
123.954660760324	8.15644582528476	B00949MN	Maigo Br.	Poblacion	Maigo
123.780794002559	8.00047989366682	B00964MN	Raw-an Br.	Raw-an	Lala
123.850182658777	7.70176471146417	B01000MN	Mikalobo Br.	Piraka	Sultan Naga Dimaporo
124.123605967315	8.18274887070334	B00942MN	Larapan Br.	Napo	Linamon
123.784527141463	7.72776514335756	B01803MN	Bauyan Br.	Bauyan	Sultan Naga Dimaporo
124.238330714082	8.23038169549288	B00893MN	Baslayan Br. 1	Poblacion	Iligan City
124.220445786045	8.11078138960779	B01565MN	Balo-i-Steel Br.	Pacalundo	Balo-i
124.26025760234	8.25485837680677	B00881MN	Mandulog Br. 2	San Roque	Iligan City
123.876727343488	8.1021477214208	B00955MN	Titunod Br. 1	Titunod	Kolambugan
123.687313046314	7.81819602030919	B01008MN	Dangola-an Br. 1	Dangola-an	Sultan Naga Dimaporo
123.841335902824	7.85389799061175	B01718MN	Lyndon Br. (FVR)	Mala Salug	Sapad
123.80419890178	8.05032081203142	B00960MN	Bolod Br.	Bulod	Tubod
123.81777494918	7.90533015975127	B01519MN	Inasagan Br. (FVR)	Curva Miagao	Salvador
124.083473812036	8.1889022858936	B00943MN	Tugar Br.	Poblacion Kauswagan	Kauswagan
123.83845306998	7.70035505310478	B01002MN	Maito Bauyan Br.	Maito Bauyan	Sultan Naga Dimaporo
124.204374169084	8.20418755651862	B01274MN	Nunucan Br. 1	Nunucan	Iligan City
124.167086540064	8.18617426268403	B00940MN	Linamon Br.	Buru-un	Linamon
124.049686580457	8.0459364544797	B01592MN	Dalama Br.(FVR)	Dalama	Munai
123.843593543631	7.99266525908224	B01230MN	Inindian Br.	Pualas	Tubod
123.92122590991	8.12780964811298	B00952MN	Muntay Br.	Muntay	Kolambugan
123.753635158661	7.88827655989055	B00969MN	Butadon Br.	Butadon	Kapatagan
123.787632591736	8.03631211634784	B00961MN	Sagadan Br.	Sagadan	Kolambugan
123.851931335361	8.01702217807112	B01597MN	Baguiguicon Br.	Baguiguicon	Magsaysay
124.263879209474	8.25660709653722	B00606MN	Mandulog Br. 1	Hinaplanon	Iligan City
123.973025281073	8.16837823916032	B00947MN	Barongison Br.	Liangan West	Maigo
123.776515276132	7.95924219362246	B00966MN	Gumagamot Br.	Lanipao	Lala
124.173642509295	8.18884736424867	B00935MN	Buru-un Br.	Buru-un	Iligan City
124.064041079545	8.1848799078629	B00945MN	Rupagan Br.	Rupagan	Bacolod
123.912136026733	8.12293406008475	B00953MN	Rebucon Br.	Rebucon	Kolambugan
123.733570647419	7.89309392751682	B01925MN	Balili Br. 2	Santa Cruz	Kapatagan
123.733570647419	7.89309392751682	B00970MN	Balili Br.	Santa Cruz	Kapatagan
124.250420594775	8.18133936584797	B01594MN	Panuliran Br. (FVR)	Abuno	Iligan
124.053130606421	8.02002608147748	B01805MN	Matampay Br.	Matampay	Munai
123.904031404662	8.11689225741558	B00954MN	Kulambogan Br.	Kolambugan	Kolambugan
124.273589419201	8.1320264273797	B01595MN	Kiasar Br.	Dimayon	Tagoloan
124.237328948333	8.22718316080596	B00932MN	Tambacan Br.	Tambacan	Iligan City
123.98695773259	8.17531183327681	B01683MN	Liangan Br. 2	Liangan	Bacolod
123.76293660893	7.88972145226867	B00968MN	Quidalos Br.	Poblacion Kapatagan	Kapatagan
123.847018745524	7.83533054674029	B01719MN	Calingawan Br. (FVR)	Pili	Sapad
124.268834253519	8.05664837597139	B00936MN	Pantar Br.	Campong	Pantar
123.697967314986	7.81142749811967	B01007MN	Mala-apo Br.	Mala-apo	Sultan Naga Dimaporo
123.861923306698	8.09790671365833	B00957MN	Caromatan Br.	Caromatan	Kolambugan
123.723725503352	7.79446494358272	B01804MN	Karomatan Br.	Poblacion	Sultan Naga Dimaporo
124.204374169084	8.20418755651862	B01275MN	Nunucan Br. 2	Suarez	Iligan City
123.781055337577	8.0030252649363	B01682MN	Pangi Br.	Santo Niño Village;Bagong Dawis	Baroy
124.068626050073	8.18689162007164	B00944MN	Kawit Br.	Kawit	Kauswagan
