X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
120.373728889947	16.3292261748858	B00818LZ	Bacsil Br.	San Agustin East	Agoo
120.344747732502	16.737146453892	B00659LZ	Sta. Cruz Br.	SantaCruz	Bacnotan
120.333289593488	16.5264847413842	B00665LZ	Sapang Br.	Central East	Bauang
120.391746289846	16.6670402545636	B00873LZ	Cabaroan Br.	Cabaroan	San Juan
120.342909800143	16.7107334965485	B02651LZ	Baroro Br.	Baroro	Bacnotan
120.319899703035	16.5784884745227	B00669LZ	Pagudpud Br.	Pagdalagan	San Fernando
120.41652458572	16.7952709477608	B04861LZ	Masupe Br.	Masupe	Balaoan
120.330056084154	16.521276850917	B02645LZ	Bauang Br. 2	Central East	Bauang
120.475604891484	16.9040752847744	B04856LZ	Alimungao West Br.	Ipet	Sudipen
120.317894911133	16.6294150429946	B02649LZ	Carlatan Br.	Carlatan	San Fernando
120.474188341284	16.3226515526383	B00826LZ	Cares Br.	Cares	Pugo
120.427894521189	16.2361739012706	B02629LZ	Amlang Br.	Amlang	Rosario
120.485044290367	16.240766137204	B00828LZ	Alipang Br.	Alipang	Rosario
120.439557680453	16.5180973004461	B04559LZ	Ribsuan Br.	Ribsuan	Naguilian
120.340958887773	16.7617071945497	B00660LZ	Maragayap West Br.	Galongen	Bacnotan
120.375582139714	16.7480034224739	B02654LZ	Maragayap East Br.	SantaRita-bacqui	Bacnotan
120.489606527421	16.2779304812736	B00832LZ	Maoasoas Br.	Maoasoas	Pugo
120.33127938425	16.5005485488787	B02643LZ	Maning Br.	Payocpoc Norte	Bauang
120.491871349243	16.9005548654505	B04859LZ	Old Poblacion Br.	Old Central	Sudipen
120.473965473558	16.3027282060841	B00836LZ	Ambalite Br. 2	Ambalite	Pugo
120.461905448444	16.3171039477286	B00825LZ	Damosil Br.	Damosil	Pugo
120.466307263401	16.9072648672753	B04860LZ	Ipet Br.	Ipet	Sudipen
120.330312760514	16.5167764243324	B02644LZ	Bauang Br. 1	Nagrebcan	Bauang
120.47747058706	16.9026125509129	B04857LZ	Alimungao East Br.	Ipet	Sudipen
120.349353698988	16.4282649446947	B02639LZ	Caba Br.	Gana	Caba
