X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
0	0	B01479MN	Kalanganan Br.	Mother Kalanganan	Cotabato
0	0	B00295MN	Tamontaka Br.	Tamontaka Mother	Cotabato
0	0	B00296MN	Esteros Br.	Esteros	Cotabato
0	0	B01481MN	Manday Br.	Bagua	Cotabato
0	0	B01475MN	Bubong Br.	Mother Tamontaka	Cotabato
0	0	B01478MN	Lagundungan Br.	Kalanganan Ⅱ	Cotabato
0	0	B01480MN	Lugay-Lugay Br.	Mother Bagua	Cotabato
0	0	B01476MN	Neogen Br.	Kalanganan Ⅱ	Cotabato
0	0	B00297MN	Matampay Br.	Poblacion Mother	Cotabato
0	0	B01477MN	Kinagatan Br.	Kalanganan Ⅱ	Cotabato
