X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
123.727942477138	12.2792264537638	B00005MT	Amoroy Br. 1	Marintoc	Mobo
123.773438520462	12.4517737186794	B00001TC	Buyo Br.	Buyo	San Fernando
123.740811040874	12.2585001451172	B00030MT	Impapanan Br.	Armenia	Uson
123.596329525156	12.3519650126686	B00008MT	Maingaran Br.	Maingaran	Masbate
123.691410351971	12.5993504645386	B00009TC	Dorongan Br.	Bagahanglad	San Jacinto
123.963542344891	11.9421522727727	B00052MT	Quezon Br.	Quezon	Cataingan
123.979707659685	11.9872999494087	B00051MT	Domorog Br.	Domorog	Cataingan
123.830426668427	12.2223882618855	B00105MT	Calpi Br.	Calpi	Uson
123.605206642294	12.3570810227013	B00087MT	Maingaran Br. 2	Maingaran	Masbate
123.631443058936	12.3549845393984	B00082MT	Matungao Br.	Tugbo	Mobo
123.942683851964	12.1262039134413	B00096MT	Nipa Br.	Nipa	Palanas
123.497648288092	12.4607041743488	B00020MT	Batuila Br.	Cagara	Baleno
123.746984387568	12.2461582103763	B00107MT	Minuswang Br.	Marcella	Uson
123.394766606386	12.4188653994981	B00016MT	Cabuluan Br. 1	Luy-a	Aroroy
123.708165105528	12.5696760782897	B00007TC	Tutuban Br.	Santa Rosa	San Jacinto
123.407714458908	12.1957836881119	B00024MT	Buracay Br.	Paraiso	Milagros
123.667565909696	12.6114043903174	B00010TC	Morris Br.	Rizal	Monreal
123.769854608949	11.9274169473033	B00060MT	Divisoria Br.	Divisoria	Cawayan
123.842683744599	12.2086151153746	B00094MT	Balocaue Br.	Balocawe	Dimasalang
123.466671304851	12.4971903560824	B00018MT	Lahong Br.	Lahong	Baleno
123.332711378979	12.155219523478	B00025MT	Cabuyagan Br.	San Juan	Mandaon
123.748706019312	12.2450069532607	B00033MT	Marcella Br.	Marcella	Uson
123.402474322514	12.3898387350941	B00014MT	Agoro Br.	Malubi	Aroroy
123.66763799501	12.6291422226263	B00011TC	Abraham Br.	Real	Monreal
123.940781176825	11.9297766274121	B00103MT	Matagangtang Br.	Matagangtang	Placer
123.269589570761	12.1118080365747	B00102MT	Pinamangcaan Br.	Pinamangcaan	Mandaon
123.663564213804	12.3277047329523	B00100MT	Bañadero Br.	Bañadero	Mobo
123.116895902477	12.9481094373931	B00002BU	Calpi Br.	Calpi	Claveria
123.440999234371	12.291040776237	B00013MT	Mabuaya Br.	Matipuron	Milagros
123.7489303264	12.5183499492268	B00004TC	Daplian Br.	Daplian	San Fernando
123.874427339284	12.1797003706576	B00044MT	Gaid Br.	Gaid	Dimasalang
123.680796339543	12.3072109864975	B00003MT	Sagawsawan Br.	Umabay Exterior	Mobo
123.983181126207	12.0383754510467	B00080MT	Gahit Br.	Gahit	Cataingan
123.428181148948	12.2099841407162	B00023MT	Potot Br.	Paraiso	Milagros
123.378783406856	12.3267812286039	B00027MT	Calubian Br.	Mabato-bato	Mandaon
123.393689538193	12.4211664078396	B00061MT	Cabuluan Br. 2	Luy-a	Aroroy
123.848708172532	12.1997640941693	B00104MT	Banahao Br.	Banahao	Dimasalang
123.653539735545	12.339783728085	B00083MT	Lipata Br.	Poblacion	Mobo
123.6258827317	12.3575740345067	B00081MT	Cagba Br.	Nursery	Masbate
123.785556462772	12.1207517780706	B00055MT	Nabayawan Br.	Nabuhay	Uson
123.744309356541	12.2507155911468	B00099MT	Armenia Br.	Armenia	Uson
123.573734835468	12.3329902669326	B00089MT	Lumbang Br.	Malinta	Masbate
123.637988272105	12.3475531071669	B00001MT	Tugbo Br.	Tugbo	Masbate
123.911527196225	11.8932778113139	B00054MT	Catmon Br.	San Marcos	Placer
123.992765667483	12.0184807431678	B00098MT	Alimango Br.	Poblacion	Cataingan
123.871698355366	12.1806518982796	B00106MT	G. Aliño Boundary Br.	Gregorio Aliño	Dimasalang
123.475400047191	12.4866839166658	B00019MT	Tinapian Br.	Tinapian	Baleno
123.389850422678	12.3335705988443	B00091MT	Mabato-bato Br.	Mabato-bato	Mandaon
123.404814183951	12.4100892247669	B00031MT	Luy-a Br.	Luy-a	Aroroy
123.667079654844	12.6301553945365	B00012TC	Alcantara Br.	Real	Monreal
123.312829524183	12.1477412778238	B00026MT	Calomangob Br.	San Pablo	Mandaon
123.502807929978	12.4457009684642	B00021MT	Lagta Br.	Lagta	Baleno
123.359799811398	12.3113639389636	B00101MT	Bat-ongan Br.	Bat-ongan	Mandaon
123.510163434411	12.4064894226558	B00047MT	Cancahorao Br.	Cancahorao	Baleno
123.769007359524	12.4689944149624	B00003TC	Alvarez Br.	Ressurrecion	San Fernando
123.356495999651	12.3083214243646	B00029MT	Maambog Br.	Bat-ongan	Mandaon
123.729570133055	12.2740610939889	B00085MT	Amoroy Br. 2	Marintoc	Mobo
123.389809186652	12.5082605987039	B00092MT	Talabaan Br.	Talabaan	Aroroy
123.041556846256	13.0462674927047	B00003BU	Mapanique Br.	Mapanique	San Pascual
123.805476301995	12.1888411481842	B00068MT	Pinangapugan Br.	Quezon	Uson
123.500728755884	12.2308807583048	B00090MT	Bonbon Br.	Bonbon	Milagros
123.793846978875	12.1770425263797	B00067MT	Buenavista Br.	Buenavista	Uson
123.957454266949	12.0991013421032	B00048MT	Pawican Br.	Pawican	Cataingan
123.407069684115	12.4017815094113	B00015MT	Lanang Br.	Malubi	Aroroy
123.714660749621	12.5691285197876	B00006TC	Alisoso Br.	Santa Rosa	San Jacinto
123.948700181752	12.1126023741264	B00097MT	Aporong Br.	Aporong	Palanas
123.71521385896	12.2885453048057	B00004MT	Marintoc Br.	Marintoc	Mobo
123.388049325415	12.4885667718463	B00017MT	Siwayan Br.	Siwayan	Aroroy
123.802554833979	12.02536622725	B00058MT	Baldoza Br.	Tuburan	Cawayan
123.766659863907	12.2151327912569	B00093MT	Dapdap Br.	Dapdap	Uson
123.539523608729	12.2671918037164	B00011MT	Asid Br.	Asid	Masbate
123.784219571308	12.0919627977227	B00056MT	Madalamo Br.	Palobandera	Cawayan
123.790119035656	12.0724204513943	B00057MT	San Jose Br.	San Jose	Cawayan
123.319796362766	12.2797803571105	B00028MT	Bon-Oco Br.	Dayao	Mandaon
123.490989095874	12.2363551165319	B00012MT	Manulib Br.	Tawad	Milagros
123.754937846931	12.4902048468619	B00008TC	Bito Br.	Curvada	San Fernando
123.798264884787	11.9835201397731	B00059MT	Segundo Br.	Madbad	Cawayan
123.757123516708	12.2336673243013	B00034MT	Sawang Br.	Sawang	Uson
123.453101992527	12.2248649630524	B00022MT	Narangasan Br. 1	Narangasan	Milagros
123.986986378871	11.9963489502577	B00050MT	Galutan Br.	Poblacion	Cataingan
123.73307425179	12.2713040050106	B00086MT	Balatucan Br.	Balatucan	Mobo
123.956674434448	12.0997769019553	B00078MT	Nabangig Br.	Nabangig	Palanas
123.738615353069	12.5320885912103	B00005TC	Interior Br.	Interior	San Jacinto
123.768825714899	12.4680186438524	B00002TC	Clemente Br.	Ressurrecion	San Fernando
123.867682284182	12.1839957281345	B00095MT	G. Aliño Br.	Gregorio Aliño	Dimasalang
123.577609307077	12.334021332983	B00088MT	Usab Br.	Usab	Masbate
123.806635662521	12.2039392846594	B00069MT	Badling Br.	Badling	Uson
123.722137958703	12.2849911694439	B00084MT	Marintoc Br. 2	Marintoc 2	Mobo
