X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
120.769792993414	13.0650643222644	B00160MR	Lusacan Br.	Barahan	Santa Cruz
120.766317257221	13.1017009701026	B00215MR	Casague Br.	Casague	Santa Cruz
120.219638214792	13.8129877186302	B00006LB	Jiri Br.	Tilik	Lubang
120.716562227456	13.4276448407866	B00197MR	Magnot Br. 1	Balao	Abra de Ilog
121.062232787249	12.3535404355358	B00078MR	Pandurucan Br.	San Roque I	San Jose
120.843199786824	12.7894204758966	B00149MR	San Isidro Br. 1	Malisbong	Sablayan
120.692034944298	13.4011181305172	B00130MR	Tulay Bulo Br.	Balao	Abra de Ilog
121.037636420733	12.464515126202	B00080MR	Busuanga Br.	Santo Nino	Rizal
120.707451161987	13.1215605153397	B00109MR	Ramayan Buboy Br.	San Vicente	Santa Cruz
120.919234759756	12.8743591856182	B00101MR	Patrick Br.	San Agustin	Sablayan
120.252281693652	13.7342279095662	B00010LB	Castañeda Br.	Kanluran	Looc
120.699678391292	13.4105649814234	B00132MR	Talusungan Br.4	Balao	Abra de Ilog
120.816893215602	12.7554205530663	B00094MR	Tagunla Br.	Santa Lucia	Sablayan
120.735770851335	13.1243161747438	B00164MR	Ramayan Br. 1	Kurtinganan	Santa Cruz
120.118078729997	13.7782582259662	B00018LB	Binacas Br.	Binacas	Lubang
120.735710826761	13.1244067374344	B00165MR	Ramayan Br. 2	Kurtinganan	Santa Cruz
120.096468908218	13.8361364168706	B00017LB	Tumibo Br.	Tangal	Lubang
120.59521058996	13.2352125780064	B00117MR	Lugay Br.	Tayamaan	Mamburao
121.058113687258	12.3625731130827	B00079MR	Bagong Sikat Br.	Bagong Sikat	San Jose
121.118345934473	12.5269762467277	B00142MR	Manus Br. 2	Murtha	San Jose
120.881620972581	12.8109947623523	B00157MR	Aruyan Br. 2	Malisbong	Sablayan
120.65008198933	13.341781582811	B00125MR	Bagong Silang Br.	Cabacao	Abra de Ilog
120.663173729904	13.1866697577359	B00242MR	Maculbo Br.	Fatima	Mamburao
120.738765057092	13.0699647121037	B00106MR	Salagan Br.	Lumang Bayan	Santa Cruz
120.77060383075	13.0819741213722	B00192MR	Mimacor Br.	Lumangbayan	Santa Cruz
120.865848181443	12.8014445456145	B00153MR	Bulale Br. 1	Malisbong	Sablayan
120.908758133279	12.6536646666579	B00088MR	Banus Br.	Concepcion	Calintaan
120.117987255503	13.838159226073	B00015LB	Kawayan Br.	Araw at Bituin	Lubang
120.855551440234	12.7377332481137	B00091MR	Pasugui Br.	General Emilio Aguinaldo	Sablayan
120.253492356723	13.7641985475523	B00008LB	Agkawayan Br.	Agkawayan	Looc
