X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
120.999191186066	17.062998607543	B00923LZ	Fanias Br.	Samoki	Bontoc
121.205701144948	17.0673386327602	B04609LZ	Lunas Br.	Lunas	Barlig
121.475592856531	17.0704632004976	B04298LZ	Killing Br.	Kiling	Paracelis
120.887584532308	16.9965838002169	B00937LZ	Kapayawan Br.	Otucan	Bauko
120.94714812876	17.0807497248743	B02981LZ	Amlosong Br.	Bontoc-ili	Bontoc
120.993791415172	17.1033416343335	B00926LZ	Latang Br.	Calutit	Bontoc
121.399146668648	17.1893378913104	B01026LZ	Amolong Br.	Amolong	Paracelis
121.115182068899	17.0620563263252	B04608LZ	Macachay Br.	Macachay	Barlig
120.817809078133	16.9946692495176	B03266LZ	Tadian Br.	Poblacion	Tadian
120.907234965337	16.9721948124203	B03267LZ	Pingad Br.	Pingad	Sabangan
120.899431052148	17.0030931136728	B03265LZ	Dawaic Br.	Supang	Sabangan
120.934794247046	17.0448850561509	B02980LZ	Malitep Br.	Alab Oriente	Bontoc
121.041898479808	17.1656847433673	B04296LZ	Ampawailen Br.	Ampawilen	Sadanga
121.045399765025	17.1281727143434	B00928LZ	Gawa Br.	Tocucan	Bontoc
121.066584306561	17.1973370673496	B04295LZ	Agodong Br.	Saclit	Sadanga
120.982452900855	17.096457882517	B00925LZ	Lagangeo Br. 1	Calutit	Bontoc
121.114119333879	17.0606834260392	B04607LZ	Macassab Br.	Macassab	Barlig
121.157519927771	17.0741041789957	B04290LZ	Agog-go Br. 1	Agog-go	Barlig
120.937143877706	17.053520624811	B03268LZ	Alab Br. 1	Alab Proper	Bontoc
121.477049611465	17.1032011720734	B04310LZ	Sinigpit Br.	Butigue	Paracelis
120.770052943564	16.9846353206923	B04292LZ	Losong Br.	Bunga	Tadian
121.012585394174	17.1129513861919	B00927LZ	Tocucan Br.	Tocucan	Bontoc
121.135323735733	17.0675082117542	B00945LZ	Cabawa Br.	Lias Kanluran	Barlig
120.835188978134	16.9980412706261	B00938LZ	Cabunagan Br.	Balaoa	Tadian
120.980413421292	17.0869433414182	B00924LZ	Chico Karayan Br.	Samoki	Bontoc
121.011012531243	17.0404033857916	B00940LZ	Magkang Br.	Talubin	Bontoc
121.157827971712	17.0739017129002	B04291LZ	Agog-go Br. 2	Agog-go	Barlig
121.011211448832	17.0464714104855	B00941LZ	Lubo Br.	Talubin	Bontoc
121.319061963703	17.1523907997318	B02091LZ	Saliok Br.	Saliok	Natonin
120.803515039309	16.9624119514859	B04293LZ	Calacaban Br.	Calacaban	Tadian
121.466061014657	17.0933778894571	B00994LZ	Pontian Br.	Butigue	Paracelis
121.398976692919	17.2122651034094	B01027LZ	Dalanao Br.	Bantay	Paracelis
120.875544287649	16.9882897816565	B00936LZ	Quisop Br.	Otucan	Bauko
120.940436264586	17.0645277570435	B03269LZ	Alab Br. 2	Alab	Bontoc
121.046481214617	17.1681859165881	B00931LZ	Corocoro  Br. 2	Poblacion	Sadanga
120.926225219484	17.0105863856779	B04953LZ	Sabangan Br.	Nacagang	Sabangan
120.835486726115	16.9973481767343	B04952LZ	Cabunagan Br. 2	Cabunagan	Tadian
120.9842687363	17.096869200141	B03376LZ	Lagangeo Br. 2	Caluttit	Bontoc
120.776337670292	16.9681319308376	B04612LZ	Beto Br.	Beto	Tadian
120.957568217016	17.0854444155218	B02982LZ	Balitian Br.	Bontoc Ili	Bontoc
121.409522744036	17.1688650783791	B00992LZ	Masablang Br. 2	Poblacion	Paracelis
120.871554288518	16.9864546099608	B00935LZ	Bauko Br.	Poblacion	Bauko
121.016039445175	17.0186230739685	B00921LZ	Ab-ab Br.	Talubin	Bontoc
121.059239757887	17.1829587793018	B00932LZ	Malanas Br.	Malanas	Sadanga
121.410697688169	17.1651172204367	B04297LZ	Masablang Br. 1	Masablang	Paracelis
121.433597067434	17.1122487008395	B00993LZ	Bananao Br.	Bananao	Paracelis
121.540892237563	17.1069326406691	B04311LZ	Sinmakbot Br.	Palitod	Paracelis
120.978815146337	17.0928820693221	B04613LZ	Caluttit Br.	Caluttit	Bontoc
121.108595992946	17.0477581550035	B04606LZ	Charoya Br.	Charoya	Barlig
120.977676519624	17.0957854953361	B04294LZ	Bontoc Cadre Br.	Caluttit	Bontoc
121.010599459488	17.0366859852021	B00922LZ	Talubin Br.	Talubin	Bontoc
