X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
123.823340570068	8.41353410381907	B00370MN	Aloran Old Br.	Ospital	Aloran
123.838969297966	8.34805037326525	B00365MN	Sumasap Br.	Sumasap	Pana-on
123.805119072414	8.12192271020101	B00361MN	Dimaluna Br.	Dimaluna	Ozamiz City
123.691865467346	8.48417001166288	B00385MN	Daisug Br.	Manguehan	Lopez Jaena
123.570091046122	8.24838807511406	B01825MN	Moraji Br. 2	Lalud	Don Victorino
123.7642760802	8.51455627819705	B01102MN	Paypayan Br.	Paypayan	Oroquieta
123.71663996691	8.0633530143994	B00351MN	Labuyo Br.	Labuyo	Tangub
123.721275283073	8.46513486395215	B00378MN	Tipalac Br.	Tipalac	Oroquieta
123.746726773093	8.08161258172993	B00354MN	Dimalooc Br.	Isidro D. Tan	Tangub
123.680037077456	8.48549423891816	B00386MN	Dalacon Br.	Dalacon	Lopez Jaena
123.783843831165	8.10708772683836	B00358MN	Manaka Br.	Tabid	Ozamiz City
123.687883220942	8.05258558620428	B00349MN	Panalsalan Br. 2	Panalsalan	Tangub
123.77819936924	8.10690226525223	B00357MN	Litapan Br.	Tabid	Ozamiz City
123.620859477936	8.04514964719337	B00344MN	Digson Br.	Digson	Bonifacio
123.795343484805	8.49391086257789	B01099MN	Lotao Br.	Canubay	Oroquieta
123.846315279475	8.29840674530534	B01144MN	Colupan Br.	Colupan	Sinacaban
123.804788799791	8.47921428392546	B00376MN	Layawan Br.	Layawan	Oroquieta
123.7111473594	8.05993966885001	B00350MN	Bosikong Br.	Aquino	Tangub
123.739051086999	8.07754800000919	B00353MN	Migcanaway Br. 1	Barangay 7	Tangub
123.646935490796	8.54450908800044	B00392MN	Napisik Br.	Sulipat	Calamba
123.684199530975	8.60118156433388	B01634MN	Tipolo Br. 2	Tipolo	Plaridel
123.814519078977	8.13055075738316	B01640MN	Pulot Br. 2	Pulot	Ozamiz City
123.598319776023	8.58060881056399	B01109MN	Dioyo Br.	Dioyo	Sapang Dalaga
123.769760644832	8.50291448499373	B01101MN	Tipan Br.	Tipan	Oroquieta
123.655133326375	8.53975721641843	B00391MN	Sulipat Daku Br.	Sulipat	Calamba
123.775811328746	8.49705002972932	B01100MN	Dulapo Br.	Dulapo	Oroquieta
123.684642752736	8.05181920534132	B00348MN	Panalsalan Br. 1	Panalsalan	Tangub
123.855857652507	8.16076044026408	B01136MN	Maningcol Br.	Maningcol	Ozamiz City
123.715727790888	8.46744094553446	B00379MN	Tipan Diut Br.	Tipan	Oroquieta
123.796801948575	8.11227819180325	B00359MN	Hinagdong Br.	Tabid	Ozamiz City
123.6336334468	8.04318166653597	B00345MN	Buracan Br.	Buracan	Bonifacio
123.854851300177	8.20487811565906	B01641MN	Clarin Br. 2	Mialen	Clarin
123.759248521411	8.46967809866704	B00377MN	Dulapo Jumbo Br.	Tuyabang Alto	Oroquieta
123.739943312554	8.56114640444874	B01104MN	Sibugon Br.	Sibugon	Lopez Jaena
123.814519078977	8.13055075738316	B00362MN	Pulot Br.	Pulot	Ozamiz City
123.675334415139	8.52335791047015	B00388MN	Debuloc Br.	Quirino	Plaridel
123.684199530975	8.60118156433388	B01107MN	Tipolo Br.	Tipolo	Plaridel
123.763100960197	8.1041369556809	B00355MN	Labinay Br.	Labinay	Ozamiz City
123.847511737463	8.30843089225021	B01145MN	Sinonoc Br.	Sinonoc	Sinacaban
123.626850259952	8.56496070907679	B01635MN	Berago Br. 2	Bunawan	Calamba
123.823974211833	8.4141486216016	B00366MN	Aloran Br.	Labo	Aloran
123.691217049201	8.47644321312834	B00384MN	Piat Br.	Manguehan	Lopez Jaena
123.771623647562	8.55031036141649	B01103MN	Daisug Jumbo Br.	Puntod	Lopez Jaena
123.707583500281	8.46905950292249	B00381MN	Sinote Diut Jumbo Br.	Senote	Oroquieta
123.860480179064	8.1978653596483	B00363MN	Creek Br.	Poblacion 2	Clarin
123.569079662742	8.55008945137865	B01110MN	Salimpuno Br.	Boundary	Sapang Dalaga
123.860185193441	8.18976938422765	B01137MN	Labo Br. 1	Lapasan	Clarin
123.860185193441	8.18976938422765	B01500MN	H. Ramiro Br.	Lapasan	Clarin
123.639874112728	8.04095370201473	B00346MN	Dupol Br.	Bagumbang	Bonifacio
123.799577748592	8.11587393438917	B00360MN	Baserang Br.	Dimaluna	Ozamiz City
123.713038318366	8.4683181451316	B00380MN	Tipan Daku Br.	Tipan	Oroquieta
123.846963373552	8.33343824787353	B00369MN	Palilan Br.	Palilan	Jimenez
123.626850259952	8.56496070907679	B01108MN	Berago Br.	Bunawan	Calamba
123.843100678178	8.28094284003824	B01142MN	Man-an Br.	Poblacion Sinacaban	Sinacaban
123.662894147253	8.53270412633767	B00389MN	Creek Br.	Sulipat	Calamba
123.774789094476	8.10641604848222	B00356MN	Diguan Br.	Diguan	Ozamiz City
123.735277334584	8.56766041082893	B01105MN	Solsolon Br.	Sibugon	Lopez Jaena
123.597282230284	8.10033288908876	B00995MN	Usugan Br.	Dullan	Bonifacio
123.644592764947	8.55381058291061	B00393MN	Solinog Br.	Solinog	Calamba
123.803777551449	8.46115350554174	B01902MN	Dagatan Br.	Dagatan	Oroquieta
123.844611331605	8.29203496711575	B01143MN	Sinacaban Br.	Poblacion Sinacaban	Sinacaban
123.822292605275	8.41649033468337	B00371MN	Hy Regalado Br.	Dalisay	Aloran
123.649026823288	8.03713449526008	B00347MN	Bagumbang Br.	Bagumbang	Bonifacio
123.847711880317	8.33510830304586	B00364MN	Palilan Jumbo Br.	Palilan	Jimenez
123.56656132906	8.22570213346278	B01826MN	Lampasan Br.	Lampasan	Don Victoriano
123.844216385921	8.26384936470803	B01141MN	Tigdok Br.	Tigdok	Tudela
123.591159785755	8.04822104702224	B00343MN	Panguil Br.	Tiaman	Bonifacio
123.806137338605	8.1451358717501	B00375MN	Bagacay Br.	Bagacay	Ozamiz City
123.734412162813	8.07371628875245	B00352MN	Malubog Br. 2	SantaCruz	Tangub
123.694609686097	8.4716850696415	B00383MN	Paypayan Br.	Paypayan	Oroquieta
123.730307518507	8.5970632027679	B01106MN	Lobog Br.	Panalsalan	Plaridel
123.845216314976	8.24627770707013	B01140MN	Sebac Br.	Sebac	Tudela
123.702314518918	8.46926519293517	B00382MN	Sinote Daku Jumbo Br.	Senote	Oroquieta
123.751638048698	8.06470624890404	B00373MN	Migcanaway Br. 2	Barangay 2	Tangub
123.678737458701	8.49062186179953	B00387MN	Sibugon JumboBr.	Makalibre Alto	Lopez Jaena
123.805981024547	8.48013902081143	B00368MN	G Pelaez Br.	Talic	Oroquieta
123.844659541088	8.14359098491932	B00374MN	Lagbas Br.	SantaCruz	Ozamiz City
123.84574461761	8.24261376189932	B01139MN	Tudela Br.	Centro Napu	Tudela
123.808671726974	8.44492397297483	B00367MN	Pines Br.	Pines	Oroquieta
123.743533600358	8.06607202282161	B00372MN	Malubog Br. 1	Santa Cruz	Tangub
123.691865467346	8.48417001166288	B01636MN	Daisug Br. 2	Manguehan	Lopez Jaena
123.730307518507	8.5970632027679	B01633MN	Lobog Br. 2	Panalsalan	Plaridel
123.854851300177	8.20487811565906	B01138MN	Clarin Br.	Mialen	Clarin
123.662228549026	8.53273189180751	B00390MN	Sulipat Diut Br.	Sulipat	Calamba
