X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
124.624024725839	8.49824173502103	B01835MN	Bulua Br.	Bulua	Cagayan de Oro
124.603554888973	8.50353391269167	B01398MN	Iponan Br. 1	Iponan	Cagayan de Oro
124.641092213149	8.47612854032663	B01353MN	Carmen Steel Br.	Carmen	Cagayan de Oro
124.638023862347	8.48055173500092	B01354MN	Binonoan Br.	Carmen	Cagayan de Oro
124.622751949987	8.50456463863955	B02046MN	Sapang Br.	Bulua	Cagayan de Oro
124.581339809182	8.30617618005398	B01356MN	Mangalay Br.	Dansolihon	Cagayan de Oro
124.603490169806	8.50352744407481	B01397MN	Iponan Br. 2	Iponan	Cagayan de Oro
124.590901451581	8.30713042402559	B01836MN	Mangalay Br. 2	Dansolihon	Cagayan de Oro
124.995319194564	8.65883573288042	B01222MN	Dal-as Br.	Mat-i	Claveria
125.109620554359	8.77639378652807	B01638MN	Palapay Br.	Samay	Gingoog
124.986482951591	8.93217087701419	B01292MN	Portulin Br.	Portulin	Medina
124.98467487887	8.67484547837322	B01219MN	Kibanog Br.	Aposkahoy	Claveria
124.784037451103	8.73639894889804	B01316MN	Waterfall Br. 1	Waterfall	Balingasag
125.05105476846	8.86079327175751	B01351MN	Agay-ayan Br.	Agay-ayan	Gingoog
124.793827785198	8.82271379489691	B01310MN	May-Ang Br.	Cabulawan	Lagonglong
124.288890124494	8.4261281205658	B01335MN	Simanoc Br.	Poblacion	Naawan
124.691073591105	8.47485519853107	B01470MN	Bigaan Br.1	Gusa	Cagayan de Oro
125.164954393086	8.84270133920042	B01342MN	Odiongan Br.	Odiongan	Gingoog
124.575444792529	8.5207353659815	B01322MN	Opol Br.	Poblacion	Opol
125.028888461134	8.71860988109609	B01259MN	Balanakon Br.	Lunotan	Gingoog
124.355813999853	8.56288401815758	B01328MN	Taytayan Br.	Dulong	Libertad
125.020434935553	8.70780878404338	B01260MN	Lingonlingon Br.	Lunotan	Gingoog
124.728016896173	8.48149114069686	B01391MN	Umalag Br. 1	Tablon	Cagayan de Oro
125.180187704824	8.8873960977514	B01152MN	Talisay Br.	Kimaya	Magsaysay
124.764941279426	8.62898824660135	B00636MN	Solana By Pass Br.	Solana	Jasaan
125.017296182336	8.92005186204729	B01119MN	Dangoan Br. 3	Dangoan	Medina
124.835636176829	9.00226742825608	B01300MN	Bolisong Br.	Bolisong	Kinoguitan
125.030513211507	8.89314910463315	B01289MN	Maanas Br.	Maanas	Medina
124.768051469364	8.554855574005	B01115MN	Pugaan Br.	Santa Cruz	Tagoloan
125.105988999679	8.80405883192006	B01256MN	Kahulugan Br.	Kahulugan	Gingoog
124.938407323939	8.96800537137287	B01294MN	Sta. Ines Br. 1	Santa Ines	Talisayan
124.992524356551	8.68823452668083	B01218MN	Guibone Br.	Aposkahoy	Claveria
124.291536441916	8.43708194516825	B01334MN	Naawan Br.	Poblacion	Naawan
124.75636223228	8.51262076541849	B01287MN	Alae Br. 1	Bugo	Cagayan de Oro
125.078255793262	8.82798050600118	B01348MN	San Juan Br.	San Juan	Gingoog
124.789573035863	8.85654401661388	B01309MN	Salay River Br.	Poblacion	Salay
124.790891442191	8.72526183120456	B01317MN	Musi-musi Br.	Musi-musi	Balingasag
