X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
121.037633979363	14.6061397806714	B02126LZ	Santolan Br.	Pasadeña	San Juan
120.992903150788	14.7272347567175	B04317LZ	Malinis Br.	Malinis	Valenzuela
120.945898619502	14.6890578022849	B03203LZ	Pinagkabalian Br.	Dampalit	Malabon
121.092275130327	14.636058385673	B01866LZ	Marikina Br.	Santo Niño;J. Dela Peña	Marikina
120.978299807493	14.4750200325953	B01814LZ	Pulang Lupa Br.	Pulang Lupa I	Las Piñas
121.057120047525	14.7151047023155	B02350LZ	Ilang-Ilang Br. (SB)	North Fairview	Quezon City
121.032646899381	14.5923038739746	B02796LZ	J. Vargas Br.	Bagong Silang	Mandaluyong
120.975278943341	14.6353433993183	B01741LZ	Juan Luna Br. 3	Barangay 184 Zone 16	Manila
120.948695596852	14.6495973991899	B01746LZ	R-10 Br. 2	Bagumbayan South	Navotas
121.077110168556	14.7751821048724	B05050LZ	Alat Parallel Br.	Barangay 185	Caloocan
121.045523692824	14.4459235772821	B01812LZ	Upper Buli Br. (East)	Buli	Muntinlupa
121.023355294593	14.527851848056	B01849LZ	Maricaban Br. (SB)	Magallanes	Makati
120.996303894236	14.5978912978982	B02273LZ	J. P. Laurel Br. 3	Barangay 640 Zone 65	Manila
121.025796917748	14.5939915077537	B05049LZ	Sevilla Br.	Daang Bakal	Mandaluyong
121.016862049849	14.5411108083206	B04985LZ	Magallanes Flyover (Manila-Cubao)	Magallanes	Makati
121.066460686601	14.706372492432	B02351LZ	Tullahan Br. 2 (SB)	North Fairview	Quezon City
121.020159005154	14.6613304724218	B02343LZ	Culiat Br. 2 (EB)	Ramon Magsaysay	Quezon City
121.051920340204	14.582571771972	B03312LZ	EDSA/Shaw Flyover	Nangka	Mandaluyong
120.97387902636	14.6017299313225	B01788LZ	Reina Regente Br.	Barangay 292 Zone 28	Manila
120.950600615923	14.6505871244391	B01748LZ	Bangkulasi Br.	Bangkulasi	Navotas
121.003881468762	14.7485300207434	B02781LZ	Deparo - Bagumbong Br.	Barangay 171	Caloocan
121.04564625976	14.4242011479142	B01810LZ	Pasong Diablo Br. (East)	Cupang	Muntinlupa
121.025582557122	14.569263223803	B01844LZ	Viejo Br. (old)	Viejo	Makati
120.994599786548	14.6148546471897	B02793LZ	Antipolo Br.	Barangay 505 Zone 50	Manila
121.076222158954	14.5544682822059	B01878LZ	Bambang Br.	Bambang;san Joaquin	Pasig
120.947103076412	14.709620068066	B01744LZ	Polo Br.		Valenzuela
121.093665720399	14.5900658240752	B01868LZ	Ortigas Br.	Rosario;mangghan	Pasig
120.985253496229	14.7050613717405	B01765LZ	Canumay Br.	Canumay	Valenzuela
120.960486764944	14.6431072517378	B01755LZ	C-3 Br. (Right)	North Bay Boulevard South	Navotas
121.031704637781	14.569279971543	B04891LZ	Makati-Mandaluyong Br.	Poblacion	Makati
121.045614640394	14.4303043842709	B01811LZ	Upper Palico Br. (East)	Cupang	Muntinlupa
120.998661919202	14.5272795762542	B01834LZ	Airport Br.	Baclaran	Parañaque
121.003636711209	14.6063100374726	B01722LZ	Domingo Santiago Br.		Manila
121.059331430473	14.5963843003384	B03315LZ	EDSA/Ortigas Flyover		Mandaluyong
121.077110168556	14.7751821048724	B01749LZ	Alat Br.	Barangay 185	Caloocan
120.95223675461	14.6526992189576	B01750LZ	C-4 Br. 2	Longos	Malabon
121.006763831888	14.5591141094896	B00562LZ	Buendia Flyover	Palanan;san Antonio	Makati
121.045101896179	14.4537272834398	B01818LZ	Sucat Interchange (EB)	Sucat	Muntinlupa
121.057374547256	14.7150929279195	B03025LZ	Ilang-Ilang Br. (NB)	North Fairview	Quezon City
121.060663174737	14.4851634537214	B01883LZ	Mauling Br.	Bagumbayan	Taguig
121.054731025824	14.5461150431672	B04750LZ	C-5/Sampaguitar Flyover West Ramp Off Road	Pembo	Makati
120.968296708246	14.4655553140401	B01799LZ	Zapote Br. 3 (WB)	Zapote	Las Piñas
121.042126240098	14.557359746176	B04315LZ	Edsa-kalayaan-Fort Bonifacio Flover Br. (Ramp 1)	Pinagkaisahan	Makati
120.968306041554	14.5945682024314	B02291LZ	Delpan Br.	Barangay 286	Manila
121.046007981709	14.5679600089734	B01890LZ	Guadalupe Br.	Ilaya	Mandaluyong
120.998261398691	14.6009962401299	B03350LZ	Legarda Fly-Over	Barangay 420	Manila
120.991187243292	14.4872333183596	B01816LZ	Kayboboy Br.	Tambo	Parañaque
121.074199617581	14.5661959038477	B01773LZ	Vargas Br.	Bagong Ilog;Kapasigan	Pasig
120.983912595709	14.5953421955968	B02271LZ	C. Palanca Br.	Barangay 384 Zone 39	Manila
120.950363262673	14.6555760053428	B01739LZ	Estrella Br.	Tañong	Malabon
121.068242096561	14.5620960210062	B01876LZ	Pasig Blvd-C5 Flyover	Bagong Ilog	Pasig
120.980480332203	14.5973733690388	B02293LZ	Mc Arthur Br.	Barangay 306 Zone 30	Manila
121.05055578271	14.4452089715058	B01824LZ	Lower Buli Br.	Buli	Muntinlupa
121.014675421076	14.5447889681374	B01802LZ	Makati Div. Channel Br.	Bangkal	Makati
121.015601283513	14.6576467395115	B02330LZ	Dario Br. 1 (NB)	Bahay Toro	Quezon City
120.977427517407	14.5963960967268	B02791LZ	Muelle del Banco Nacional Br.	Barangay 303 Zone 29	Manila
121.049568997452	14.5172766843394	B01838LZ	Lower Bicutan Br. (NB)	Western Bicutan	Taguig
120.978163675742	14.604819761214	B01770LZ	Claro M. Recto Br. 1	Barangay 313 Zone 31	Manila
120.961707229981	14.6360370834016	B01747LZ	Marala Br.	North Bay Boulevard South	Navotas
120.992427616111	14.70791676639	B01785LZ	Malinta Interchange Br. (Right)	Paso de Blas	Valenzuela
120.993211833339	14.4527192380199	B01797LZ	CAA Br.	Caa	Las Piñas
121.034227832926	14.5556757468328	B02321LZ	EDSA-Kalayaan-Fort Bonifacio Flyover (EB) Buendia to Fort Bonifacio	Urdaneta Village	Makati
121.001986864932	14.6862529917765	B01768LZ	Ugong Br.	Ugong	Valenzuela
121.050046098898	14.4134719549527	B01808LZ	Alabang - Bayanan Br.	Alabang	Muntinlupa
121.016862049849	14.5411108083206	B04316LZ	Edsa-Magallanes Flyover Br.		Makati
120.996377948044	14.5990530592398	B02621LZ	C. Aguila Br.	Barangay 637 Zone 65	Manila
121.057565846099	14.5900002427419	B03314LZ	EDSA/Ortigas Flyover		Mandaluyong
121.001286238805	14.596547812849	B01733LZ	Mabini Br.  (Nagtahan Br.)	Barangay 636	Manila
121.081992361213	14.5900794202271	B03321LZ	Ortigas/C5 Flyover	Ugong;rosario	Pasig
121.055760170451	14.5469474209644	B04751LZ	C-5/Sampaguita West Ramp on Rd	Pembo	Makati
121.050506686372	14.3690546906881	B01846LZ	Muntinlupa Br.	Tunasan	Muntinlupa
121.01772963202	14.5410193424194	B02798LZ	Magallanes Flyover (Cubao-Alabang)	Magallanes	Makati
120.970732701355	14.5977716629243	B01795LZ	San Fernando Br.	Barangay 282 Zone 28	Manila
121.055477890589	14.5796393578306	B03313LZ	EDSA/Shaw Flyover	Nangka	Mandaluyong
120.959545461977	14.6289520996818	B01791LZ	Vitas Br.	Barangay 101 Zone 8	Manila
120.961431814442	14.6094245018511	B01794LZ	Moriones Br.	Barangay 56 Zone 5	Muntinlupa
121.056399952721	14.4671034455018	B01886LZ	Bagumbayan Br.	Bagumbayan	Taguig
121.081303656453	14.6273358245299	B01752LZ	Marcos Br.	Barangka;calumpang	Marikina
120.975506389762	14.6369745024614	B01742LZ	Casili Br.	Barangay 33	Caloocan
121.053981635531	14.4599508933588	B01858LZ	Sucat Br.	Sucat	Muntinlupa
121.059436506659	14.5966567283328	B03316LZ	EDSA/Ortigas Interchange		Mandaluyong
121.011858241936	14.6021306985322	B05046LZ	Old Sta. Mesa Br.	Barangay 589	Manila
