X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
122.904926337333	10.5815957189602	B00467NR	Taloc Br.	Taloc	Bago City
122.930866432446	10.6375984718051	B00321NR	Tangub Br. 1	Tangub	Bacolod City
122.859480684346	10.0678388543455	B00485NR	Tuyuman Br.	Caradio-an	Himamaylan
123.076364219981	10.5704754080586	B00520NR	Manyaya Br.	Caliban	Murcia
122.623370486186	9.82796205147479	B00530NR	Haba Br. 1	Haba	Candoni
122.580625447152	9.97269380278403	B00230NR	Isio Br.	Isio	Cauayan
122.991766425209	10.7064836176756	B00489NR	Logoy Br.	Matab-ang	Talisay
122.841173365542	10.5396770578044	B00345NR	Sibud Br. 1	Poblacion	Bago City
123.097788204531	10.3564302170285	B00540NR	Mansalanao Br.	Mansalanao	La Castellana
122.737453704389	9.76273042178488	B00438NR	Magballo Br.	Magballo	Kabankalan
122.923344196386	10.6082347252846	B00481NR	Pahanocoy Br. 2	Pahanocoy	Bacolod City
122.415620491499	9.81821340010317	B00243NR	Calat-an Br.	Cartagena	Sipalay
123.317771718542	10.6153313209313	B00441NR	Bago Br.	Bago	Salvador Benedicto
123.104708915313	10.3580010946154	B00201NR	Odiong Br.	Odiong	La Castellana
122.560832883075	9.47503336071668	B00263NR	Culipapa Br.	Culipapa	Hinoba-an
123.49077841257	10.7280478994316	B00416NR	Hagnaya Br.	Tabun-ak	Toboso
122.521909083446	9.54026253505304	B00471NR	Asia Br.	Asia	Hinoba-an
122.860873750059	10.4124114796024	B00346NR	Banawang Br.	Poblacion	San Enrique
123.066212127864	10.6708154717844	B00337NR	Loygoy Br. 2	Alangilan	Bacolod City
122.611333904434	9.97264670103848	B00552NR	Umilis Br.	Poblacion	Cauayan
122.617843379126	9.76089631105659	B00477NR	Tomarog Br.	Gatuslao	Candoni
122.959140166207	10.6383172024955	B00330NR	Magsungay Br. 2	Alijis	Bacolod City
123.506931723268	10.7046614079188	B00309NR	Maaswa Br. 1	General Luna	Toboso
122.98128162255	10.8395137345176	B00148NR	Tinihaban Br. 2 (Box Type)	Tinihaban	Enrique B. Magalona
122.404582868386	9.8329448328753	B00241NR	Cartagena Br. 1	Bulata	Cauayan
123.438387857675	10.5216979185944	B00182NR	Talave Br.	Talave	San Carlos
122.661250960075	9.97539280893519	B00548NR	Tiling Br.	Tiling	Cauayan
123.038088098426	10.8928683035116	B00151NR	Malogo Br.	Tabigue	Enrique B. Magalona
122.926393216464	10.420154207769	B00370NR	Canman-ug Br.	Poblacion 3	La Carlota City
123.051248516354	10.5942356130597	B00521NR	Sum-ag Br.	Poblacion	Murcia
122.656783752194	9.83628177133351	B00273NR	Panaculan Br.	Caningay	Candoni
123.260837054649	10.9442525740662	B00168NR	Umapog Br.	Luna	Cadiz City
122.503946962318	9.74996281252385	B00397NR	Barasbarsan Br.	Manlocahoc	Sipalay
122.965331958369	10.6575678174525	B00332NR	Lupit Br. 2	Taculing	Bacolod City
122.986888345532	10.879051081616	B00150NR	Tabigue Br.	Tabigue	Enrique B. Magalona
122.760775588692	9.87509977629761	B00503NR	Candiacap Br.	Tapi	Kabankalan
122.999429657528	10.7549526586398	B00492NR	Catabla Br. 3	E. Lopez	Silay
122.980312699014	10.832216721283	B00147NR	Imbang Br. 2	Adela	Silay
122.560848700986	9.97651177147199	B00231NR	Tuyom Br.	Tuyom	Cauayan
123.156721149761	10.9453302405225	B00162NR	Balulan Br.	Purisima	Manapla
123.337870256631	10.3880628726014	B00190NR	Buluangan Br.	Buluangan	San Carlos
123.009715293348	10.2102883712246	B00538NR	Si-ag Br.	Maytubig	Isabela
122.846098801674	10.5345537770982	B00194NR	Sibud Br. 2	Balingasag	Bago City
122.928760942292	10.6234817692083	B00322NR	Cabalagnan Br. 1	Tangub	Bacolod City
123.000777244198	10.2262014173617	B00377NR	Tinongan Br.	Barangay 7	Isabela
122.971052174225	10.7469709205532	B00389NR	Catabla Br. 2	Poblacion	Talisay
122.761557480749	9.89000546194046	B00526NR	Buri Br.	Tapi	Kabankalan
122.434287937482	9.76423449994917	B00245NR	Tauangan Br.	Gil Montilla	Sipalay
123.213014712526	10.9560547517954	B00164NR	Guindascan Br.	Luna	Cadiz City
122.442079102909	9.91250505205823	B00535NR	Gilis Br.	Inayauan	Cauayan
123.070570516069	10.4772261724534	B00366NR	Kipot Br.	Mailum	Bago City
122.678403908308	9.98037940801458	B00223NR	Balangay Br.	Guiljungan	Cauayan
122.563589075304	9.82545557611456	B00280NR	Camindangan Br.	Camindangan	Sipalay
123.022435919234	10.3885014565237	B00372NR	Honoban Br.	Robles	La Castellana
122.535422553159	9.5165485873699	B00260NR	Bulwangan Br. 2	Bulwangan	Hinoba-an
123.473071345635	10.5710171265877	B00519NR	Patun-an Br.	Patun-an	Calatrava
122.408961347948	9.84712611523767	B00240NR	Si-alay Br.	Bulata	Cauayan
122.604326201658	9.82807657974695	B00439NR	Haba Br. 2 (new)	Haba	Candoni
122.627654480972	9.97230348622543	B00227NR	Cauayan Br.	Poblacion	Cauayan
122.563006359935	9.47295824503283	B00472NR	Camandagan Br.	Culipapa	Hinoba-an
122.951147956837	10.6120621001653	B00327NR	Pahanocoy Br. 3	Pahanocoy	Bacolod City
123.18090588629	10.5718917068021	B00303NR	Ansoan Br.	Pandanon	Salvador Benedicto
122.831281802379	10.0255851426409	B00216NR	Binicuil Br.	Binicuil	Kabankalan
123.054129189109	10.8917523264176	B00153NR	Carugiat Br.	Barangay 13	Victorias
122.475198919917	9.7555096345838	B00288NR	Cabadiangan Br.	Cabadiangan	Sipalay
122.965285582466	10.7328493946963	B00316NR	Minuluan Br.	Zone 14	Talisay
122.742260618685	9.78092800237396	B00214NR	Carawinan Br.	Magballo	Kabankalan
123.408645060396	10.6180332065945	B00457NR	Dolis Br.	Dolis	Calatrava
122.834855927639	9.96476691137243	B00269NR	Hilabangan Br.	Hilamonan	Kabankalan
122.950891255475	10.7037879781759	B00335NR	Banago Br. 2	Banago	Bacolod City
123.338689039537	10.8978080754863	B00172NR	Paniquion Br.	Cabahug	Cadiz City
122.879025586338	10.5616339320516	B00478NR	Calumangan Br.	Calumangan	Bago City
123.080180336724	10.6607579906416	B00338NR	Alangilan Br.	Alangilan	Bacolod City
123.044207829776	10.8924701785772	B00524NR	Langa-og Br.	Barangay 13	Victorias
122.564461344182	9.4650526953708	B00473NR	Canlinday Br.	Culipapa	Hinoba-an
122.9674340807	10.7815662226888	B00141NR	Guinhalaran Br.	Guinhalaran	Talisay
123.271750878522	10.6051588651187	B00293NR	Mauna Br.	Bagong Silang	Salvador Benedicto
122.511773268727	9.55278420219858	B00487NR	San Bastian Br.	Asia	Hinoba-an
123.349352333692	10.413241469648	B00517NR	Magbaboy Br.	Buluangan	San Carlos
122.643854951716	9.97263842550473	B00502NR	Mabua Br.	Poblacion	Cauayan
122.87138079902	10.3756658473024	B00350NR	Marayo Br.	Poblacion	Pontevedra
122.962365450934	10.7069378797469	B00318NR	Banago Br. 1	Bata	Bacolod City
123.028826340821	10.7703450224405	B00455NR	Overflow Br.	Guimbala-on	Silay
122.61900530502	9.82735218515389	B00536NR	Pinag-ulingan Br.	Haba	Candoni
123.425560156844	10.7129110805854	B00518NR	Canubgan Br.1	San Isidro	Toboso
122.40320267595	9.82890602845493	B00242NR	Cartagena Br. 2	Cartagena	Sipalay
123.454902571194	10.8805637254314	B00176NR	Vito Br.	Bateria	Sagay
122.869753618295	10.0925603288759	B00364NR	Himamaylan By Pass Br.	Barangay 1	Himamaylan
