X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
123.189716458384	9.09716647419409	B00011NR	Bangcolotan Br.	Mayabon	Zamboanguita
123.186498808187	9.09638425502917	B00012NR	Maglinte Br.	Mayabon	Zamboanguita
123.307923873093	9.30200790766509	B00069NR	Banica Br. 1	Calindagan	Dumaguete
123.218757892638	10.0004358280634	B00121NR	Malaiba Br.	San Jose	La Libertad
122.843046070245	9.35027707491747	B00036NR	Pagtigaon Br.	Caranoche	Santa Catalina
123.106186698351	9.64497285624066	B00060NR	Alangilanan Br.	Alangilanan	Manjuyod
123.260859746252	9.37831111509912	B00075NR	Ajong Br.	Ajong	Sibulan
123.29745160063	10.3625939858206	B00061NR	Ulay Br.	Ulay	Vallehermoso
122.823898883652	9.4195337337121	B00414NR	Milagrosa Br.	Nangka	Bayawan City
123.186714603193	9.96221598921936	B00115NR	Panlaya-an Br.	Bae	Jimalalud
123.24191783751	10.0490856209348	B00461NR	Martilo Br.	Martilo	Lalibertad
123.142628290132	9.75012883393111	B00093NR	Talaptap Br.	Cabugan	Bindoy
122.730343708376	9.38154062744201	B00041NR	Taloto-an Br.	Pagatban	Bayawan City
123.146053968215	9.51021945493897	B00086NR	Tanjay Br.	Poblacion 1	Tanjay
123.040748894529	9.82228603080914	B00516NR	Sooc Br.	Sooc	Ayungon
122.890646151129	9.36755386581715	B00448NR	Pinakopakan Br.	Kabulakan	Santa Catalina
123.176391471035	9.94582436066677	B00462NR	Jimamala Br.	Lutay	Tayasan
122.870390315635	9.32527361599549	B00034NR	Sta. Catalina Br.	Poblacion	Santa Catalina
122.895902792155	9.1855583988784	B00027NR	San Francisco Br.	San Francisco	Santa Catalina
123.30590303913	9.33272299023544	B00071NR	Dumaguete Airport Rd. Br.	Bantayan	Dumaguete
122.935133098004	9.10059416791576	B00022NR	Giligaon Br.	Giligaon	Siaton
123.289521805175	9.34174728520978	B00072NR	Boloc-boloc Br.	Maslog;Boloc-boloc	Sibulan
123.322952581167	10.2642546385099	B00138NR	Hiba-iyo Br.	Hibaiyo	Guihulngan
122.762021717197	9.370818241082	B00038NR	Camaya-an Br.	Malabugas	Bayawan City
123.143194124541	9.85671009519623	B00104NR	Ayungon Br.	Poblacion	Ayungon
123.02061148431	9.05094752929004	B00019NR	Mantuyop Br.	Mantuyop	Siaton
122.975072424869	9.06467158134703	B00020NR	Maloh Br.	Maloh	Siaton
123.304876479224	9.30213151769226	B00070NR	Banica Br. 2	Tabuc-tubig	Dumaguete
123.319715760168	10.2453055666509	B00137NR	Hilaitan Br.	Hilaitan	Guihulngan
122.885938476482	9.36097907686975	B00449NR	Maihaw Br.	Kabulakan	Santa Catalina
123.210672342	10.3825162642105	B00065NR	Linothangan Br.	Linothangan	Canlaon
122.888384233186	9.59487790548762	B00537NR	Niludhan Br.	Dawis	Bayawan
123.143610803938	9.66902239641058	B00286NR	Manjuyod Br.	Campuyo	Manjuyod
122.887649226945	9.21428191164853	B00028NR	Pamonacan Br.	Manalongon	Santa Catalina
123.099543719336	9.45639308132844	B00453NR	Pinanlayaan Br.	Datagon	Pamplona
123.259375053462	9.27142370905765	B00452NR	Balayag Manok Br. 2	Isugan	Bacong
123.24302811159	9.41222274062454	B00078NR	Ayuquitan (San Jose) Br.	Poblacion	San Jose
123.240346377789	9.15850189414812	B00005NR	Cuadra Br.	Maayong Tubig	Dauin
123.201526575399	9.98260833102456	B00119NR	Jimalalod Br.	Poblacion	Jimalalud
122.92365357819	9.65197575012569	B00479NR	Tabuay Br.	Dagbasan	Mabinay
123.0113521718	9.64140599134384	B00052NR	Mabaja Br.	Mabaja;Mayaposi	Mabinay
122.930731547778	9.7292013303614	B00055NR	Namangyan Br.	Poblacion;Abis	Mabinay
122.714686848312	9.38665183241834	B00042NR	Pagatban Br.	Pagatban	Bayawan City
123.167618986797	9.92121587275287	B00111NR	Tibyawan Br.	Poblacion	Tayasan
123.068414044768	9.07034094169424	B00016NR	Sac-sac Br.	Malabuhan	Siaton
122.918497068533	9.13233492207008	B00465NR	Bonawon Br.	Bonawon	Siaton
123.185716547152	9.47666206611233	B00084NR	Buswang Br.	Buswang	Amlan
123.233331175477	10.0281844661296	B00513NR	La-Libertad Br.	Poblacion	La Libertad
122.87803459395	9.34162914207047	B00450NR	Malapagyao Br.	San Jose	Santa Catalina
122.878786130824	9.23740241155323	B00030NR	Litid Br.	Nagbalaye	Santa Catalina
123.172879171787	9.09612773815061	B00013NR	Mayabon Br.	Mayabon	Zamboanguita
123.15317393551	9.91032221729437	B00108NR	Hibolangan Br. 1	Bonga	Tayasan
122.945128525929	9.07676653478031	B00021NR	Cabangahan Br.	Cabangahan	Siaton
122.91032929327	9.14789054370399	B00025NR	Lico-lico Br.	Lico-lico	Siaton
122.913702437186	9.82368809096794	B00059NR	Naiba Br.	Hagtu	Mabinay
123.325021123781	10.3599577245339	B00140NR	Malapay Br.	Bagawines	Vallehermoso
123.19981620298	9.47060911832332	B00083NR	Bio-os Br.	Bio-os	Amlan
123.192936789375	9.97104515542873	B00463NR	Pangaloan Br.	Pangaloan	Jimalalud
123.273387360807	9.36226428996231	B00074NR	Ocoy Br.	Mainit	Sibulan
123.280997606408	10.1688929924434	B00132NR	Bitoclan Br.	Calamba	Guihulngan
123.14441622961	9.77865799887665	B00097NR	Tinaogan Br.	Tinaogan	Bindoy
123.179932035102	9.48371063772363	B00085NR	Polo Br.	Polo	Tanjay
122.938499717747	9.73690686647504	B00056NR	Abis Br.	Abis	Mabinay
122.742297997611	9.37585021067687	B00039NR	Nalundan Br.	Pagatban	Bayawan City
122.85078944184	9.34808542545385	B00035NR	Sicopong Br.	Poblacion	Santa Catalina
123.144393568684	9.76651275897386	B00096NR	Domolog Br.	Dumolog	Bindoy
122.801322904844	9.36880608953426	B00037NR	Bayawan Br.	Banga	Bayawan City
122.935126991212	9.7726048795192	B00057NR	Samac Br.	Samac	Mabinay
122.948816280351	9.6881692949984	B00054NR	Batang Br. (Cantilevered)	Lumbangan	Mabinay
122.821259066691	9.40743180379767	B00048NR	Calawag Br.	Nangka	Bayawan City
123.152040307979	9.73036547607831	B00092NR	Malaga Br.	Malaga	Bindoy
123.149257111517	9.10561309333556	B00014NR	Juan Colon Br.	Mayabon	Zamboanguita
123.133630562344	9.10466801882278	B00411NR	Salngan Br.	Napacao	Siaton
123.121943579801	9.58726260790162	B00088NR	Bais Br.	Barangay 1	Bais
123.22472229836	10.3856721744467	B00409NR	Malaiba Br. 1	Panubigan	Canlaon
123.24111891433	9.41578751632853	B00079NR	Tapon Norte Br.	Tapon Norte	San Jose
123.058058289573	9.61911318208213	B00051NR	Canlumbog Br. (Cantilevered)	Manlipac	Bais
122.819727777976	9.42457586121422	B00049NR	Guisocon Br.	Nangka	Bayawan City
123.149349527276	9.88089322084389	B00105NR	Iniban Br. 1	Iniban	Ayungon
122.874970752667	9.25591208296955	B00031NR	Nagbalaye Br.	Nagbalaye	Santa Catalina
122.908211210638	9.15578747400634	B00413NR	Tambo Br.	Lico-lico	Santa Catalina
123.257850560839	9.38580578773229	B00076NR	Calo Br.	SantoNino	San Jose
123.324161043314	10.3540804060362	B00139NR	Pinocawan Br.	Bagawines	Vallehermoso
122.739411708534	9.37740642311719	B00040NR	Tab-ang Br.	Pagatban	Bayawan City
123.252284857785	9.27557929360935	B00451NR	Balayag Manok Br. 1	Bong-ao	Valencia
123.132282123446	9.83591806529223	B00102NR	Anibong Br.	Anibong	Ayungon
123.223219164318	9.13806516688418	B00008NR	Mag-abo Br.	Maluay	Zamboanguita
123.249847997605	9.17397019970972	B00004NR	Jagobaac Br.	Masaplod	Dauin
123.272953143292	10.1233392000522	B00515NR	Bateria Br.	Poblacion	Guihulngan
122.646997891345	9.40812368343928	B00043NR	Basay Br.	Poblacion	Basay
