X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
121.250780390272	15.5521578315603	B01671LZ	Segum Br. 1	Segum	Gabaldon
120.954971831676	15.2389782839763	B01307LZ	Baluarte Br. 2		Gapan
121.003483014957	15.7882893305048	B05029LZ	Sibut Over Flow Br.	Sibut	San Jose
121.096330500312	15.556590550595	B00115LZ	Atate Br.	Atate	Palayan
120.94129526941	15.5194993434221	B00129LZ	Caalibangbangan Br.	Caalibangbangan	Cabanatuan
120.994460427777	15.6159381303288	B01295LZ	Gen. Luna Br.	General Luna	Llanera
120.897961168773	15.6377317373556	B05028LZ	Dibabuyan Br.	Lomboy	Talavera
121.335929453611	15.476411764946	B01354LZ	Malinao Br.	Malinao	Gabaldon
121.031510478873	15.8304993818136	B01969LZ	Tayabo Br.	Tayabo	San Jose
121.2143008789	15.5639638286549	B00151LZ	San Juan Br. 3	San Juan	Gabaldon
120.941154808485	15.4377475850306	B00125LZ	Minatula Br.	San Gregorio	Santa Rosa
121.080304253024	15.6895992095065	B01300LZ	Del Pilar Br.	Del Pilar	Rizal
120.982984485133	15.9408731044187	B00119LZ	Dancay Br.	Digdig	Carranglan
121.006150092502	15.3523836946826	B01344LZ	Peñaranda Br.	Sinisihan	Penaranda
120.942107667424	15.3989141432624	B01313LZ	Tabuating Br.	Tabuating	San Leonardo
120.904275128215	15.7743974462772	B03436LZ	San Felipe Br. 1	San Felipe	Muñoz
121.003430800851	15.8120249094912	B01967LZ	Cabitbitnugan Br.	Kita Kita	San Jose
121.225255982465	15.5577948330383	B01337LZ	Bato Ferry Br.	Bato Ferry	Laur
120.975865569433	15.4940491298047	B00127LZ	Nabao Br.	Nabao	Cabanatuan
120.903897822173	15.7227245896083	B01268LZ	Lumang Bayan Br. 1	Poblacion North	Muñoz
121.274093415503	15.6559659273779	B04666LZ	Salabusob Br.	Salabusob	Bongabon
121.014669259138	15.7712160243003	B03400LZ	Palestina Br.	Palestina	San Jose
120.987611785835	15.9094755637535	B00116LZ	Puncan Br. 2	Puncan	Carranglan
120.937086911988	15.4389181800119	B01339LZ	Sumacab Br.	Sumacab	Cabanatuan
120.790396671613	15.4515382921485	B04662LZ	Biloco Br. 2	Del Pilar	Zaragoza
121.028611570583	15.6454024641345	B01297LZ	Inanama Br.	Inanama	Llanera
120.928884022523	16.0905560316497	B01981LZ	Amawinan Br.	Capintalan	Carranglan
121.353644921992	15.4350587054449	B00118LZ	Cuyapa Br. 2	Cuyapa	Gabaldon
120.937599920881	15.4249804208146	B01334LZ	Sta. Rosa Br.		Santa Rosa
120.942733832013	16.0735832711402	B00123LZ	Minuli Br. 1	Minuli	Carranglan
120.838407440396	15.4449723958408	B01263LZ	Mangitic Br.	H. Romero	Zaragoza
121.048037326989	15.6633149835466	B00101LZ	Bicos Br. 2	Bicos	Rizal
120.999433964496	15.8041993622002	B01966LZ	Malasin Br.	Malasin	San Jose
121.211117084424	15.5644209267944	B00122LZ	San Juan Br. 2	San Juan	Gabaldon
120.792600785995	15.7757592436052	B05032LZ	Patola Br.	Patola	Guimba
120.680042273115	15.7965403470164	B01279LZ	Malineng Br.	Malineng	Cuyapo
120.935968359217	15.8408782042635	B01286LZ	Balbalungao Br. 1	Balbalungao	Lupao
121.09615489371	15.7170469040741	B03404LZ	Poblacion West Br. 1	Poblacion West	Rizal
120.95495256092	15.82133225071	B01285LZ	Papaya Br.	Santo Niño 3rd	San Jose
121.283530461696	15.517884500304	B01352LZ	Calabasa Br.	Calabasa	Gabaldon
121.130491096493	15.7800572769823	B01303LZ	Baracbac Br.	Buntis	Pantabangan
120.995433415217	15.7894463551182	B03398LZ	Sanchez Br.		San Jose
120.90964617846	15.8707818027872	B01289LZ	Arimal Br. 1	Tenzo	Lupao
121.133597983865	15.6601981837835	B04728LZ	Vega Br.3	Vega	Bongabon
120.976219678408	15.7964736748026	B00108LZ	Panlasian Br.	SantoNino	San Jose
121.083584122203	15.4256540033055	B01340LZ	Kamagong Br.	Barrio Militar	Cabanatuan
121.14187926033	15.6413633542778	B04727LZ	Palomaria Br.	Palomaria	Bongabon
120.901547946859	15.785204102477	B01271LZ	Mapangpang Br. (Muñoz)	Mapangpang	Muñoz
121.207832956265	15.5658520999756	B00150LZ	San Juan Br. 1	San Juan	Laur
121.111048163028	15.7057402144492	B04959LZ	Calaocan Br.	Calaocan	Rizal
121.14120283471	15.8022543756031	B05033LZ	Aya Br.	East Poblacion	Pantabangan
120.903520361279	15.7771008787748	B03361LZ	San Felipe Br. 2	San Felipe	Science City of Muñoz
121.010387623009	15.8837771965695	B01971LZ	Tuntunin Br.	Nanlagarean	Carranglan
120.94205479319	15.4079551090005	B00143LZ	Mamalacol Br.	Del Pilar	Cabanatuan
120.89401747516	15.8199072099852	B01273LZ	Salvacion Br.	Salvacion I	Lupao
121.129193550875	15.5882300619986	B00135LZ	Bankerohan Br.	Bangkerohan	Bongabon
120.988238531454	15.9083838751352	B01973LZ	Puncan Br. 1	Puncan	Carranglan
120.880283263966	15.435337583344	B00131LZ	Cinco Cinco Br.	Cinco-cinco	Santa Rosa
121.009854309378	15.6292930177699	B01296LZ	Gen. Ricarte Br.	General Ricarte	Llanera
120.977017861404	15.9463810481889	B00121LZ	Digdig Br.	Digdig	Carranglan
121.343044093115	15.4489645379507	B01356LZ	Saw Mill Br.	Sawmill	Gabaldon
120.767549531322	15.6627963928852	B05031LZ	Cavite Br.	Cavite	Guimba
121.15426170585	15.5698848133615	B01346LZ	Sagana Br.	Sagana	Laur
120.977241402641	15.5023990920456	B00128LZ	Bitas Br.	Bitas	Cabanatuan
120.670234850895	15.8284402313156	B00750LZ	Sabit Br.	Sabit	Cuyapo
120.929679899921	15.8504878354678	B01287LZ	Balbalungao Br. 2	Balbalungao	Lupao
120.967156624953	15.471766975112	B02792LZ	Sapang-Buhay Br. 2	Ms Garcia	Cabanatuan
120.987952258953	15.7946497857676	B01281LZ	Sibul Br.	Santo Nino 1st	San Jose
121.134153737633	15.6594717297515	B01317LZ	Vega Br. 2	Vega	Bongabon
121.068228412037	15.7347423265019	B03402LZ	Portal Br.	Portal	Rizal
120.897163006146	15.8058611802493	B04552LZ	Mapangpang Br. (Lupao)	Mapangpang	Lupao
120.927648320551	16.1030831308624	B01982LZ	Capintalan Br. 1	Capintalan	Carranglan
120.95985785254	15.4683167765127	B00132LZ	Bato Bato Br.	Sumacab Este	Cabanatuan
120.824519609721	15.2167108070582	B04667LZ	Cabiao Viaduct		Cabiao
121.039733800591	15.6557624345299	B01298LZ	Bicos Br. 1	Bicos	Rizal
121.338438305838	15.456043534201	B01672LZ	Asan Br.	Asan	Gabaldon
120.894628608347	15.8918747554505	B00112LZ	San Roque Br.	San Roque	Lupao
120.905802137765	15.4319888131915	B00130LZ	Abot Br.	San Jose	Santa Rosa
