X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
121.190616321935	16.2644289347452	B02128LZ	Bitnong Br. 2	Bitnong	Dupax del Norte
120.938637103874	16.3207022495902	B01862LZ	Pingkian Br.	Pingkian	Kayapa
121.337834684388	16.616085438962	B01240LZ	Oriwong Br.	Nagsabaran	Diadi
120.888103642175	16.3572425568202	B01867LZ	Pampang Br.	Pampang	Kayapa
121.161629985626	16.4921132317225	B01231LZ	Colocol Br.	Santa Rosa	Bayombong
120.902977643811	16.1551836498585	B04441LZ	Imugan Br.	Imugan	Santa Fe
121.325853982072	16.426241126728	B03245LZ	Runruno Br. 3	Runruno	Quezon
121.18701708536	16.3965870820442	B01260LZ	Rosario Br. 2	Mabuslo	Bambang
121.214196478043	16.3954142744405	B04652LZ	Antutot Br. 2	Antutot	Kasibu
121.147781942348	16.4842235191683	B01245LZ	Colocol Br.	Don Domingo Maddela	Bayombong
121.395008590677	16.3883070574528	B04980LZ	Tadji Br.	Tadji	Kasibu
121.364109491192	16.3640974155855	B04455LZ	Papaya Br.	Papaya	Kasibu
121.317419715627	16.2769542740808	B04979LZ	Siguem Br.	Siguem	Kasibu
120.94665602845	16.1909587654715	B01217LZ	Baliling Br.	Baliling	Santa Fe
121.323449555737	16.4252989157905	B02803LZ	Runruno Br. 2	Runruno	Quezon
121.221105269138	16.2231709632397	B02129LZ	Macabenga Br.	Macabenga	Dupax del Norte
121.386232609638	16.6537589107593	B01244LZ	Buaya Br.	San Luis	Diadi
121.373095671261	16.3556340636771	B04646LZ	Tinabla Br	Papaya	Kasibu
121.166752549281	16.4960566032339	B01232LZ	Bonfal Br.	Bonfal West	Bayombong
121.046936910727	16.3101846327381	B01223LZ	Darapidad Br.	Darapidap	Aritao
121.001490909211	16.2971563046011	B01249LZ	Lobo Br.	Kirang	Aritao
121.095618753557	16.2902857860603	B01253LZ	Benay Br.	Bagumbayan	Dupax del Sur
121.058269523347	16.3196921884806	B01224LZ	Gabut Br.	Gabut	Dupax del Sur
121.113168785711	16.4330894506397	B01227LZ	Batu Br.	Santo Domingo	Bambang
121.370178006329	16.3575087487002	B04443LZ	Papaya Br. 2	Papaya	Kasibu
121.216344418407	16.5024174673376	B02807LZ	Maddiangat Br.	Maddiangat	Quezon
121.264573816171	16.5837859016171	B01235LZ	Sn. Lorenzo Ruiz Br.	Baretbet	Bagabag
121.031280164377	16.2999381232176	B01247LZ	Laton Br.	Poblacion	Aritao
121.282480873922	16.6079253351105	B04448LZ	Tapaya Br.	Baretbet	Bagabag
121.091725479307	16.2843162500332	B01252LZ	Dampol (Arc) Br.	Domang	Dupax del Sur
120.93692862995	16.1577227180988	B04449LZ	Sta. Fe Br.	Poblacion	Santa Fe
121.261531795203	16.5851101825995	B01234LZ	Baretbet Br.	Baretbet	Bagabag
121.337610112904	16.2696194927794	B04648LZ	Paquet Br.	Paquet	Kasibu
120.946364756356	16.1970836387631	B01218LZ	Yangiran Br.	Baliling	Santa Fe
121.120276315015	16.4774975513231	B01230LZ	Busilac Br. 2	Busilac	Bayombong
121.293408670241	15.7993044791506	B02767LZ	Batu Br.	Lublub	Alfonso Castañeda
121.175725393051	16.4026204547474	B01258LZ	Labni Br. 1	Mabuslo	Bambang
121.177266861715	16.5112009540324	B01233LZ	Apad Br.	Quezon;quirino	Solano
121.294409710767	16.3083196221226	B04651LZ	Magpayao Br.	Poblacion	Kasibu
121.117680478199	16.4744907382261	B01229LZ	Busilac Br. 1	Busilac	Bayombong
120.958084801362	16.3096602717278	B01251LZ	Sta. Cruz Br.	Pingkian	Kayapa
120.936109758914	16.3288138398602	B01865LZ	Odom Br.	Pingkian	Kayapa
121.031076898716	16.2928163762581	B01222LZ	Kirang Br.	Poblacion	Aritao
121.242245831605	16.1924439458284	B04653LZ	Belance Br.	Belance	Dupax del Norte
121.215308242844	16.3929085899133	B03248LZ	Antutot Br. 3	Antutot	Kasibu
121.271692361164	16.5986512663678	B01236LZ	Kinakao Br.	Baretbet	Bagabag
121.128410135531	16.3875657437348	B01257LZ	San Fernando Br.	San Fernando	Bambang
120.950313094147	16.2006454830261	B01219LZ	Mag-asawang Kahoy Br.	Balete	Santa Fe
