X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
120.534379686981	14.8925212639167	B01508LZ	Lauc Pao Br.	Lourdes	Lubao
120.816828585872	14.9932369200103	B04189LZ	San Miguel Br. 3	San Miguel	San Simon
120.499828552396	14.8703183900681	B04412LZ	Prado Br.	Prado Saba	Lubao
120.707294161108	15.0463122329558	B01468LZ	Taric Br.	San Jose	San Fernando
120.675005793897	15.029845521785	B04556LZ	Lazatin Flyover	San Juan	San Fernando
120.656702386913	15.0115449901166	B01474LZ	Gugu Br. 2 (west bound)	Cabalantian	Bacolor
120.794044390839	14.9924459145306	B04188LZ	San Miguel Br. 2	San Miguel	San Simon
120.678816444666	15.0364756085138	B01470LZ	RR Crossing Br.	Dolores	San Fernando
120.537775292109	14.9822450812053	B01522LZ	Valdez Br.	Valdez	Floridablanca
120.553062740882	15.1056673000266	B01484LZ	Mancatian Br.	Mancatian	Porac
120.735938132771	14.9393735552242	B01459LZ	Colgante Br.	Colgante	Macabebe
120.694557335829	15.0300107044398	B01466LZ	San Jose Br. (box culvert)	Sn Jose	San Fernando
120.579676848889	15.1322972408617	B04668LZ	Cutcut Br.	Cutcut	Angeles City
120.571343057839	15.1213893072653	B04974LZ	Sta. Cruz Br.	Santa Cruz	Porac
120.822946676458	15.0247957716816	B01488LZ	Sn. Isidro Br.	San Isidro	San Luis
120.613670873462	14.9772142562068	B04410LZ	Natividad Br.	Natividad	Guagua
120.693162166256	15.0476851385213	B01475LZ	Overpass Br. 1 (WB)	San Jose	San Fernando
120.611820779705	14.9668178319219	B01521LZ	San Antonio Br.	San Antonio	Guagua
120.831051972528	15.0259738856877	B01487LZ	Barit Br.	Barit	Candaba
120.75840129165	14.9568562496278	B01451LZ	Are Br.	Sampaloc	Apalit
120.596157714628	14.9331808577731	B01520LZ	San. Juan Br. 2	San Juan	Lubao
120.636843090116	14.9753910455355	B04415LZ	San Juan Bautista Br.	San Juan Bautista	Guagua
120.703346619946	14.985943223308	B04192LZ	San Bartolome Br.	Sn Bartolome	Santo Tomas
120.523979034277	14.9751145502216	B01524LZ	Fortuna Br. (cantilever)	Fortuna	Floridablanca
120.591096406059	14.9352347347588	B04414LZ	San Antonio Br.	San Nicolas 2nd	Lubao
120.757007309081	15.0718687763951	B01465LZ	Sto. Domingo Br.	Santo Domingo	Mexico
120.560116320782	15.1430646679039	B04863LZ	Cuayan Br.	Cuayan	Angeles City
120.569351783488	15.1183277660283	B04975LZ	Manibaug Br.	Manibaug	Porac
120.881661882741	15.0309624589384	B01497LZ	Bahay Pare Br.	Bahay Pare	Candaba
120.681630673879	15.0397623088558	B01155LZ	San Fernando Flyover (West Bound)	Dolores	San Fernando
120.56014559754	15.1554987101496	B04967LZ	Frienship Parallel Br.	Anunas	Angeles City
120.576693421596	14.9196100566175	B04413LZ	Remedios Br.	Remedios	Lubao
120.762322199879	15.0716300984386	B01493LZ	Sto. Domingo Br.	Santo Domingo	Mexico
120.720087524734	14.9249179574655	B01463LZ	Sn. Gabriel Br.	San Gabriel	Macabebe
120.646435267228	15.2669793689884	B04236LZ	San Roque Br. 2	San Roque	Magalang
120.813336030937	15.2091745156694	B01483LZ	Mapalad Br.	Mapalad	Arayat
120.63968066992	14.9983734799863	B01172LZ	Sta. Barbara Br.	Santa Barbara	Bacolor
120.714687055132	14.9627366546561	B04963LZ	Pasac-Culcul Br. 2	San Isidro	Minalin
