X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
118.307326981088	9.21367548784955	B00036PW	Bato - Bato Br. 1	San Isidro	Narra
117.804383003516	9.13133753353942	B00004PW	Quinlogan Br.	Quinlogan	Quezon
119.502569676258	11.1908778010546	B00348PW	New Ibajay Br.	New Ibajay	El Nido
118.38664840518	9.63859587756743	B00397PW	Iliwan Br.	Aporawan	Aborlan
117.989516516828	8.94761987431498	B00065PW	Malalong Br.	Pulot Center	Española
119.198188794811	10.0649237876354	B00202PW	Tinitian Br.	Tinitian	Roxas
119.454771939419	10.6804457378666	B00236PW	Abongan Br.	Abongan	Taytay
118.971876292139	9.98590744843406	B00099PW	San Rafael Br.	San Rafael	Puerto Princesa
118.694545057613	9.80126325621258	B00173PW	Irawan Br.	Irawan	Puerto Princesa
118.202507190946	9.17474709801144	B00047PW	Maranan Br.	Calategas	Narra
117.248742795247	8.4034068245598	B00378PW	Sayab Br. 1	Tagnato	Bataraza
119.968996561053	12.0772498356144	B00042CR	Kiwit Br. 1	Sagrada	Busuanga
117.810092446676	9.13656167876254	B00003PW	Lamikan Br.	Calumpang	Quezon
119.429865480045	11.1005131282608	B00273PW	Manlalic Br. 2	Manlag	El Nido
118.620445470362	9.68907871499063	B00295PW	Montible Br.	Montible	Puerto Princesa
118.063568131274	9.08945552942073	B00364PW	Ipaputo Br.	Panitian	Española
117.242790617451	8.4019559315011	B00379PW	Sayab Br. 2	Tagnato	Bataraza
119.487182299922	10.6408479446843	B00334PW	Malinao Br. 2	Binuan	Taytay
117.759960688576	8.73900050311519	B00117PW	Kaingaran Br.	Saraza	Brooke's Point
119.362377178212	10.5017539471255	B00218PW	Tomayata Br.	Dumarao	Roxas
118.723908233333	9.83097654676665	B00192PW	Tagburos Br. 1	Irawan	Puerto Princesa
118.949447205021	9.98370470179857	B00098PW	Dakoton Br.	San Rafael	Puerto Princesa
118.763975691494	9.94344722667128	B00089PW	Nagsaguipi Br.	Santa Cruz	Puerto Princesa
119.97129948616	12.0718665002442	B00018CR	Tapiken Br.	Sagrada	Busuanga
118.081186106097	9.18314292638973	B00160PW	Ipilan Br. 3	Ipilan	Narra
119.363462996432	10.5408447315747	B00221PW	Dayadante Br. 1	Dumarao	Roxas
119.541375808502	11.2197748839076	B00346PW	Villapaz Br.1	Villapaz	El Nido
118.098495303097	9.10644985290181	B00362PW	Pinataray Br.	Panitian	Española
117.339760844872	8.47285857244465	B00303PW	Tagmaya Br.	Sapa	Bataraza
119.498308561367	10.6693034382118	B00336PW	Bungot Br. 2	Paglaum	Taytay
117.459817629909	8.7774639039798	B00354PW	Panalingaan Br.	Panalingaan	Rizal
120.040603321288	12.0342252861923	B00041CR	Dialod Br.	Bintuan	Coron
118.51735414109	9.39340671765848	B00025PW	Maasin Br. 2	Maasin	Aborlan
117.649071484868	9.03658309821036	B00008PW	Malambunga Br.	Punta Baja	Rizal
120.15453730238	12.0480986037237	B00034CR	Labangan Br. 2	Guadalupe	Coron
117.732161493704	8.71283513917023	B00119PW	Tagpait Br.	Salogon	Brooke's Point
119.216014195398	10.1460163369581	B00381PW	Tulariquen RCDG Br.	Nicanor Zabala	Roxas
119.472554905241	10.6883813242929	B00237PW	Tabuan Br.	Abongan	Taytay
118.057572613028	9.01794627534182	B00060PW	Punang Br.	Punang	Española
117.221024472019	8.38644029347042	B00380PW	Molpog Br.	Puring	Brooke's Point
118.479852897754	9.35166235496235	B00355PW	Apo Aporawan Br.	Sandoval	Narra
117.632347078112	8.9851143592946	B00009PW	Pajo Br.	Campung Ulay	Rizal
119.877018593985	12.2214985342265	B00047CR	Buluang Br. 1	Buluang	Busuanga
118.597443186205	9.51202454651013	B00186PW	Isaub Br.	Isaub	Puerto Princesa
118.045181531468	9.0024147203717	B00061PW	Malanap Br.	Punang	Española
119.36170822082	10.5542284600377	B00223PW	Parinpin Br. 1	Dumarao	Roxas
119.428589768879	10.866974355336	B00257PW	Maypa Br. 2	Pancol	El Nido
118.697128527654	9.8069072699098	B00187PW	Irawan Br. 1	Irawan	Puerto Princesa
118.702355613193	9.66202404468333	B00179PW	Inabucayan Br.	Luzviminda	Puerto Princesa
119.49670972959	10.6436340244251	B00335PW	Balite Br.	Binuan	Taytay
117.590329452578	8.68755099837384	B00125PW	Bono-bono Br.	Bobo-bono	Bataraza
119.373446725359	10.3907482052857	B00211PW	Arutayan Br.	Sandoval	Roxas
119.41414920954	10.9847693292991	B00269PW	Omao Br.	Cataban	Taytay
118.702969248799	9.81284930841301	B00190PW	Iratag Br. 2	Irawan	Puerto Princesa
117.980071801785	8.93910674711675	B00368PW	Caramay Br.	Pulot	Española
118.729162603782	9.86400582498632	B00083PW	Magarwak Br.	Santa Lourdes	Puerto Princesa
118.268590680702	9.18952079466723	B00358PW	Balitien Br. 1	San Isidro	Narra
117.949280113666	9.20624032958913	B00167PW	Panitian Br.	Panitian	Quezon
119.468041596916	11.3187201990761	B00341PW	Barutuan Br. 2	Barutuan	El Nido
118.440207817031	9.71632869050789	B00298PW	Panagurian Br.	Napsan	Puerto Princesa
118.058515623547	9.05717844448647	B00365PW	Labog Br.	Labog	Española
119.361161951564	10.5727057552807	B00226PW	Barbacan Br.	Dumarao	Roxas
118.990909932162	9.99714897849405	B00100PW	Tanabag Br. 1	Tanabag	Puerto Princesa
118.707988043791	9.79561967888214	B00171PW	Cabongan Br. 1	Sicsican	Puerto Princesa
119.496942798965	10.6833334029946	B00337PW	Nagkawat Br.	Paglaum	Taytay
118.820195664707	9.95382475771877	B00395PW	Tandayag Parallel Br.	Manalo	Puerto Princesa
120.153844238725	12.0604346133885	B00048CR	Carmelita Br.	Guadalupe	Coron
118.933436700914	9.97976848446808	B00097PW	Anilawan Br.	Babuyan	Puerto Princesa
120.106565908766	12.1049812521242	B00049CR	Petek-Petekan Br.	Decalachao	Coron
118.010356314238	9.23120915718403	B00164PW	Sabsaban Br.	Tabon	Quezon
119.414345125546	10.8754803256729	B00330PW	Sablayan Br. 1	Pancol	Taytay
119.224932657537	10.1828266986323	B00394PW	Caramay Br.	Caramay	Roxas
119.004782605249	9.99883696910008	B00101PW	Concepcion Br.	Concepcion	Puerto Princesa
117.364232371491	8.53044152369525	B00301PW	Sumbiling Br.	Sumbiling	Bataraza
118.261645344459	9.18524098984677	B00041PW	Balitien Br. 2	San Isidro	Narra
117.488329913986	8.8358029321368	B00017PW	Culasian Br.	Culasian	Rizal
120.112739183309	12.024396614139	B00037CR	Sinabitan Br.	Bintuan	Coron
117.72231897598	8.70356219371923	B00121PW	Salogon Br. (Salugon Floodway)	Salugon	Brooke's Point
119.360410835326	10.497603701224	B00217PW	Italpak Br.	Dumarao	Roxas
119.43669107406	11.1473821971193	B00276PW	Danat Br.	Manlag	El Nido
118.526642552441	9.40449458870845	B00023PW	Magsaysay Br.	Magsaysay	Aborlan
117.964237184373	8.90594296916513	B00370PW	Calasaguen Br. 1	Calasaguen	Brooke's Point
119.401059680867	10.6268637918195	B00231PW	Kaylubong Br. 1	Abongan	Taytay
117.995237031108	9.23814534987197	B00377PW	Alfonso XIII Br.	Alfonso ⅫⅠ	Quezon
119.539459639563	11.2168806879571	B00347PW	Villapaz Br.2	Villapaz	El Nido
118.633184844752	9.54843461424184	B00185PW	Matnor Br.	Inagawan	Puerto Princesa
117.938100463386	8.88389835508114	B00070PW	Maasin Br.	Maasin	Brooke's Point
118.866033513739	9.98534664679421	B00093PW	Mentis Br.	Maruyugon	Puerto Princesa
118.411819335685	9.27086374215165	B00031PW	Panacan Br.	Poblacion	Narra
118.055165444498	9.18887879002849	B00161PW	Tumarbong Br.	Pinaglabanan	Quezon
120.12215975812	12.034958314505	B00008CR	Malbato Br. 1	Bintuan	Coron
118.636955997194	9.70275680075606	B00001PW	Montible Br. 1	Montible	Puerto Princesa
117.476865912429	8.63228105072307	B00127PW	Iwahig Br.	Sandoval	Bataraza
119.224838498085	10.2759363672034	B00208PW	Tagumpay Br.	Tagumpay	Roxas
119.561452488142	11.2646140275926	B00345PW	Sibaltan Br. 2	Sibaltan	El Nido
118.706000693457	9.79584518181626	B00172PW	Cabongan Br. 2	Sicsican	Puerto Princesa
118.038483632439	8.97906544071746	B00366PW	Iraray Br.	Iraray	Española
118.721554794293	9.92116868772322	B00086PW	Bacungan Br. 2	Bacungan	Puerto Princesa
118.190378021362	9.1748216475856	B00048PW	Patilig Br.	Aramaywan	Narra
117.848697755409	9.16267837712666	B00389PW	Tagusao Br.	Sowangan	Quezon
118.820195664707	9.95382475771877	B00091PW	Tandayag Br.	Manalo	Puerto Princesa
118.43812398713	9.29818267310924	B00030PW	Taritien Br.	Elvita	Narra
117.50089701613	8.85343510851028	B00016PW	Candawaga Br.	Candawaga	Rizal
120.155839497725	12.0474383050828	B00004CR	Labangan Br.	Guadalupe	Coron
118.415226211803	9.68258963124491	B00299PW	Man-udok Br.	Napsan	Puerto Princesa
117.644108437538	8.68554228898141	B00123PW	Inogbong Br.	Inogbong	Bataraza
119.359936753719	10.3542549149092	B00210PW	Minara Br.	Minara	Roxas
119.43365397053	11.1202636214345	B00274PW	Manlag Br. 1	Manlag	El Nido
119.021021358186	10.0035320043163	B00102PW	Tarabanan Br.	Tarabanan	Puerto Princesa
118.324818919148	9.22677717963813	B00035PW	Batang Batang Br.	Princess Urduja	Narra
117.371800779945	8.72566615004673	B00292PW	Colby Br.	Taburi	Rizal
120.193578587563	12.0144339680746	B00001CR	Dipulao Br.	Barangay Ⅵ	Coron
118.05731691328	9.26011360765319	B00076PW	Tumarbong Br.	Tabon	Quezon
119.430349577521	11.2435743854288	B00340PW	Lamoro Br. 3	Lamoro	El Nido
118.106529898643	9.12244481573226	B00055PW	Magtatabo Br.	Isumbo	Española
