X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
121.617119932456	13.9375256223381	B02940LZ	Dumacaa Br.	Ibabang Dupay	Lucena
122.462653096454	13.7296210826679	B01774LZ	Pacabit Br.	Pacabit	Catanauan
122.420327206006	13.5607594699919	B02544LZ	Campacat Br.	Bagopaye	Mulanay
121.516879124971	14.1328534344578	B02440LZ	Malinao Br.	Igang	Lucban
122.507047978919	13.4101251813651	B02973LZ	Tayuman Br.	Tayuman	San Francisco
121.97256917615	14.1430585134751	B00047AB	Tagkawa Br.	Tagwak	Perez
121.616800479523	14.0130496778991	B02445LZ	Malagonlong Br.	Lacawan	Tayabas
121.987081013166	13.9454771499338	B03103LZ	Lakip Br.	Lakip	Atimonan
121.322780324143	13.9296063729992	B02945LZ	Quipot Br.	San Agustin	Tiaong
122.287889614294	13.9161976642068	B02590LZ	Inalakanan Br.	Inalakanan	Gumaca
121.726753777041	14.1792049952276	B02752LZ	Maapon Br.	Polo	Mauban
122.526539969964	13.3462816690479	B01857LZ	Aurora Br.	Cawayan Ⅱ	San Francisco
121.957445734659	14.1468005765296	B00029AB	Balik-balik Br.	Balik-balik	Perez
121.689295016512	14.0793215260876	B02450LZ	Italan Br.	Mainit	Tayabas
122.4139998962	13.5128021889489	B02966LZ	Botaniog Br.	Bataniog	Mulanay
122.175950349357	13.9148023462209	B02582LZ	Overhead Br.	Camohaguin	Gumaca
122.007098534428	14.1169201999458	B00040AB	Langas Br.	Langas	Alabat
121.693500898575	14.0930759302554	B02451LZ	Calsiagan Br.	Calsiagan	Mauban
121.852076015761	13.9085564153538	B02952LZ	San Vicente Br.	San Vicente	Padre Burgos
122.16410056241	13.9114279341481	B02581LZ	Gasgas Br.	Camohaguin Creek	Gumaca
121.623039893218	13.9327204134497	B03071LZ	Dumuklong Br.	Ibabang Dupay	Lucena
121.985027638416	13.8370151754575	B01700LZ	Tabak-Tabak Br.	Socorro	Unisan
121.379590205954	13.9399289317212	B03083LZ	Lagalag Br.	Lagalag	Lagalag
122.179994260675	13.7212187371358	B02533LZ	Kabuluan Br.	San Ignacio	General Luna
121.943245198232	14.1653911481259	B00041AB	Lipata Br.	Lipata	Perez
122.400968596814	13.5258661417839	B02965LZ	Mulanay Br.	Barangay 5	Mulanay
122.098217948376	13.9227337309754	B02577LZ	Tañada Br.	Rosario	Gumaca
121.399833419715	13.9288304667583	B04794LZ	Bukal Br.	Bukal	Candelaria
121.981582993309	13.8959053005516	B04976LZ	Nuguang Br.	Almacen	Unisan
121.530079128265	13.9647281103714	B04788LZ	Balubal Br.	Balubal	Sariaya
121.532200499005	13.8696761631615	B04944LZ	San Roque Br. 2	Guis-guis–San Roque	Sariaya
121.892578262083	13.9919651928726	B02568LZ	Maligaya Br.	San Isidro	Atimonan
121.735575430291	14.2617294708889	B04644LZ	Caghanopol Br.	Caghanopol Br	Mauban
122.366147482009	13.5557573125936	B02542LZ	Ajos Br.	Ajos	Catanauan
122.116025383002	14.0299169113795	B00034AB	Cometa Br.	Cometa	Quezon
