X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
121.640565145693	16.4145083208605	B04923LZ	Villa Santiago Br. 2	Villa Santiago	Aglipay
121.487391890827	16.6183342225533	B05006LZ	Dumaditim Br.	Maria Clara	Diffun
121.753071112156	16.2067800709187	B04720LZ	Masog Br. 1	Masog	Nagtipunan
121.719435487496	16.2530503566588	B03367LZ	Disimungal Br. 2	Disimungal	Nagtipunan
121.510027091653	16.5696320568703	B01936LZ	Ganano Br.	Cajel	Diffun
121.763048338702	16.1732634870945	B03356LZ	Decuraban Br. 2	Decuraban	Nagtipunan
121.492290692112	16.6118395018874	B04905LZ	Lukban Br.	Maria Clara	Diffun
121.563135828912	16.5507349737184	B01944LZ	Divila Br.	Rizal	Saguday
121.660121886062	16.3299347590718	B04719LZ	Diduyon Br. 2	Masog	Maddela
121.611692628191	16.3399239471255	B02081LZ	Umilan Br.	Balligui	Maddela
121.760773932397	16.1931730855651	B04924LZ	Decuraban Br. 4	Disimungal	Nagtipunan
121.764365612372	16.1798718556206	B04722LZ	Decuraban Br. 3	Decuraban	Nagtipunan
121.257089684766	16.1810263773481	B04904LZ	Binuangan Br.	Binuangan	Nagtipunan
121.667180260378	16.25416650637	B02082LZ	Sangbay Br.	Sangbay	Nagtipunan
121.588070477306	16.3086279017557	B01299LZ	Dumabato Br. 2		Maddela
121.765434409726	16.1765969633875	B04926LZ	Nerdibuen Br.	Disimungal	Nagtipunan
121.677195230549	16.3624327148075	B04907LZ	Tungcab Br.	Villa Norte	Maddela
121.549043765882	16.1644802892745	B00246LZ	Madaboy Br.	Wasig	Nagtipunan
121.505184519524	16.5808618840915	B04906LZ	Disinaba Br.	Aurora East;Aurora West	Diffun
121.753460322174	16.200220316349	B04721LZ	Masog Br. 2	Masog	Nagtipunan
121.63899314548	16.4356248813515	B01940LZ	Angad Br.	Victoria	Aglipay
121.615257445886	16.3455480273594	B05007LZ	Lacab Br.	Balligui	Maddela
121.656429522027	16.2971143490414	B01942LZ	Diduyon Br.	Diduyon	Maddela
121.75338349265	16.2017273337171	B04925LZ	Decuraban Br. 5	Disimungal	Nagtipunan
121.540926879798	16.1627584016867	B04451LZ	Gawagan Br.	Wasid	Nagtipunan
121.630129297806	16.4689711143384	B01939LZ	Disiluad Br.	Palacian	Aglipay
121.569899502277	16.5681276841781	B01943LZ	Palladan Br.	La Paz	Saguday
121.560242567605	16.5176400837147	B01938LZ	Dumatata Br.	Gamis	Cabarroguis
121.650098774252	16.2584608608476	B00985LZ	Abbag Br.	Abbag	Nagtipunan
121.724854228544	16.3750582151943	B04908LZ	Maldanum Br.	Divisoria	Maddela
121.763063970648	16.1852726559446	B03242LZ	Decuraban Br. 1	Decuraban	Nagtipunan
121.522633335711	16.5198790394622	B01937LZ	Divila Br.	Gundaway	Cabarroguis
121.582603074365	16.2018036450366	B02085LZ	Gibien Br.	Gibien	Nagtipunan
121.619640344292	16.4221527705384	B02078LZ	Angad Br.	Old Victoria	Aglipay
121.718650057561	16.2549433276644	B03366LZ	Disimungal Br. 1	Disimungal	Nagtipunan
121.639245387331	16.4242317970865	B04922LZ	Villa Santiago Br. 1	Villa Santiago	Aglipay
121.730911430243	16.2186589864271	B03241LZ	Junuan Br.	Junuan	Nagtipunan
121.716738825306	16.2847882103297	B04927LZ	Didungo Br.	Ysmael	Maddela
121.623391616655	16.2541182262475	B04452LZ	Nalungtutan Br.	San Dionisio Ⅱ	Nagtipunan
121.61752260334	16.3659488575832	B02079LZ	Nagtim-og Br.	Balligui	Maddela
121.294587647507	16.1324299237199	B05008LZ	Maguiti Br.	Giayan	Nagtipunan
121.658953472975	16.3412091672744	B04453LZ	Dumabato Br.	Damabato	Maddela
121.617155456922	16.4652665063696	B01214LZ	Pinaripad Br.	Pinaripad	Aglipay
121.326637112067	16.0946026230388	B04444LZ	Ganipa Br.	Guingin	Nagtipunan
121.627938091943	16.3679239867113	B02083LZ	Balligui Br.(Dumalinuno Br.)	Balligui	Maddela
121.69408829762	16.3516972483512	B04450LZ	San Pedro Br.	San Pedro	Maddela
