X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
125.057163582885	5.85899623727195	B01061MN	Kamanga Br.	Kamanga	Maasim
125.277199280944	6.09145933975921	B01900MN	Ladol Br.	Ladol	Alabel
124.791765101043	5.91498605668542	B01070MN	Lomuyon Br.	Lomuyon	Kiamba
125.286555093586	5.70120087266456	B01057MN	Pangyan Br.	Pangyan	Glan
124.480035347264	6.0984945966363	B01276MN	Kalaong Br. 3	Kalaong	Maitum
125.304273804904	6.11140763077445	B01899MN	Bagacay Br.	Bagacay	Alabel
125.22648305263	5.82585199947875	B01054MN	Glan Br.	Ilaya	Glan
124.710410404375	5.95133211951117	B01074MN	Lagundi Br. 2	Lagundi	Kiamba
125.286057486561	5.96802751461343	B01050MN	Malapatan Br.	Malapatan Poblacion	Malapatan
124.415022155971	6.09744095020128	B01242MN	Luan Br.	Maguling	Maitum
124.835534238799	5.89403200643246	B01068MN	Talok Br.	Katubao	Kiamba
124.712384898455	5.95064016754091	B01073MN	Lagundi Br. 1	Datu Dani	Kiamba
124.622353256506	5.99625341079328	B01077MN	Tual Br.	Poblacion	Maitum
125.219416715508	5.81821186151971	B01055MN	Calabanit Br.	Calabanit	Glan
124.782415753148	5.91709917931839	B01609MN	Kiblis Br.	Lomuyon	Kiamba
125.321794493958	5.64509945380467	B01059MN	Big Margus Br.	Big Margus	Glan
124.533435279763	6.03684557781416	B01081MN	Pangi Br.	Pangi	Maitum
125.266505732289	5.91371543021719	B01052MN	Sapu Padidu Br.	Sapu Padidu	Malapatan
124.473290223019	6.08480804272625	B01239MN	Kalaong Br. 1	Kalaong	Maitum
125.322990984042	6.47777141789833	B01042MN	Banate Br.	Banate	Malungon
124.820025223741	5.90006004847825	B01069MN	Maglangit Br.	Lomuyon	Kiamba
124.905488623	5.87215657254669	B01063MN	Sambang Br.	Lumatil	Maasim
125.296577898892	6.01290729145267	B01048MN	Molo Br.	Tuyan	Malapatan
125.102280642952	5.96057349355816	B01060MN	Siguil Br.	Tinoto	Maasim
125.271951582075	6.35370496270832	B01044MN	Nagpan Br.	Nagpan	Malungon
125.311617134289	5.66433002570049	B01058MN	Sm Margus Br.	Small Margus	Glan
125.282617170153	6.10459381736083	B01539MN	Alabel Br.	Poblacion	Alabel
124.858768484323	5.88479773527625	B01066MN	Pananag Br.	Pananag	Maasim
124.593611242312	6.01304235837816	B01079MN	Nalus Br.	Nalus	Kiamba
125.274383450566	5.92280567690501	B01051MN	Sapu Masla Br.	Sapu Masla	Malapatan
125.262231631565	6.3218511720935	B01045MN	Upper Buayan Br.	Malandag	Malungon
124.673157356241	5.97867657644298	B01075MN	Tambilil Br.	Tambilil	Kiamba
125.322990984042	6.47777141789833	B01765MN	Banate II Br.	Banate	Malungon
124.468188830741	6.1060722997911	B01610MN	Upo Br. 2	Upo	Maitum
124.894287630061	5.87415822176573	B01065MN	Kumaba Br.	Kanalo	Maasim
125.277689953505	6.38784423448353	B01043MN	Biangan Br.	Biangan	Malungon
124.899930955672	5.87312679819119	B01064MN	Lumatil Br.	Lumatil	Maasim
124.668837213103	5.97975044459706	B01076MN	Kapate Br.	Kapate	Kiamba
124.454426642761	6.12370719706474	B00341MN	Upo Br. 1	Upo	Maitum
124.609994607036	6.00667008171578	B01078MN	Badtasan Br.	Badtasan	Maitum
124.4667274356	6.14456582151023	B01764MN	Luyong Br.	Upo	Maitum
124.499460861771	6.05718428680953	B01082MN	Saub Br.	Malalag Poblacion	Maitum
124.462290752886	6.07860791104241	B01240MN	Kalaong Br. 2	Kalaong	Maitum
124.757155433585	5.92763369632158	B01071MN	Kanantong Br.	Kayupo	Kiamba
125.296898181045	6.02779456970363	B01047MN	Lun Masla Br.	Lun Masla	Malapatan
125.291739085748	6.0027481510647	B01049MN	Tuyan Br.	Tuyan	Malapatan
125.325854283987	5.59608168973431	B01009MN	Bagong Taas Br.	Batulaki	Glan
125.243268604559	5.74286444873023	B01056MN	Baliton Br.	Baliton	Glan
124.962283521847	5.86078676313176	B01062MN	Kablacan Br.	Kablacan	Maasim
124.855708360722	5.88646917210829	B01067MN	Lumasal Br.	Lumasal	Maasim
125.220624617162	5.85016483742479	B01053MN	Aquino/Glan Padidu Br.	Glan Padidu	Glan
124.81077455576	5.90533207983443	B01608MN	Kitagas Br.	Katubao	Kiamba
124.565930157104	6.02107886831089	B01080MN	Kansan Br.	Salakit	Kiamba
125.292053655084	6.04501100103427	B01046MN	Lun Padidu Br.	Lun Padidu	Malapatan
124.732115144151	5.93260948722929	B01072MN	Maligang Br.	Kling	Kaimba
