X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
124.749999624746	6.61382317720844	B01889MN	Tantangan Br.	Poblacion	Tantangan
125.151550999769	6.1028313333778	B01021MN	Molok Br.	Labangal	General Santos
124.596152611881	6.30493544130117	B01994MN	Kolonbong Br.	Lamfugon	Lake Sebu
124.901315011659	6.38884530312016	B01033MN	Palian Br. (Twin Br. NB)	Palian;saravia	Koronadal
124.660185647984	6.24311410385355	B01483MN	Shadol Br. 2	Tasiman	Lake Sebu
125.110367836243	6.13103131673166	B01527MN	Upper Sinawal Br.	Upper Sinawal	General Santos
124.723366607376	6.29792823931977	B00639MN	Kilob Br.	Little Baguio	Surallah
124.722562144376	6.31048326942544	B00638MN	Kalma Br. 2	Colongolo	Surallah
125.116250917078	5.98777967297949	B01026MN	London Br.	Bawing	General Santos
124.75752518242	6.58320230634152	B01891MN	Dumadalig Br.	Dumadalig	Tantangan
125.13986030627	6.04152510109495	B01024MN	Banwalan Br.	Tambler	General Santos
125.23981229812	6.11350806436117	B01887MN	Buayan Br. 2	Buayan	General Santos
125.12409355405	6.00407653481529	B01025MN	Balnabu Br.	Bawing	General Santos
124.703510804845	6.21340723660525	B00641MN	Loel Br.	Poblacion	Lake Sebu
125.23981229812	6.11350806436117	B01041MN	Buayan Br.	Buayan	General Santos
125.009227733058	6.27009925092055	B01031MN	Palkan Br.	Crossing Palkan	Tupi
124.663583595827	6.24611804246544	B00644MN	Shadol Br. 1	Tasiman	Lake Sebu
125.098359727554	6.18095422989095	B01028MN	Matinao Br.	Glamang	Polomolok
124.721598869632	6.31550308630926	B00637MN	Kalma Br. 1	Colongolo	Surallah
125.150828270877	6.08850046488916	B01023MN	Makar Br. 2	Calumpang	General Santos
125.156795119811	6.11867410884835	B01018MN	Silway Br.	Dadiangas North;labangal	General Santos
124.775629786027	6.43634756593749	B01039MN	Banga Br.	Poblacion	Banga
125.148048498054	6.11201556189781	B01020MN	Sinawal Br.	Labangal	General Santos
125.085485286163	6.19368179176595	B01213MN	Silway 8 (Twin Br. SB)	Silway 8	Polomolok
124.572380947675	6.3527234237881	B01895MN	Datal Lawa Br.	Lamfugon	Lake Sebu
124.688864046513	6.22643990827254	B00643MN	Kings Br.	Bacdulong	Lake Sebu
124.64281819088	6.27398724226145	B01893MN	Balo Br.	Lamfugon	Lake Sebu
125.104740445334	6.08575346022684	B01674MN	Upper Makar Br.	Fatima	General Santos
124.815411453175	6.52445865471305	B01892MN	San Felipe Br.	San Felipe	Tantangan
125.234975291225	6.20821256992607	B01903MN	Tinagakan Twin  Br.	Tinagakan	General Santos
125.234975291225	6.20821256992607	B01017MN	Tinagakan Br.	Tinagakan	General Santos
124.62374551777	6.29076637978849	B01993MN	Odi Br.	Lamfugon	Lake Sebu
125.073158556484	6.20592318801842	B01030MN	South Polomolok Br.	Poblacion	Polomolok
124.901315011659	6.38884530312016	B01518MN	Palian Br. (Twin Br. SB)	Saravia	Koronadal
125.138068168164	6.1487159319041	B01885MN	Lower Apopong Br.	Apopong	General Santos
124.844000598172	6.50000155119956	B01034MN	Bolok Br.	Poblacion	Koronadal
125.142543000627	6.15347570072408	B01886MN	Upper Silway Br.	Mabuhay	General Santos
124.881293689468	6.43227224381027	B01896MN	Saravia Br.	Saravia	Koronadal
124.724330303925	6.33227947275448	B01040MN	Colongolo Br.	Colongolo	Surallah
125.112141987602	5.97113170786905	B01027MN	Bawing Br.	Bawing	General Santos
124.75266517351	6.59933641443355	B01890MN	Luayan Br.	Luayan	Tanatangan
125.151078644603	6.08997076834068	B01022MN	Makar Br. 1	Calumpang	General Santos
124.62374551777	6.29076637978849	B01894MN	Lemfenek Br.	Lamfugon	Lake Sebu
125.085485286163	6.19368179176595	B01029MN	Silway 8 ( Twin Br.NB)	Silway 8	Polomolok
124.693690588572	6.21635550318847	B00642MN	Lutayan Br.	Takunel	Lake Sebu
125.127560974162	6.15191163469389	B01019MN	Apopong Br.	Apopong	General Santos
124.721924181961	6.27872596618163	B00640MN	Luhib Br.	Luhib	Lake Sebu
124.968411670141	6.31374725813445	B01032MN	South Tupi Br.	Poblacion	Tupi
