X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
125.12315645059	10.2882356317182	B00382LT	Lawigan Br.	Panian	Saint Bernard
125.033740528338	10.3474290973807	B00596LT	Bitanhuan Br.	Nahulid	Libagon
125.002437515409	10.4216689225613	B00347LT	Hilogtogan Br.	Hibod-hibod	Sogod
125.002683392283	10.1395054732161	B00318LT	Benit Br.	Benit	Malitbog
125.185653706958	10.4525680538318	B00463LT	Ingan Br.	Ingan	Hinunangan
125.09002621739	10.209589909326	B00611LT	Nailong Br. 2	Nailong	Liloan
125.249286948732	9.94907673617716	B00366LT	Pintuyan Br. 2	Punod	Pintuyan
124.968918990064	10.3719922795178	B00340LT	Casao Br.	Casao	Bontoc
125.184420777442	10.4903268727938	B00468LT	Awayon Br. 3	Mercedes	Silago
125.057361283782	10.2906078222737	B00604LT	Dakit Br.	Biasong	Libagon
125.120277807478	10.5607141210109	B00637LT	Nursery Br.	Katipunan	Silago
124.967814410419	10.3362836235163	B00337LT	Bonbon Br.	Divisoria	Bontoc
125.203375971162	10.3838734119238	B00420LT	Das-ay Br.	Badiangon	Hinunangan
125.063898447743	10.2741822596469	B00606LT	Cawayan Br. 2	Cawayan	Libagon
125.125338215367	10.1326634850981	B00113LT	Calian Br.	Calian	Lilo-an
124.972148624048	10.3255780928051	B00336LT	Higusoan Br.		Bontoc
125.177868837416	10.5032276157002	B00471LT	Sap-ang Br.	Sap-ang	Silago
125.094255452517	10.2043927661407	B00612LT	Nantad Br.	Ilag	Libagon
125.125583298177	10.2337696018708	B00379LT	Saub Br.	Saub	Saint Bernard
125.232929490459	9.96740804597825	B00363LT	Son-ok Br. 1	Son-ok	Pintuyan
124.945737138536	10.3327311055688	B00454LT	Nipayan Br.	Sampongon	Bontoc
125.253617866616	9.92133374995192	B00370LT	Balong-Balong Br.	Balong-balong	Pintuyan
124.976871009145	10.3099647567192	B00334LT	Iniguihan Br.	Iniguihan	Tomas Oppus
125.187972236748	10.5616285761233	B00481LT	Salvacion Br. 1	Salvacion	Silago
124.856608495877	10.131779600504	B00298LT	Canturing Br.	Mambajao	Maasin
125.264527660115	10.309286645239	B00400LT	Cat-iwing Br.	Cat-iwing	Hinundayan
125.042548370648	10.3210668814397	B00598LT	Oticon Br.	Otikon	Libagon
124.984807148951	10.39140517434	B00344LT	Pandan Br.	San Miguel	Sogod
124.997517122895	10.1660078899904	B00322LT	Sta. Cruz Br. 1	Santa Cruz	Malitbog
124.980537027877	10.2926681059459	B00333LT	Calayugan Br.	San Antonio	Tomas Oppus
124.900953384557	10.1083556666787	B00300LT	Ichon Br.	Ichon	Macrohon
