X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
124.015474215307	12.8735703688229	B04699LZ	Himaoyon Br.	Colambis	Casiguran
124.149608222107	12.796990964785	B00180LZ	Taisan Br.	Buhang River	Bulusan
124.01870299552	12.6962962211722	B00158LZ	Buenavista Br.	Buenavista	Irosin
123.956667693971	12.6600903865455	B00189LZ	Pawic Br.	San Isidro	Bulan
124.035552476195	12.9015715880381	B04697LZ	Mauhang Br.	Trece Martires	Casiguran
124.146811508835	12.8411997727653	B00174LZ	Tagdon Br.	Tagdon	Barcelona
124.000085744982	12.8335703862249	B00269LZ	Talinga Br.	Cogon	Juban
123.624840115973	12.9083763129611	B00352LZ	Gura Br.	Gura	Donsol
123.948093136195	12.9839114967826	B04949LZ	Ticol Br.	Ticol	Sorsogon
124.115299202332	12.9094591266098	B00171LZ	Ariman Br.	Ariman	Gubat
124.10305263417	13.0250070754955	B04177LZ	Mecawayan Br.	Gatbo	Sorsogon
124.016689706032	13.0533413590801	B00356LZ	Mati Br.	San Juan	Sorsogon
124.096333117508	13.0082847299421	B04176LZ	Maigang Br.	Old Bato	Sorsogon
124.0497272507	12.9723756380458	B04694LZ	Buhatan Br.	Buhatan	Sorsogon
124.136822955216	12.7493204601578	B00183LZ	Sabang Br.	Sabang	Bulusan
124.006743712302	12.8735025917969	B01192LZ	Kawit Br.	Kawit	Casiguran
124.157921071609	13.025323785278	B00363LZ	Botong Br.	Santa Lourdes	Prieto Diaz
123.98775270283	12.6677040045373	B00188LZ	Solsogon Br.	Santa Teresita	Bulan
123.902572529666	12.8286003229107	B00367LZ	Tula-Tula Br.	Tula-tula Norte	Magallanes
124.116662868616	12.9117599367547	B00169LZ	Aropag Br.	Ariman	Gubat
124.03212910949	13.0386743629725	B00355LZ	Otoc Br.	San Juan	Sorsogon
124.152082808055	12.8041549423903	B00179LZ	Buhang Br.	Buhang	Bulusan
123.997343216503	12.7922308326946	B00154LZ	Bacolod Br.	Bacolod	Juban
124.021985192305	12.7229045321653	B00156LZ	Monbon Br.	Monbon	Irosin
124.051736193907	12.94558722951	B04695LZ	Abuyog Br.	Abuyog	Sorsogon
123.986266074485	12.8427214932674	B00193LZ	Taboc Br.	Taboc	Juban
124.071678477349	12.7331866712518	B00187LZ	Mapaso Br.	Mapaso	Irosin
123.731888342078	13.0013718110358	B04685LZ	Kagbacong Br.	Esperanza	Pilar
124.061980871158	12.7256236935249	B00186LZ	Rangas Br.	Patag	Irosin
124.093296438905	12.9397884779306	B00166LZ	Payawin Br.	Payawin	Gubat
124.0029959688	12.6550257816738	B00161LZ	Bamban Br.	Bamban	Matnog
124.015087832462	13.0592752857812	B00358LZ	Milabiga Br.	San Juan	Sorsogon
