X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
124.19865446543	6.24150162332856	B00334MN	Domato Br.	Mina	Palimbang
124.066153544938	6.64436564447731	B00623MN	Masurot Br.	Poblacion 1	Lebak
124.150623177342	6.28243299445061	B00147MN	Lipaga Br. 1	Midol	Palimbang
124.062833438144	6.5768537996807	B00628MN	Limulan Br.	Limulan	Kalamansig
124.568890845997	6.67478247782955	B01937MN	Allah Br.	Ala	Esperanza
124.406482579101	6.40947519175661	B00613MN	Gapok Br.	Gapok	Senator Ninoy Aquino
124.104154061203	6.33674292614587	B01628MN	Sinandigan Br.	Sinandigan	Palimbang
124.223802418948	6.4892806362713	B01926MN	Tran I Br.	Datu Wasay	Kalamansig
124.085412384417	6.37874197547723	B02184MN	Namat Masla Br.	Namat Masla	Kalamansig
124.064766460146	6.60997086140538	B00625MN	Marigaeg Br.	Maregaeg	Lebak
124.223168752907	6.48906186461283	B01915MN	Tran II Br.	Datu Wasay	Kalamansig
124.208684339482	6.19745104810983	B00336MN	Wal Br. 1	Wal	Palimbang
124.058290289738	6.53857834911503	B01780MN	Sebayor Br. 1	Santa Clara	Kalamansig
124.062148607729	6.54012167117293	B00633MN	Nalilidan Br. 2	Nalilidan	Kalamansig
124.222977646569	6.4879336516029	B01918MN	Tran III Br.	Datu Wasay	Kalamansig
124.124668320025	6.32005509262993	B02186MN	Malatunol Br.	Malatunol	Palimbang
124.689576949678	6.66780482735292	B00292MN	Calean Br.	Carmen	Tacurong
124.160211468657	6.2754096109429	B00155MN	Wasag Br. 1	Wasag	Palimbang
124.329454250401	6.12442975708684	B00402MN	Kraan Br. 1	Kraan	Palimbang
124.278065551412	6.15957030048224	B00396MN	San Roque Br.	San Roque	Palimbang
124.066994766052	6.66963283824057	B00621MN	Pilandok Br.	Barurao Ⅱ	Lebak
124.072679234474	6.51392211847312	B01944MN	Sebayor Br. 3	Santa Clara	Kalamansig
124.6172543936	6.84081231801054	B01679MN	Tinumiguez Br. 1	Tinumiguez	Lambayong
124.207333663103	6.49567690941572	B01869MN	Magon Br.	Datu Wasay	Kalamansig
124.260110616721	6.15713806653879	B00340MN	Sinangkangan Br.	Sinangkangan	Palimbang
124.115815904826	6.72282691488921	B00619MN	Bolibac Br. 1	Bolibac	Lebak
124.520471018818	6.49612584231649	B00610MN	Upper Mono Br.	Titulok	Bagumbayan
124.616811071594	6.6533890599733	B00288MN	Sampao Br.	Kenram	Isulan
124.197907392753	6.24622983620677	B01984MN	Balonglong Br.	Domolol	Palimbang
124.069683189195	6.66139838936775	B00622MN	Barurao Br.	Barurao I	Lebak
124.072861227204	6.39288787846709	B01871MN	Namat Paido Br.	Namat Paido	Palimbang
124.04152618579	6.46228521119325	B01661MN	Paril Br.	Paril	Kalamansig
124.064118938351	6.48424675543801	B01888MN	Basyawan Br.	Basyawan	Kalamansig
124.318198415132	6.13093397219363	B00401MN	Colubi Br. 2	Kolongkolong	Palimbang
124.060536967352	6.54822192026183	B00630MN	Busawon Br. 1	Busawon	Kalamansig
124.626840301756	6.66290012107612	B00287MN	Kapingkong Br.	Kapingkong	Tacurong
124.078545987451	6.5550500693377	B01783MN	Sta. Clara Br.	Limulan	Kalamansig
124.165732593733	6.76375748305412	B01262MN	Tran Br.	Christianuevo	Lebak
124.556425214323	6.51162145401589	B00609MN	Sarmiento Br.	Sarmiento	Bagumbayan
124.282126373934	6.15400352978043	B00397MN	Tibulos Br. 1	San Roque	Palimbang
124.164300918309	6.74061700054319	B01264MN	Pangawan Br. 2	Christianuevo	Lebak
124.614514652038	6.84763761278991	B01986MN	Pinguiaman Br. 2	Tinumigues	Lambayong
124.369403543159	6.4224961873612	B00614MN	Sewod Br.	Sewod	Senator Ninoy Aquino
124.233952356303	6.17589700170434	B00337MN	Wal Br. 2	Wal	Palimbang
124.628704644733	6.81245738929015	B01607MN	Sadsalan Br. 2	Sadsalan	Lambayong
124.266222654113	6.15519472508116	B00395MN	Milbuk Br.	Milbuk	Palimbang
124.133763618668	6.7202244821452	B00618MN	Balayan Br.	Basak	Lebak
124.24649004794	6.49104945539557	B01870MN	Suwayog Br.	Datu Wasay	Kalamansig
124.247172592556	6.16603450647463	B00338MN	Barongis Br.	Barongis	Palimbang
