X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
120.570132847538	15.5020223672984	B01378LZ	Barbon Br. 3	Tibag	Tarlac
120.71490752999	15.5004875255206	B04825LZ	Casilang Br.	Lomboy	La Paz
120.656638719951	15.604253502078	B01195LZ	Balbalato Br.	Balbalato	Victoria
120.527854573739	15.6601596135031	B01365LZ	Barangobong Br. 2	Balaoang	Paniqui
120.727165507012	15.4345359158555	B04824LZ	Rizal Br.	Rizal	La Paz
120.383089974385	15.5175820313241	B03432LZ	Bigbiga Br. 2	Bigbiga	Mayantoc
120.644301317973	15.5554583818517	B04331LZ	Maluid Br.	Maluig	Victoria
120.399448626203	15.6935360847275	B04673LZ	Palimbo Br.	Palimbo	Camiling
120.708469378004	15.382828656425	B03306LZ	Maranao Br.	Bantog	La Paz
120.632892299608	15.6846855285834	B05012LZ	Coral Br.	Coral	Ramos
120.72047340383	15.4140562382545	B04679LZ	Paludpud Br. 2	Paludpud	Lapaz
120.518838813121	15.6627889857816	B01367LZ	Balaoang Br. 1	Balaoang	Paniqui
120.434522282496	15.6864663284727	B00086LZ	Basil Br.	Matubog	Camiling
120.525237223489	15.539213339171	B01379LZ	Binig Br.	San Juan de Mata	Tarlac
120.718150816151	15.3976655841574	B04677LZ	Caut Br.	Caut	Lapaz
120.433765293269	15.6864860962357	B01372LZ	Dacol Br.	Matubog	Camiling
120.450729944608	15.4651659815827	B05014LZ	Lubigan Parallel Br.	Lubigan	San Jose
120.607992745827	15.5966386671619	B03156LZ	Salapungan Br.	Salapungan	Gerona
120.699692997728	15.3515607853584	B04836LZ	Sto. Rosario Br.	SantoRosario	Concepcion
120.5962181053	15.436024269349	B01388LZ	Camp Aquino Br.	San  Miguel	Tarlac
120.536669637467	15.6570188694924	B01363LZ	Cojuangco Br.	Rangayan	Paniqui
120.417715034137	15.6869774894429	B05013LZ	Camiling Br.	Poblacion	Camiling
120.719157930831	15.4077109836471	B04678LZ	Paludpud Br. 1	Paludpud	La Paz
120.502319045627	15.5065507086458	B04328LZ	San Juan de Valdez Br.	San Juan de Valdez	San Jose
