X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
125.042958519433	11.6801855309482	B00384SM	Balugo Br.	Balugo	San Sebastian
124.561416521185	12.0684646222872	B00344SM	Minlawaan Br.	San Policarpo	Calbayog
124.628157295269	12.0546794983934	B00348SM	Carayman Br.	Carayman	Calbayog
125.182292790593	11.2158017815066	B00426SM	Opong Br. 3	Caluwayan	Marabut
124.417317453731	12.1799584683508	B00334SM	Cagnipa Br.	Cagnipa	Calbayog
125.013467675021	11.4299916605507	B00399SM	Lupig Br.	Lupig	Santa Rita
124.566588013768	12.1541382376267	B00368SM	Cagpalale Br.	Sinidman Occidental	Calbayog
124.592426181768	12.0678376826452	B00345SM	Rosales Br.	Obrero	Calbayog
124.884097089335	11.7750002086203	B00375SM	First Br.	Barangay 12	Catbalogan
124.40030195871	12.1929851523811	B00333SM	Peña Br.	Peña Bridge	Calbayog
125.090527152178	11.7772024286031	B00563SM	Tabucan Br.	Tabucan	Samar
124.996891114616	11.4091167345005	B00401SM	Dalid Br.	San Pascual	Santa Rita
125.071534968958	11.2907372244971	B00564SM	Sawa Br.	Sawa	Basey
125.116362784467	11.8027810455747	B00437SM	Caughayanan Br.	Tinane	Paranas
125.194890368854	11.1701048914457	B00430SM	Canyoyo Br.	Canyoyo	Marabut
125.023828936641	11.3670827755251	B00403SM	Tinabogan Br.	Pagsulhugon	Santa Rita
125.119651063579	11.2942948710266	B00420SM	Golden Br.	Binongtuan	Basey
125.019885929652	11.6295973464551	B00387SM	Calbiga Br.	Polangi	Calbiga
124.579150088489	12.186711448	B00575SM	Pulid Br.	Quezon	Calbayog
124.769133509445	11.990801427384	B00356SM	Nacube Br.	Nacube	Gandara
125.195818201106	11.1840982726621	B00428SM	Mabuhay Br.	Mabuhay	Marabut
124.636382104002	12.0524193205126	B00349SM	Naga Br.	Carayman	Calbayog
125.015633639392	11.4397384804997	B00398SM	Manunca Br.	Manunca	Santa Rita
124.585952914836	12.2347244077868	B00363SM	Casapa Br.	Casapa	Calbayog
124.606673310797	12.0618932150284	B00573SM	Rawis Br.	Rawis	Calbayog
124.365864433609	12.2684345969898	B00329SM	Manok-Manok Br.	Bugtong	Calbayog
124.417317453731	12.1799584683508	B00335SM	Tangao Br.	San Joaquin	Calbayog
125.22388793906	11.8198452013336	B00593SM	Cansolabao Br.	Cansolabao	Hinabangan
124.85969913893	11.8120040499239	B00373SM	Pupua Br.	Pupua	Catbalogan
124.830033535446	11.874953410359	B00362SM	Tizon Br.	Tizon	Tarangnan
125.242800571859	11.8189926015845	B00441SM	Carbon Br. 1	Bagacay	Hinabangan
125.026091469057	11.3523658559769	B00407SM	Alal-on Br. 4	Magsaysay	Santa Rita
125.050430886016	11.7600119978936	B00379SM	Bato Br.	Bato	Paranas
124.999864004575	11.5722322821318	B00393SM	Libunao Br.	Nabong	Pinabacdao
125.245829552651	11.1223754537987	B00234SM	Pinamitinan Br.	Pinamitinan	Marabut
125.019318936558	11.4673369833711	B00397SM	Silaga Br.	Tulay	Santa Rita
124.591515641534	12.0701427838892	B00562SM	Jasmines Br.	Obrero	Calbayog
125.092350774562	11.2943289150544	B00418SM	Iba Br.	Iba	Basey
125.06906406321	11.2863547395814	B00412SM	Lawaan Br.	Payapay	Basey
125.208938723434	11.1282817712777	B00432SM	Pinalangga Br. 1	Pinalangga	Marabut
125.067907349192	11.7031331403195	B00381SM	Tinago Br.	Malihao	Hinabangan
124.58756678312	12.2290731331118	B00365SM	Tarabucan Br.	Tarabucan	Calbayog
124.984337786206	11.3089670597732	B00411SM	Bical Br.	San Pedro	Santa Rita
124.452079098798	12.1510290823877	B00337SM	Binaliw Br.	Binaliw	Calbayog
124.998988688153	11.5981037288172	B00391SM	Botoc Br.	Botoc	Pinabacdao
124.789545262807	12.0158892826576	B00358SM	Tagnao Br.	Tagnao	Gandara
125.002512621461	11.4219290129168	B00400SM	Catungan Br.	San Pascual	Santa Rita
124.888900973962	11.7760868750845	B00408SM	Antiao Ⅱ	Canlapwas	Catbalogan
124.745789525488	11.9966824173488	B00353SM	Ilo Br.	Ilo	Santa Margarita
124.756169594035	11.9841273279055	B00355SM	Hinagbungan Br.	Concepcion	Gandara
125.187521026817	11.2022724425384	B00427SM	Tinabanan Br.	Tibanan	Marabut
125.017993685983	11.6484770702507	B00385SM	Cabugao Br.	Canticum	Calbiga
124.662355388226	12.0364431427791	B00350SM	Sta. Margarita Br.	Monbon	Santa Margarita
124.35762881762	12.2818614227854	B00328SM	Caglanipao Br.	Caglanipao	Calbayog
125.117293077405	11.2986926218734	B00419SM	Anglit Br.	Anglit	Basey
125.06542400861	11.7033278148171	B00416SM	Hinabangan Br.	Poblacion Uno	Hinabangan
124.58714046856	12.2393449897985	B00364SM	Capacuhan Br.	Capacuhan	Calbayog
124.36944319038	12.2540085077429	B00330SM	Bugtong Br.	Bugtong	Calbayog
125.82626495071	10.9391810574782	B00596SM	Sulangan Br.	Sulangan	Guiuan
125.021055977001	11.6335999975826	B00386SM	Polangi Br.	Polangi	Calbiga
125.244918575546	11.8187220341093	B00442SM	Tiga Br.	Bagacay	Hinabangan
124.486564320954	12.1030592467179	B00340SM	Bulongto Br.	Malopalo	Calbayog
124.999637124263	11.3988851175468	B00402SM	Abologon Br.	Bago Libas	Santa Rita
124.571564039584	12.1721418342789	B00367SM	Cabacungan Br.	Cabacungan	Calbayog
125.025133199206	11.3642827611281	B00404SM	Alal-on Br. 1	Magsaysay	Santa Rita
125.165752481664	11.2577516235596	B00422SM	Cabugao Br.	Cabugao	Marabut
125.026059004774	11.3535090525115	B00406SM	Alal-on Br. 3	Magsaysay	Santa Rita
125.19900616253	11.1608490703825	B00431SM	Logero Br.	Logero	Marabut
125.067355462892	11.7040027374826	B00380SM	Yabon Br.	Malihao	Hinabangan
124.673089990897	12.034921505827	B00352SM	Solsogon Br.	Solsogon	Santa Margarita
124.44060256844	12.1633925833953	B00336SM	Kinawan Br.	San Joaquin	Calbayog
125.247240635049	11.8206990641204	B00443SM	Carbon Br. 2	Bagacay	Hinabangan
124.480787853914	12.111604583262	B00339SM	Malajog Br.	Malajog	Calbayog
125.017415013504	11.5483112234053	B00395SM	Antol Br.	Antol	Pinabacdao
125.195463086831	11.1766563305296	B00429SM	Bakhaw Br.	Mabuhay	Marabut
124.530722458122	12.0990347339729	B00576SM	Palanas Cara Br.	Palanas Cara	Calbayog
124.811900614934	12.0148914341453	B00359SM	Gandara Br.	Catorse de Agosto	Gandara
125.178525970432	11.222775502395	B00425SM	Opong Br. 2	Legaspi	Marabut
124.374949400852	12.2379037655974	B00331SM	Malaga Br.	Malaga	Calbayog
125.097799206904	11.3158293926211	B00414SM	New San Agustin Br.	New San Agustin	Basey
125.002964057965	11.568193444483	B00394SM	Lale Br.	Lale	Pinabacdao
124.879065364251	11.7801849572145	B00555SM	Antiao Br. (New)	Salug	Catbalogan
124.52992982609	12.0932656703769	B00342SM	Jibatang Br.	Lonoy	Calbayog
124.666368701782	12.0360037771069	B00351SM	Arapison Br.	Cagsumje	Santa Margarita
125.177271826736	11.2360244521958	B00423SM	Legaspi Br.	Legaspi	Marabut
125.138160084173	11.8057251383722	B00438SM	Panganahawon Br.	Tinane	Paranas
125.157898455143	11.3420964548102	B00004SM	Golden Br.	Westpal	Basey
125.067747155905	11.7014178966939	B00382SM	Rawis Br.	Rawis	Hinabangan
125.02563832415	11.5105320437809	B00565SM	Parasanon Br.	Parasanon	Pinsbscdso
124.38488944348	12.2173945664873	B00332SM	Cagmanipis Br.	Cagmanipis	Calbayog
125.106557592304	11.3230985684911	B00415SM	Old San Agustin Br.	Old San Agustin	Basey
125.252993443523	11.8267144628628	B00444SM	Pisak Br.	Fatima	Hinabangan
125.08258354729	11.3090053333257	B00413SM	Sawa Br.	Sawa	Basey
124.836915368712	11.9702598650369	B00361SM	Sapinit Br.	Sapinit	San Jorge
125.147536602231	11.2798550158709	B00421SM	Nouvellas Br.	San Fernando	Basey
125.233538372338	11.8178077848538	B00566SM	Bagacay Br.	Bagacay	Hinabangan
125.009737555488	11.6056319755177	B00389SM	Obayan Br. 1	Obayan	Pinabacdao
125.053398854779	11.6905639689643	B00383SM	Bucalan Br.	Canduyucan	San Sebastian
124.783368510429	11.9999838808412	B00357SM	Lawayon Br.	Casab-ahan	Gandara
124.480972711097	12.1148562554383	B00338SM	Pisong Br.	Malajog	Calbayog
125.233852813551	11.8185604947239	B00440SM	Bagacay Br.	Bagacay	Hinabangan
125.026344386901	11.5115236985201	B00396SM	Parasanon Br.	Parasanon	Pinabacdao
124.53684478789	12.1258463073621	B00370SM	Oquendo Br.	Oquendo	Calbayog
124.604305098062	12.0788218942415	B00594SM	Nijaga Br.	Nijaga	Calbayog
125.178933877217	11.225518904564	B00424SM	Opong Br. 1	Legaspi	Marabut
124.710030529689	12.0253197262157	B00574SM	Napuro Br.	Napuro	Calbayog
124.532879403433	12.092601649286	B00343SM	Labuyao Br.	Lonoy	Calbayog
125.257664428981	11.8306660995936	B00445SM	Camp Br. 5	San Rafael	Hinabangan
124.94673350913	11.7637798400697	B00376SM	Jiabong Br.	Alejandria	Jiabong
124.747346861397	11.9900287255235	B00354SM	Lambigue Br.	Tambongan	Gandara
125.019074748736	11.6285893020448	B00388SM	Calbiga Overpass Br.	Poblacion 6	Calbiga
125.208971254244	11.1264499121311	B00433SM	Pinalangga Br. 2	Pinalangga	Marabut
124.991458417517	11.5875014441044	B00392SM	Camandang Br.	Dolores	Pinabacdao
124.563791969497	12.1457170142117	B00369SM	Sinidman Br.	Sinidman	Calbayog
124.505285248603	12.0947244946513	B00341SM	Tinambacan Br.	Tinambacan	Calbayog
125.025861185591	11.3596565444707	B00405SM	Alal-on Br. 2	Magsaysay	Santa Rita
124.994518655563	11.7827682725051	B00377SM	Motiong Br.	Barangay 1a	Motiong
124.836704426599	11.9724054501665	B00360SM	Sapinit Viaduct	Sapinit	San Jorge
125.058413869974	11.2883775866581	B00435SM	Bangon Br.	Canmanila	Basey
125.0093206978	11.6050185272152	B00390SM	Obayan Br. 2	Obayan	Pinabacdao
