X	Y	BRIDGE_ID	BR_NAME	BRGY	MUN
119.961467834243	15.4904181399025	B01424LZ	Sto. Rosario Br.	Santo Rosario	Masinloc
120.227107852252	14.9188819341547	B01641LZ	Sacatihan Br.	Aningway Sacatihan	Subic
120.030799477836	15.2027351559056	B01407LZ	Dalayap Br.2	Sapang Bato	Cabangan
119.939516193899	15.6033525449209	B01427LZ	Yamot Br.	Yamot	Candelaria
120.254474609788	14.8518421982409	B01636LZ	Matain Br. 1	Matain	Subic
120.0777145682	15.0242625513436	B01392LZ	Alusiis Br.	Alusiis	San Narciso
120.338875119228	14.8467845185871	B01632LZ	Bangal Br.	New Cabalan	Olongapo City
120.031053149954	15.201979826164	B01406LZ	Dalayap Br.1	Sapang Bato	Cabangan
120.059851399364	15.1246792883968	B01399LZ	Anonang Br.	Anonang	Cabangan
119.997476945614	15.3113005649092	B01415LZ	Balili Br.	Balili	Iba
120.124626940946	14.9614621288479	B02811LZ	Linoron Br. 1	Linoron	San Antonio
120.081210411301	15.0032360396297	B01441LZ	Coyacoy Br.	Patricio	San Narciso
120.005307795579	15.3057491673776	B01413LZ	Mambog Br.	Mambog	Botolan
120.120916111938	14.9597540833411	B02812LZ	Linoron Br. 2	Linoron	San Antonio
119.969081518377	15.3276191701438	B01417LZ	Panibuatan Br.	Panibuatan	Iba
120.181990031585	14.9490885792112	B01644LZ	Bulala Br.	Nagbunga	Castillejos
119.913070918743	15.8082774415087	B01435LZ	Nayum Br.	Gama	Santa Cruz
120.238807970258	14.8618844970834	B01638LZ	Calapacuan Br.	Calapacuan	Subic
120.025843103521	15.2882996219566	B01412LZ	Batonlapoc Br.	Batonlapoc	Botolan
119.909870990427	15.7199019404552	B01431LZ	Bayto Br.	Naulo	Santa Cruz
120.180666204591	14.9501515958449	B01645LZ	Camachile Br.	Nagbunga	Castillejos
119.949801932935	15.5468019204277	B01425LZ	Baloganon Br.	Baloganon	Masinloc
120.056498701522	15.1336734893036	B01400LZ	Longos Br.	Longos	Cabangan
120.225554897556	14.8917338231883	B01448LZ	Malinta Br.	Asinan Poblacion	Subic
120.051573727445	15.1730125381321	B01403LZ	Sta. Rita Br.	SantaRita	Cabangan
